
1656253272573 :: history :: {'symbol': 'HINDALCO', 'resolution': {15}, 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253272656 :: {'s': 'error', 'code': -300, 'message': 'Please provide a valid symbol'}
1656253890963 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253891470 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253891781 :: history :: {'symbol': 'NSE:HCLTECH-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253892091 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253892403 :: history :: {'symbol': 'NSE:TITAN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253892800 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253893112 :: history :: {'symbol': 'NSE:ICICIBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253893238 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253893550 :: history :: {'symbol': 'NSE:ONGC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253893880 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253894192 :: history :: {'symbol': 'NSE:CHOLAFIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253894332 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253894642 :: history :: {'symbol': 'NSE:BANDHANBNK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253894903 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253895216 :: history :: {'symbol': 'NSE:AXISBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253896520 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253896832 :: history :: {'symbol': 'NSE:GRASIM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253898636 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253898948 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253899456 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253899768 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253900239 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253900551 :: history :: {'symbol': 'NSE:UPL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253902152 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253902467 :: history :: {'symbol': 'NSE:INDUSINDBK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253902795 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253903107 :: history :: {'symbol': 'NSE:LUPIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253903459 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253903776 :: history :: {'symbol': 'NSE:TATAMOTORS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253904909 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253905227 :: history :: {'symbol': 'NSE:JINDALSTEL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253906474 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253906791 :: history :: {'symbol': 'NSE:BIOCON-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253907852 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253908162 :: history :: {'symbol': 'NSE:BPCL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253908877 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253909191 :: history :: {'symbol': 'NSE:CIPLA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253911132 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253911444 :: history :: {'symbol': 'NSE:TATASTEEL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253911843 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253912152 :: history :: {'symbol': 'NSE:HDFC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253912671 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253912986 :: history :: {'symbol': 'NSE:BANKBARODA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253913795 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253914105 :: history :: {'symbol': 'NSE:COALINDIA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253914512 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253914824 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253914960 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253915272 :: history :: {'symbol': 'NSE:ADANIPORTS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253915471 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253915787 :: history :: {'symbol': 'NSE:MARICO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253915999 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253916316 :: history :: {'symbol': 'NSE:M&M-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253916447 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253916763 :: history :: {'symbol': 'NSE:WIPRO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253917006 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253917313 :: history :: {'symbol': 'NSE:HDFCBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253917511 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253917821 :: history :: {'symbol': 'NSE:INFY-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253918904 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253919221 :: history :: {'symbol': 'NSE:LT-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253919576 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253919890 :: history :: {'symbol': 'NSE:SBILIFE-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253920126 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253920443 :: history :: {'symbol': 'NSE:RELIANCE-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253920702 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253921012 :: history :: {'symbol': 'NSE:HINDUNILVR-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253921409 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}
