Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-04-01,ADANIGREEN,EQ,1914.7,1935.55,1965.45,1907.2,1954.1,1945.1,1932.26,1015269,196176394935000.0,43342,337637,0.3326
2022-04-04,ADANIGREEN,EQ,1945.1,1978.0,2139.6,1941.25,2136.65,2110.45,2026.86,1898588,384816332615000.0,67543,699493,0.36840000000000006
2022-04-05,ADANIGREEN,EQ,2110.45,2152.7,2209.95,2122.0,2192.0,2189.8,2175.67,2206673,480099339420000.0,99162,519914,0.2356
2022-04-06,ADANIGREEN,EQ,2189.8,2210.0,2250.0,2158.0,2191.35,2197.4,2207.24,1558568,344014082835000.0,78222,436698,0.2802
2022-04-07,ADANIGREEN,EQ,2197.4,2218.0,2329.75,2084.85,2170.0,2166.0,2220.42,2665993,591961100030000.0,148183,673648,0.2527
