INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS,GAIN/LOSS LOG
Nifty Auto,11977.3,11982.75,12139.75,11958.5,12061.8,84.5,0.01
Nifty50 PR 1x Inv,246.35,247.15,248.0,246.05,247.75,1.4,0.008
Nifty50 TR 1x Inv,211.45,212.2,212.9,211.2,212.65,1.2,0.008
Nifty GrowSect 15,7972.15,7967.35,8059.85,7957.6,8016.75,44.6,0.008
Nifty200Momentm30,21349.25,21312.4,21566.85,21287.9,21449.05,99.8,0.007
Nifty Media,2311.75,2309.0,2347.8,2296.5,2320.95,9.2,0.006
Nifty Consumption,7393.2,7386.6,7457.1,7381.85,7416.3,23.1,0.005
NIFTY Alpha 50,33799.85,33822.25,34280.95,33793.35,33876.95,77.1,0.003
Nifty CPSE,2330.95,2326.65,2356.35,2322.0,2334.85,3.9,0.002
Nifty GS 4 8Yr,2482.39,2482.8,2486.22,2481.78,2486.1,3.71,0.002
NIFTY SMLCAP 100,11205.35,11221.55,11304.2,11201.65,11219.4,14.05,0.002
Nifty GS 11 15Yr,2473.02,2473.47,2475.36,2472.06,2475.32,2.3,0.001
Nifty GS Compsite,2363.86,2364.27,2365.85,2363.22,2365.73,1.87,0.001
Nifty GS 15YrPlus,2705.06,2705.57,2706.78,2705.57,2706.78,1.72,0.001
Nifty IT,36643.85,36623.75,36835.95,36431.25,36660.9,17.05,0.001
Nifty PSU Bank,2808.9,2797.65,2858.2,2788.35,2810.2,1.3,0.001
Nifty GS 8 13Yr,2294.55,2294.93,2295.48,2293.53,2295.25,0.7,0.0
Nifty GS 10Yr,2055.28,2055.63,2056.14,2053.12,2055.73,0.45,0.0
Nifty GS 10Yr Cln,928.61,928.61,928.84,927.45,928.65,0.04,0.0
Nifty50 Div Point,144.46,144.46,144.46,144.46,144.46,0.0,0.0
Nifty FMCG,39014.65,38992.5,39346.65,38953.4,39013.45,-1.2,-0.0
Nifty MNC,19700.55,19667.7,19771.45,19633.8,19691.95,-8.6,-0.001
NIFTY SMLCAP 250,9784.4,9798.3,9852.7,9762.2,9776.35,-8.05,-0.001
Nifty Next 50,44290.2,44194.2,44603.5,44148.95,44241.45,-48.75,-0.002
NIFTY200 QUALTY30,15255.7,15246.5,15300.45,15216.1,15237.95,-17.75,-0.002
NIFTY100 Qualty30,4004.7,3999.55,4017.85,3994.05,3998.85,-5.85,-0.002
Nifty50 Value 20,9078.4,9067.4,9120.35,9047.7,9063.95,-14.45,-0.002
Nifty Div Opps 50,3800.85,3796.05,3813.3,3788.45,3793.25,-7.6,-0.003
Nifty Mid Liq 15,7818.85,7809.55,7840.1,7776.3,7795.0,-23.85,-0.004
NIFTY100 LowVol30,13468.05,13445.8,13501.15,13409.75,13425.65,-42.4,-0.005
Nifty Metal,5586.35,5563.85,5618.65,5546.5,5568.1,-18.25,-0.005
NIFTY MIDSML 400,11178.2,11176.4,11219.3,11126.55,11141.6,-36.6,-0.005
NIFTY50 EQL Wgt,20122.55,20086.35,20185.2,20024.75,20054.15,-68.4,-0.005
Nifty Serv Sector,25298.4,25201.5,25389.45,25160.1,25209.05,-89.35,-0.005
NIFTY100 EQL Wgt,21413.3,21370.35,21486.65,21301.15,21334.0,-79.3,-0.005
NIFTY SMLCAP 50,5450.95,5456.3,5471.35,5421.25,5430.35,-20.6,-0.005
NIFTY MIDCAP 150,11960.8,11950.4,11987.7,11892.15,11908.55,-52.25,-0.006
Nifty Energy,23944.65,23880.45,24082.45,23774.2,23837.9,-106.75,-0.006
Nifty 500,15525.4,15487.15,15560.75,15436.95,15454.95,-70.45,-0.007
Nifty100 Liq 15,4570.2,4551.35,4587.1,4541.5,4549.1,-21.1,-0.007
Nifty PSE,4081.15,4076.3,4100.4,4055.05,4061.7,-19.45,-0.007
Nifty 100,18301.45,18244.05,18338.35,18189.45,18211.35,-90.1,-0.007
NIFTY AlphaLowVol,17638.5,17618.4,17653.4,17525.75,17551.15,-87.35,-0.007
Nifty 200,9588.5,9560.6,9605.1,9527.65,9539.0,-49.5,-0.007
Nifty Infra,5273.8,5252.0,5294.0,5238.5,5245.6,-28.2,-0.008
Nifty 50,17999.2,17939.35,18022.65,17879.25,17898.65,-100.55,-0.008
Nifty FinSrv25 50,18784.4,18697.85,18857.5,18645.05,18673.65,-110.75,-0.009
Nifty Midcap 50,8940.75,8926.0,8943.95,8869.55,8884.8,-55.95,-0.009
NIFTY MIDCAP 100,31942.55,31896.05,31956.45,31680.9,31729.0,-213.55,-0.01
Nifty Fin Service,18805.75,18707.85,18866.4,18653.5,18679.95,-125.8,-0.01
Nifty Commodities,5835.2,5815.95,5839.55,5785.2,5795.75,-39.45,-0.01
Nifty100ESGSecLdr,3062.4,3052.2,3060.35,3035.05,3038.6,-23.8,-0.011
Nifty Pvt Bank,19704.0,19604.45,19758.6,19512.95,19542.2,-161.8,-0.012
Nifty50 PR 2x Lev,9575.85,9511.25,9599.55,9448.05,9467.95,-107.9,-0.016
Nifty50 TR 2x Lev,13009.75,12922.05,13041.95,12836.2,12863.15,-146.6,-0.016
Nifty Pharma,13798.8,13796.3,13800.6,13592.45,13621.9,-176.9,-0.019
Nifty Realty,545.1,542.8,546.15,534.1,536.15,-8.95,-0.024

Top gainer/losers list for 171121
M&M,EQ,       960.30,       954.45,-0.61
ASIANPAINT,EQ,      3151.70,      3230.25,2.49
""
Top Five Nifty 50 Gainers:
SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
SBILIFE,EQ,      1187.20,      1153.00,2.97
MARUTI,EQ,      8274.75,      8050.35,2.79
ASIANPAINT,EQ,      3230.25,      3151.70,2.49
TATAMOTORS,EQ,       530.15,       519.05,2.14
POWERGRID,EQ,       191.05,       187.60,1.84
""
Top Five Nifty 50 Losers:
SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
UPL,EQ,       755.60,       780.05,-3.13
RELIANCE,EQ,      2464.00,      2517.90,-2.14
BRITANNIA,EQ,      3615.05,      3690.75,-2.05
IOC,EQ,       128.45,       131.00,-1.95
AXISBANK,EQ,       712.35,       726.15,-1.9
