INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS,GAIN/LOSS LOG
Nifty Pharma,13774.65,13790.45,13996.85,13770.9,13974.35,199.7,0.021
Nifty GrowSect 15,7839.6,7861.6,7949.65,7861.0,7930.35,90.75,0.017
Nifty FMCG,38912.75,39014.75,39353.7,38937.85,39278.3,365.55,0.013
Nifty Mid Liq 15,7781.2,7803.2,7846.85,7770.2,7838.85,57.65,0.011
Nifty Consumption,7316.85,7333.85,7383.55,7331.95,7366.9,50.05,0.01
NIFTY AlphaLowVol,17630.7,17691.9,17753.45,17655.8,17723.6,92.9,0.008
Nifty MNC,19544.1,19575.4,19670.8,19524.85,19644.8,100.7,0.007
NIFTY Alpha 50,33549.35,33792.1,33839.75,33522.85,33705.1,155.75,0.007
Nifty Midcap 50,8926.55,8955.5,8976.4,8911.45,8965.0,38.45,0.006
Nifty IT,36332.25,36391.1,36646.25,36302.95,36465.3,133.05,0.005
Nifty CPSE,2338.9,2345.2,2369.25,2337.85,2347.25,8.35,0.005
Nifty50 Value 20,9072.95,9091.25,9142.55,9088.5,9105.3,32.35,0.005
NIFTY200 QUALTY30,15205.25,15233.55,15290.65,15211.85,15257.9,52.65,0.005
Nifty Div Opps 50,3797.75,3808.25,3822.8,3802.2,3810.9,13.15,0.005
NIFTY MIDCAP 150,11944.3,11990.65,12008.05,11931.65,11985.45,41.15,0.005
NIFTY100 LowVol30,13493.15,13523.95,13558.65,13492.3,13537.8,44.65,0.005
NIFTY MIDCAP 100,31925.85,32048.55,32088.7,31884.1,32028.3,102.45,0.005
NIFTY100 Qualty30,3987.35,3995.55,4008.55,3988.5,3999.15,11.8,0.004
Nifty Next 50,44242.55,44490.55,44532.65,44209.0,44362.15,119.6,0.004
Nifty Energy,24209.3,24359.05,24453.45,24160.5,24268.85,59.55,0.004
Nifty Realty,544.65,548.2,549.3,540.5,545.85,1.2,0.003
Nifty PSE,4108.55,4123.4,4148.4,4110.65,4117.45,8.9,0.003
Nifty Infra,5323.05,5337.15,5362.8,5314.45,5334.0,10.95,0.003
Nifty GS 15YrPlus,2699.61,2700.12,2705.58,2700.12,2704.83,5.22,0.003
Nifty Serv Sector,25362.8,25429.65,25536.15,25360.2,25409.0,46.2,0.003
Nifty GS 11 15Yr,2468.51,2468.96,2472.86,2468.96,2472.86,4.35,0.003
Nifty GS 10Yr,2054.08,2054.43,2057.65,2054.43,2057.65,3.57,0.003
NIFTY MIDSML 400,11165.5,11212.5,11219.45,11141.8,11184.15,18.65,0.002
Nifty GS 10Yr Cln,928.37,928.37,929.86,928.37,929.86,1.49,0.002
Nifty GS Compsite,2361.83,2362.23,2365.38,2362.23,2365.38,3.55,0.002
Nifty GS 8 13Yr,2293.29,2293.67,2295.77,2293.67,2295.77,2.48,0.002
NIFTY SMLCAP 50,5413.85,5430.85,5447.2,5402.75,5419.5,5.65,0.002
Nifty 200,9627.7,9654.8,9682.25,9615.95,9637.35,9.65,0.001
Nifty100ESGSecLdr,3073.8,3081.5,3091.05,3072.0,3076.7,2.9,0.001
Nifty 500,15579.0,15625.75,15664.45,15558.05,15592.6,13.6,0.001
Nifty GS 4 8Yr,2481.38,2481.8,2483.49,2481.8,2483.49,2.11,0.001
Nifty 100,18389.5,18438.25,18498.7,18364.4,18401.65,12.15,0.001
NIFTY100 EQL Wgt,21487.7,21564.55,21612.85,21442.4,21499.8,12.1,0.001
Nifty50 PR 2x Lev,9690.2,9728.45,9801.95,9654.25,9694.75,4.55,0.001
Nifty50 TR 2x Lev,13165.15,13217.15,13316.95,13116.3,13171.3,6.15,0.001
Nifty 50,18102.75,18140.95,18210.15,18071.3,18109.45,6.7,0.001
Nifty Pvt Bank,19890.05,19955.45,20084.7,19830.9,19896.15,6.1,0.0
Nifty50 Div Point,144.46,144.46,144.46,144.46,144.46,0.0,0.0
Nifty200Momentm30,21404.5,21494.15,21551.55,21379.0,21401.55,-2.95,-0.0
NIFTY50 EQL Wgt,20210.55,20252.5,20347.5,20161.2,20206.65,-3.9,-0.0
Nifty50 PR 1x Inv,244.85,244.4,245.35,243.45,244.8,-0.05,-0.0
Nifty50 TR 1x Inv,210.2,209.8,210.6,209.0,210.15,-0.05,-0.0
Nifty Fin Service,18976.2,19031.75,19122.95,18894.3,18955.25,-20.95,-0.002
Nifty Auto,11706.5,11716.1,11840.95,11645.3,11687.65,-18.85,-0.002
NIFTY SMLCAP 250,9778.6,9826.9,9831.2,9733.6,9756.25,-22.35,-0.003
Nifty Media,2322.95,2331.6,2342.45,2294.75,2317.3,-5.65,-0.004
NIFTY SMLCAP 100,11177.7,11236.25,11239.05,11107.3,11149.3,-28.4,-0.004
Nifty FinSrv25 50,18992.55,19048.2,19102.5,18859.4,18927.35,-65.2,-0.005
Nifty100 Liq 15,4614.85,4620.1,4643.55,4582.9,4597.15,-17.7,-0.006
Nifty Commodities,5927.0,5955.65,5973.85,5894.6,5900.95,-26.05,-0.006
Nifty PSU Bank,2912.0,2927.5,2932.75,2860.8,2870.3,-41.7,-0.021
Nifty Metal,5728.7,5754.75,5761.25,5618.1,5624.3,-104.4,-0.027

Top gainer/losers list for 151121
HCLTECH,EQ,      1172.35,      1170.85,-0.13
HINDALCO,EQ,       468.55,       455.90,-2.7
""
Top Five Nifty 50 Gainers:
SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
POWERGRID,EQ,       188.30,       182.00,3.46
CIPLA,EQ,       938.15,       915.95,2.42
ITC,EQ,       238.10,       232.90,2.23
ONGC,EQ,       157.80,       154.65,2.04
UPL,EQ,       784.05,       769.55,1.88
""
Top Five Nifty 50 Losers:
SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
COALINDIA,EQ,       159.75,       166.95,-4.31
TATASTEEL,EQ,      1245.45,      1287.25,-3.25
HINDALCO,EQ,       455.90,       468.55,-2.7
JSWSTEEL,EQ,       661.50,       671.35,-1.47
EICHERMOT,EQ,      2684.35,      2723.00,-1.42
