,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,9-25,NSE:M&M-EQ,1.05,46.4,16.6,29.8,,3.57,0.5,5.25,13,9,2,0,,1,69.23,10:7,11:15,1:7,0,0.0
1,15,9-15,NSE:M&M-EQ,1.05,37.35,33.3,4.05,,2.87,0.5,5.25,13,7,1,0,,4,53.85,10:16,12:11,1:54,0,0.0
2,15,9-30,NSE:M&M-EQ,1.05,51.75,13.2,38.55,,3.98,0.5,5.25,13,10,2,0,,0,76.92,10:18,11:18,1:0,0,0.0
3,15,10-0,NSE:M&M-EQ,1.05,51.75,19.35,32.4,,3.98,0.5,5.25,13,10,2,0,,0,76.92,10:48,12:6,1:18,0,0.0
4,15,10-15,NSE:HINDALCO-EQ,0.45,13.95,13.9,0.05,396.8,1.07,0.5,2.0,13,7,6,0,,0,53.85,10:45,11:21,0:36,1260,63.0
5,15,10-15,NSE:JINDALSTEL-EQ,0.4,14.8,14.5,0.3,371.3,1.14,0.5,1.9,13,8,5,0,,0,61.54,10:52,11:30,0:37,1347,404.1
6,15,10-0,NSE:BIOCON-EQ,0.35,11.6,11.3,0.3,336.1,0.89,0.5,1.7,13,7,3,0,,3,53.85,10:55,12:12,1:17,1488,446.4
7,10,10-15,NSE:JINDALSTEL-EQ,0.4,14.85,14.3,0.55,371.85,1.14,0.5,1.9,13,8,5,0,,0,61.54,10:50,11:20,0:30,1345,739.75
8,10,10-15,NSE:GAIL-EQ,0.15,5.3,4.95,0.35,153.35,0.41,0.5,0.8,13,7,5,0,,1,53.85,10:35,11:35,1:0,3261,1141.35
9,10,9-15,NSE:MARICO-EQ,0.5,18.05,16.85,1.2,494.35,1.39,0.5,2.5,13,7,2,0,,2,53.85,10:46,11:37,0:51,1011,1213.2
10,10,9-15,NSE:INDUSINDBK-EQ,0.95,36.9,34.65,2.25,913.0,2.84,0.5,4.6,13,8,2,0,,2,61.54,9:45,12:7,2:22,548,1233.0
11,10,9-45,NSE:LUPIN-EQ,0.65,21.75,20.05,1.7,620.75,1.67,0.5,3.15,13,7,5,0,,0,53.85,9:36,10:19,0:42,805,1368.5
12,10,9-25,NSE:ONGC-EQ,0.2,7.15,6.65,0.5,166.9,0.55,0.5,0.85,13,9,3,0,,0,69.23,10:21,11:13,0:52,2996,1498.0
13,10,10-5,NSE:JINDALSTEL-EQ,0.4,14.95,13.8,1.15,371.85,1.15,0.5,1.9,13,8,5,0,,0,61.54,10:32,11:20,0:47,1345,1546.75
14,15,10-15,NSE:BANKBARODA-EQ,0.1,4.3,3.95,0.35,103.7,0.33,0.5,0.55,13,8,2,0,,1,61.54,11:1,12:39,1:37,4822,1687.7
15,10,9-25,NSE:HINDALCO-EQ,0.45,18.2,16.65,1.55,398.4,1.4,0.5,2.05,13,9,4,0,,0,69.23,9:43,11:23,1:40,1255,1945.25
16,15,10-15,NSE:BHARTIARTL-EQ,0.7,24.15,21.4,2.75,666.6,1.86,0.5,3.4,13,7,5,0,,1,53.85,11:0,12:34,1:34,750,2062.5
17,15,9-15,NSE:CHOLAFIN-EQ,0.7,23.65,20.8,2.85,670.85,1.82,0.5,3.4,13,7,1,0,,3,53.85,10:10,11:47,1:36,745,2123.25
18,15,10-0,NSE:INDUSINDBK-EQ,0.95,36.35,32.25,4.1,917.0,2.8,0.5,4.6,13,8,5,0,,0,61.54,10:22,12:9,1:46,545,2234.5
19,10,10-15,NSE:TITAN-EQ,2.15,76.25,66.45,9.8,2130.75,5.87,0.5,10.75,13,7,5,0,,1,53.85,10:36,11:26,0:50,235,2303.0
20,10,9-25,NSE:TITAN-EQ,2.15,86.25,76.2,10.05,2132.1,6.63,0.5,10.6,13,8,4,0,,1,61.54,9:51,11:36,1:45,235,2361.75
21,10,10-5,NSE:TATASTEEL-EQ,1.1,37.0,31.9,5.1,1065.5,2.85,0.5,5.35,13,7,4,0,,2,53.85,10:23,11:7,0:44,469,2391.9
22,10,9-25,NSE:HDFC-EQ,2.3,78.15,66.1,12.05,2252.85,6.01,0.5,11.25,13,7,6,0,,0,53.85,9:59,11:56,1:57,222,2675.1
23,15,10-15,NSE:ONGC-EQ,0.2,6.5,5.6,0.9,166.3,0.5,0.5,0.85,13,8,3,0,,1,61.54,11:1,12:3,1:1,3007,2706.3
24,15,9-30,NSE:SBIN-EQ,0.5,16.35,13.8,2.55,465.3,1.26,0.5,2.35,13,7,5,0,,1,53.85,10:4,11:32,1:27,1075,2741.25
