,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,9-25,NSE:JINDALSTEL-EQ,0.35,27.35,23.9,3.45,314.0,1.82,1,3.2,15,8,6,0,,1,53.33,9:45,10:53,1:8,1592,5492.4
1,10,9-25,NSE:JINDALSTEL-EQ,0.35,27.35,23.9,3.45,314.0,1.82,1,3.2,15,8,6,0,,1,53.33,9:45,10:53,1:8,1592,5492.4
2,10,9-15,NSE:JINDALSTEL-EQ,0.35,30.9,27.05,3.85,314.8,2.06,1,3.25,15,8,3,0,,3,53.33,9:49,11:43,1:54,1588,6113.8
3,10,9-15,NSE:JINDALSTEL-EQ,0.35,30.9,27.05,3.85,314.8,2.06,1,3.25,15,8,3,0,,3,53.33,9:49,11:43,1:54,1588,6113.8
4,15,9-15,NSE:BANKBARODA-EQ,0.1,8.15,6.95,1.2,95.85,0.54,1,1.0,15,8,3,0,,4,53.33,10:16,12:52,2:35,5216,6259.2
5,15,9-15,NSE:BANKBARODA-EQ,0.1,8.15,6.95,1.2,95.85,0.54,1,1.0,15,8,3,0,,4,53.33,10:16,12:52,2:35,5216,6259.2
6,15,9-15,NSE:BANKBARODA-EQ,0.1,8.15,6.95,1.2,95.85,0.54,1,1.0,15,8,3,0,,4,53.33,10:16,12:52,2:35,5216,6259.2
7,10,9-25,NSE:INDUSINDBK-EQ,0.8,67.95,50.1,17.85,776.85,4.53,1,7.85,15,8,6,0,,1,53.33,9:53,12:11,2:17,644,11495.4
8,10,10-5,NSE:JINDALSTEL-EQ,0.35,27.75,19.55,8.2,309.0,1.85,1,3.15,15,8,6,0,,1,53.33,10:33,11:32,0:58,1618,13267.6
9,10,10-5,NSE:JINDALSTEL-EQ,0.35,27.75,19.55,8.2,309.0,1.85,1,3.15,15,8,6,0,,1,53.33,10:33,11:32,0:58,1618,13267.6
10,10,10-5,NSE:BANKBARODA-EQ,0.1,8.1,5.25,2.85,95.45,0.54,1,0.95,15,8,6,0,,1,53.33,10:21,12:8,1:47,5238,14928.3
11,10,10-5,NSE:BANKBARODA-EQ,0.1,8.1,5.25,2.85,95.45,0.54,1,0.95,15,8,6,0,,1,53.33,10:21,12:8,1:47,5238,14928.3
12,10,10-5,NSE:BANKBARODA-EQ,0.1,8.1,5.25,2.85,95.45,0.54,1,0.95,15,8,6,0,,1,53.33,10:21,12:8,1:47,5238,14928.3
13,15,10-15,NSE:JINDALSTEL-EQ,0.35,27.45,18.05,9.4,311.9,1.83,1,3.15,15,8,6,0,,1,53.33,10:43,12:11,1:28,1603,15068.2
14,15,10-15,NSE:JINDALSTEL-EQ,0.35,27.45,18.05,9.4,311.9,1.83,1,3.15,15,8,6,0,,1,53.33,10:43,12:11,1:28,1603,15068.2
15,15,10-0,NSE:CHOLAFIN-EQ,0.65,52.85,32.95,19.9,617.6,3.52,1,6.2,15,8,5,0,,2,53.33,10:23,12:35,2:11,810,16119.0
16,15,9-15,NSE:JINDALSTEL-EQ,0.35,34.05,21.55,12.5,314.0,2.27,1,3.25,15,10,2,0,,3,66.67,9:57,12:6,2:9,1592,19900.0
17,15,9-15,NSE:JINDALSTEL-EQ,0.35,34.05,21.55,12.5,314.0,2.27,1,3.25,15,10,2,0,,3,66.67,9:57,12:6,2:9,1592,19900.0
18,15,10-0,NSE:BANDHANBNK-EQ,0.3,24.9,13.2,11.7,280.55,1.66,1,2.8,15,8,6,0,,1,53.33,10:30,11:11,0:41,1782,20849.4
19,15,9-30,NSE:JINDALSTEL-EQ,0.35,27.35,14.1,13.25,311.4,1.82,1,3.2,15,8,3,0,,4,53.33,10:11,11:46,1:35,1606,21279.5
20,15,9-30,NSE:JINDALSTEL-EQ,0.35,27.35,14.1,13.25,311.4,1.82,1,3.2,15,8,3,0,,4,53.33,10:11,11:46,1:35,1606,21279.5
21,15,10-0,NSE:INDUSINDBK-EQ,0.8,66.7,32.8,33.9,780.4,4.45,1,7.8,15,8,5,0,,2,53.33,10:30,12:37,2:7,641,21729.9
22,10,9-15,NSE:HINDALCO-EQ,0.35,34.85,19.6,15.25,321.95,2.32,1,3.35,15,9,2,0,,4,60.0,10:4,12:31,2:27,1553,23683.25
23,10,10-5,NSE:BANDHANBNK-EQ,0.3,24.9,11.05,13.85,277.3,1.66,1,2.8,15,8,7,0,,0,53.33,10:25,11:18,0:53,1803,24971.55
24,15,10-15,NSE:BANKBARODA-EQ,0.1,9.2,4.3,4.9,95.85,0.61,1,0.95,15,9,4,0,,2,60.0,11:5,13:16,2:11,5216,25558.4
25,15,10-15,NSE:BANKBARODA-EQ,0.1,9.2,4.3,4.9,95.85,0.61,1,0.95,15,9,4,0,,2,60.0,11:5,13:16,2:11,5216,25558.4
26,15,10-15,NSE:BANKBARODA-EQ,0.1,9.2,4.3,4.9,95.85,0.61,1,0.95,15,9,4,0,,2,60.0,11:5,13:16,2:11,5216,25558.4
27,10,10-15,NSE:BANDHANBNK-EQ,0.3,24.9,10.3,14.6,278.75,1.66,1,2.8,15,8,6,0,,1,53.33,10:28,11:23,0:55,1794,26192.4
28,15,9-30,NSE:BANKBARODA-EQ,0.1,9.15,4.1,5.05,94.5,0.61,1,0.95,15,9,3,0,,1,60.0,10:13,12:28,2:15,5291,26719.55
29,15,9-30,NSE:BANKBARODA-EQ,0.1,9.15,4.1,5.05,94.5,0.61,1,0.95,15,9,3,0,,1,60.0,10:13,12:28,2:15,5291,26719.55
30,15,9-30,NSE:BANKBARODA-EQ,0.1,9.15,4.1,5.05,94.5,0.61,1,0.95,15,9,3,0,,1,60.0,10:13,12:28,2:15,5291,26719.55
31,15,10-15,NSE:BANDHANBNK-EQ,0.3,24.75,9.2,15.55,278.1,1.65,1,2.8,15,8,5,0,,2,53.33,10:35,11:39,1:3,1798,27958.9
32,10,10-15,NSE:JINDALSTEL-EQ,0.35,31.0,13.45,17.55,311.9,2.07,1,3.15,15,9,6,0,,0,60.0,10:57,12:3,1:6,1603,28132.65
33,10,10-15,NSE:JINDALSTEL-EQ,0.35,31.0,13.45,17.55,311.9,2.07,1,3.15,15,9,6,0,,0,60.0,10:57,12:3,1:6,1603,28132.65
34,15,9-30,NSE:HINDALCO-EQ,0.35,32.8,12.5,20.3,324.9,2.19,1,3.25,15,9,2,0,,4,60.0,10:23,11:45,1:21,1539,31241.7
35,10,9-15,NSE:UPL-EQ,0.65,64.85,25.15,39.7,634.65,4.32,1,6.55,15,9,2,0,,3,60.0,9:41,11:52,2:11,788,31283.6
36,10,10-15,NSE:BANKBARODA-EQ,0.1,9.05,3.0,6.05,95.6,0.6,1,0.95,15,9,6,0,,0,60.0,10:36,12:50,2:14,5230,31641.5
37,10,10-15,NSE:BANKBARODA-EQ,0.1,9.05,3.0,6.05,95.6,0.6,1,0.95,15,9,6,0,,0,60.0,10:36,12:50,2:14,5230,31641.5
38,10,10-15,NSE:BANKBARODA-EQ,0.1,9.05,3.0,6.05,95.6,0.6,1,0.95,15,9,6,0,,0,60.0,10:36,12:50,2:14,5230,31641.5
39,15,9-30,NSE:TATAMOTORS-EQ,0.4,37.45,10.5,26.95,395.35,2.5,1,3.95,15,9,2,0,,3,60.0,10:25,12:58,2:33,1265,34091.75
40,15,9-30,NSE:UPL-EQ,0.65,57.75,15.05,42.7,625.0,3.85,1,6.4,15,8,3,0,,3,53.33,10:15,12:53,2:38,800,34160.0
