,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,9-25,NSE:M&M-EQ,1.05,51.6,16.6,35.0,,3.69,0.5,5.25,14,10,2,0,,1,71.43,10:7,11:12,1:5,0,0.0
1,15,9-15,NSE:M&M-EQ,1.05,42.55,33.3,9.25,,3.04,0.5,5.25,14,8,1,0,,4,57.14,10:15,12:1,1:46,0,0.0
2,15,9-30,NSE:M&M-EQ,1.05,56.95,13.2,43.75,,4.07,0.5,5.25,14,11,2,0,,0,78.57,10:16,11:15,0:58,0,0.0
3,15,10-0,NSE:M&M-EQ,1.05,56.95,19.35,37.6,,4.07,0.5,5.25,14,11,2,0,,0,78.57,10:46,12:1,1:15,0,0.0
4,10,10-15,NSE:GAIL-EQ,0.15,5.3,5.25,0.05,153.35,0.38,0.5,0.8,14,7,6,0,,1,50.0,10:35,11:35,1:0,3261,163.05
5,10,9-25,NSE:HCLTECH-EQ,1.05,43.75,43.35,0.4,1027.3,3.12,0.5,2.5,14,8,5,0,,1,57.14,10:9,11:28,1:18,487,194.8
6,15,9-15,NSE:UPL-EQ,0.75,26.5,26.15,0.35,740.25,1.89,0.5,3.7,14,7,3,0,,2,50.0,9:32,10:55,1:23,675,236.25
7,15,10-15,NSE:CHOLAFIN-EQ,0.7,23.0,22.55,0.45,676.1,1.64,0.5,3.4,14,7,6,0,,1,50.0,10:49,11:49,1:0,740,333.0
8,10,10-15,NSE:INDIGO-EQ,1.8,72.05,69.85,2.2,1805.95,5.15,0.5,9.0,14,8,5,0,,1,57.14,10:40,11:13,0:33,277,609.4
9,15,9-15,NSE:BANKBARODA-EQ,0.1,5.45,5.2,0.25,103.7,0.39,0.5,0.55,14,10,2,0,,2,71.43,11:6,12:57,1:51,4822,1205.5
10,15,9-45,NSE:SUNPHARMA-EQ,0.85,30.2,28.1,2.1,847.1,2.16,0.5,4.3,14,7,5,0,,2,50.0,10:32,11:21,0:49,590,1239.0
11,10,10-15,NSE:UPL-EQ,0.75,26.7,24.6,2.1,737.05,1.91,0.5,3.75,14,7,6,0,,1,50.0,10:29,11:36,1:7,678,1423.8
12,15,9-30,NSE:POWERGRID-EQ,0.25,8.1,7.4,0.7,222.9,0.58,0.5,1.15,14,7,3,0,,4,50.0,9:53,12:4,2:10,2243,1570.1
13,15,9-15,NSE:BANDHANBNK-EQ,0.35,13.2,12.1,1.1,333.4,0.94,0.5,1.7,14,8,2,0,,3,57.14,10:24,11:41,1:16,1500,1650.0
14,15,9-15,NSE:WIPRO-EQ,0.5,18.85,17.2,1.65,470.4,1.35,0.5,2.4,14,8,0,0,,5,57.14,10:45,12:30,1:45,1063,1753.95
