,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
209,15,9-30,NSE:JINDALSTEL-EQ,0.35,12.0,0.0,12.0,351.1,1.71,0.5,1.8,7,7,0,0,,0,100.0,10:25,11:4,0:38,1424,17088.0
210,15,10-0,NSE:INDUSINDBK-EQ,0.85,29.35,0.0,29.35,843.5,4.19,0.5,4.3,7,7,0,0,,0,100.0,10:32,11:53,1:21,593,17404.55
211,10,10-15,NSE:HDFC-EQ,2.15,74.05,0.0,74.05,2122.35,10.58,0.5,10.7,7,6,0,0,,0,85.71,10:35,11:53,1:18,236,17475.8
212,10,9-15,NSE:ICICIBANK-EQ,0.7,24.35,0.0,24.35,695.25,3.48,0.5,3.5,7,7,0,0,,0,100.0,9:50,10:59,1:8,719,17507.65
213,10,9-35,NSE:TECHM-EQ,1.05,35.6,0.0,35.6,1016.35,5.09,0.5,5.15,7,7,0,0,,0,100.0,9:52,10:57,1:5,492,17515.2
214,15,10-0,NSE:INDIGO-EQ,1.75,59.75,0.0,59.75,1702.0,8.54,0.5,8.7,7,7,0,0,,0,100.0,10:32,11:23,0:51,294,17566.5
215,10,9-35,NSE:ICICIBANK-EQ,0.7,24.3,0.0,24.3,691.35,3.47,0.5,3.5,7,7,0,0,,0,100.0,10:15,11:15,1:0,723,17568.9
216,10,9-15,NSE:TECHM-EQ,1.05,35.85,0.0,35.85,1019.0,5.12,0.5,5.2,7,7,0,0,,0,100.0,10:10,11:9,0:58,491,17602.35
217,10,9-15,NSE:GAIL-EQ,0.15,5.15,0.0,5.15,145.65,0.74,0.5,0.75,7,7,0,0,,0,100.0,10:13,11:36,1:22,3433,17679.95
218,15,10-0,NSE:MARICO-EQ,0.5,17.4,0.0,17.4,491.75,2.49,0.5,2.5,7,6,0,0,,0,85.71,10:42,12:40,1:57,1017,17695.8
219,10,13-15,NSE:LUPIN-EQ,0.65,21.55,0.0,21.55,603.6,3.08,0.5,3.05,7,6,0,0,,0,85.71,13:39,14:22,0:42,828,17843.4
220,15,10-15,NSE:BANKBARODA-EQ,0.1,3.65,0.0,3.65,100.9,0.52,0.5,0.55,7,7,0,0,,0,100.0,11:6,12:15,1:8,4955,18085.75
221,10,9-15,NSE:IOC-EQ,0.15,4.0,0.0,4.0,109.25,0.57,0.5,0.55,7,7,0,0,,0,100.0,10:5,12:26,2:21,4577,18308.0
