,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
40,10,10-5,NSE:SAIL-EQ,0.1,6.0,2.05,3.95,75.4,0.46,1,0.75,13,7,3,0,,2,53.85,10:37,12:8,1:31,6631,26192.45
41,15,9-30,NSE:INDUSINDBK-EQ,0.95,62.2,13.9,48.3,917.0,4.78,1,9.15,13,7,2,0,,3,53.85,10:10,11:49,1:38,545,26323.5
42,15,9-30,NSE:GAIL-EQ,0.15,11.9,3.75,8.15,153.15,0.92,1,1.55,13,8,3,0,,2,61.54,10:7,12:24,2:16,3265,26609.75
43,10,9-25,NSE:TATAMOTORS-EQ,0.45,31.55,8.3,23.25,431.45,2.43,1,4.35,13,7,3,0,,3,53.85,9:47,12:11,2:23,1159,26946.75
44,10,9-25,NSE:TATAMOTORS-EQ,0.45,31.55,8.3,23.25,431.45,2.43,1,4.35,13,7,3,0,,3,53.85,9:47,12:11,2:23,1159,26946.75
45,10,9-15,NSE:IOC-EQ,0.15,8.05,1.45,6.6,118.7,0.62,1,1.2,13,7,0,0,,5,53.85,9:43,12:26,2:42,4212,27799.2
46,15,9-30,NSE:UPL-EQ,0.75,59.3,14.9,44.4,741.4,4.56,1,7.45,13,8,3,0,,1,61.54,10:26,12:52,2:26,674,29925.6
47,10,10-15,NSE:JINDALSTEL-EQ,0.4,32.25,8.2,24.05,371.85,2.48,1,3.75,13,9,4,0,,0,69.23,11:1,11:52,0:51,1345,32347.25
48,10,10-15,NSE:JINDALSTEL-EQ,0.4,32.25,8.2,24.05,371.85,2.48,1,3.75,13,9,4,0,,0,69.23,11:1,11:52,0:51,1345,32347.25
49,10,10-15,NSE:JINDALSTEL-EQ,0.4,32.25,8.2,24.05,371.85,2.48,1,3.75,13,9,4,0,,0,69.23,11:1,11:52,0:51,1345,32347.25
50,15,9-30,NSE:TATAMOTORS-EQ,0.45,37.95,4.1,33.85,431.25,2.92,1,4.35,13,9,1,0,,2,69.23,10:26,12:46,2:20,1159,39232.15
51,15,9-30,NSE:TATAMOTORS-EQ,0.45,37.95,4.1,33.85,431.25,2.92,1,4.35,13,9,1,0,,2,69.23,10:26,12:46,2:20,1159,39232.15
