,Date,Open,High,Low,Close,Shares Traded,Turnover ( Cr)
,04-Apr-2022,17809.10,18114.65,17791.40,18053.40,345526502,38623.94
,05-Apr-2022,18080.60,18095.45,17921.55,17957.40,283453612,25096.70
0,06-Apr-2022,17842.75,17901.0,17779.85,17807.65,328824420,24252.48
1,07-Apr-2022,17723.3,17787.5,17623.7,17639.55,308840215,26236.91
2,08-Apr-2022,17698.15,17842.75,17600.55,17784.35,274447433,25608.1
3,11-Apr-2022,17740.9,17779.05,17650.95,17674.95,251701846,21001.58
4,12-Apr-2022,17584.85,17595.3,17442.35,17530.3,266029060,23958.77
