SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
BIOCON,2022-06-21,EQ,316.1,317.0,326.5,313.5,325.6,1465141,219459,14.980000000000002,-,0,Price increasing with decreasing volume
ASIANPAINT,2022-06-17,EQ,2657.45,2650.1,2657.0,2560.0,2581.0,2043251,1061882,51.970000000000006,-,0,Price increasing with decreasing volume
ASIANPAINT,2022-06-20,EQ,2580.2,2600.0,2673.35,2588.35,2657.95,1595360,603018,37.8,-,0,Price increasing with decreasing volume
ASIANPAINT,2022-06-21,EQ,2660.7,2674.95,2710.0,2640.0,2681.85,1042074,468489,44.96,-,0,Price increasing with decreasing volume
ADANIGREEN,2022-06-17,EQ,1711.1,1681.0,1784.0,1650.2,1692.55,2595892,1006138,38.76,-,0,Price increasing with decreasing volume
ADANIGREEN,2022-06-20,EQ,1711.25,1708.3,1764.0,1677.05,1752.0,1562891,540423,34.58,-,0,Price increasing with decreasing volume
ADANIGREEN,2022-06-21,EQ,1743.65,1760.0,1834.0,1722.0,1803.95,1280817,295759,23.09,-,0,Price increasing with decreasing volume
ACC,2022-06-17,EQ,2084.25,2075.6,2108.3,2047.1,2055.0,492761,238591,48.42,-,0,Price increasing with decreasing volume
ACC,2022-06-20,EQ,2055.1,2055.0,2085.55,2047.15,2063.95,446187,221230,49.58,-,0,Price increasing with decreasing volume
ACC,2022-06-21,EQ,2060.4,2067.0,2090.05,2058.05,2085.0,290807,136927,47.09,-,0,Price increasing with decreasing volume
