,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,15,9-15,NSE:BANKBARODA-EQ,0.1,7.2,6.8,0.4,103.7,0.55,1,1.05,13,7,3,0,,3,53.85,10:32,13:27,2:55,4822,1928.8
1,10,9-15,NSE:BANKBARODA-EQ,0.1,7.2,6.2,1.0,102.55,0.55,1,1.05,13,7,3,0,,3,53.85,9:47,12:46,2:58,4876,4876.0
2,15,9-15,NSE:JINDALSTEL-EQ,0.4,28.35,21.55,6.8,366.05,2.18,1,3.75,13,8,2,0,,3,61.54,10:7,12:22,2:15,1366,9288.8
3,10,9-25,NSE:INDUSINDBK-EQ,0.95,61.45,44.3,17.15,913.0,4.73,1,9.15,13,7,5,0,,1,53.85,9:52,12:6,2:14,548,9398.2
4,10,9-25,NSE:INDUSINDBK-EQ,0.95,61.45,44.3,17.15,913.0,4.73,1,9.15,13,7,5,0,,1,53.85,9:52,12:6,2:14,548,9398.2
5,10,9-25,NSE:JINDALSTEL-EQ,0.4,24.8,17.5,7.3,374.3,1.91,1,3.75,13,7,5,0,,1,53.85,9:52,11:26,1:34,1336,9752.8
6,10,9-15,NSE:ONGC-EQ,0.2,12.4,8.95,3.45,166.9,0.95,1,1.7,13,8,1,0,,3,61.54,10:41,13:1,2:20,2996,10336.2
7,10,9-15,NSE:GAIL-EQ,0.15,10.5,7.05,3.45,154.0,0.81,1,1.55,13,7,1,0,,5,53.85,10:10,12:0,1:50,3247,11202.15
8,10,10-5,NSE:BANKBARODA-EQ,0.1,7.2,4.85,2.35,103.05,0.55,1,1.05,13,7,5,0,,1,53.85,10:23,12:19,1:55,4852,11402.2
9,10,9-15,NSE:JINDALSTEL-EQ,0.4,28.35,19.6,8.75,366.15,2.18,1,3.75,13,7,2,0,,3,53.85,9:53,11:47,1:53,1366,11952.5
10,15,9-30,NSE:INDIGO-EQ,1.8,121.85,78.65,43.2,1788.05,9.37,1,17.85,13,7,3,0,,2,53.85,9:55,11:45,1:49,280,12096.0
11,10,10-5,NSE:JINDALSTEL-EQ,0.4,25.25,15.25,10.0,371.85,1.94,1,3.75,13,7,5,0,,1,53.85,10:22,11:29,1:7,1345,13450.0
12,15,10-15,NSE:JINDALSTEL-EQ,0.4,24.9,14.75,10.15,371.3,1.92,1,3.75,13,7,5,0,,1,53.85,10:49,11:57,1:8,1347,13672.05
13,15,9-15,NSE:ONGC-EQ,0.2,10.85,6.0,4.85,166.9,0.83,1,1.7,13,7,0,0,,4,53.85,11:10,13:6,1:55,2996,14530.6
14,10,9-25,NSE:INDIGO-EQ,1.8,122.45,67.35,55.1,1791.9,9.42,1,17.9,13,7,3,0,,3,53.85,9:43,11:33,1:50,279,15372.9
15,15,10-0,NSE:MARICO-EQ,0.5,35.0,17.35,17.65,487.0,2.69,1,4.9,13,7,2,0,,3,53.85,10:27,12:23,1:55,1027,18126.55
16,15,10-0,NSE:GAIL-EQ,0.15,10.35,4.7,5.65,153.55,0.8,1,1.55,13,7,4,0,,2,53.85,11:6,12:17,1:10,3256,18396.4
17,15,10-15,NSE:BANKBARODA-EQ,0.1,8.2,4.35,3.85,103.7,0.63,1,1.05,13,8,3,0,,1,61.54,11:9,13:18,2:9,4822,18564.7
18,10,10-15,NSE:BANKBARODA-EQ,0.1,7.1,3.25,3.85,103.25,0.55,1,1.05,13,7,6,0,,0,53.85,10:39,12:55,2:15,4843,18645.55
19,15,10-0,NSE:SAIL-EQ,0.1,5.1,2.3,2.8,74.9,0.39,1,0.75,13,7,2,0,,2,53.85,10:40,12:8,1:27,6676,18692.8
20,15,10-0,NSE:SAIL-EQ,0.1,5.1,2.3,2.8,74.9,0.39,1,0.75,13,7,2,0,,2,53.85,10:40,12:8,1:27,6676,18692.8
21,15,10-0,NSE:JINDALSTEL-EQ,0.4,24.95,10.25,14.7,368.5,1.92,1,3.75,13,7,2,0,,4,53.85,10:34,11:57,1:23,1357,19947.9
22,10,10-5,NSE:MARICO-EQ,0.5,34.8,15.3,19.5,487.4,2.68,1,4.9,13,7,4,0,,2,53.85,10:25,12:29,2:4,1026,20007.0
23,10,9-15,NSE:ICICIBANK-EQ,0.75,51.8,19.95,31.85,726.65,3.98,1,7.3,13,7,4,0,,2,53.85,9:48,12:52,3:3,688,21912.8
