
1655956079777 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956079893 :: {'s': 'ok', 'candles': [[1655955900, 809.5, 816.2, 808.5, 810.9, 33955]]}
1655956683153 :: history :: {'symbol': 'NSE:LUPIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956683239 :: {'s': 'ok', 'candles': [[1655955900, 615.45, 619.05, 613.7, 616.3, 36602], [1655956500, 616.3, 616.45, 614.95, 615.3, 4772]]}

1655956683550 :: history :: {'symbol': 'NSE:TATAMOTORS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956683653 :: {'s': 'ok', 'candles': [[1655955900, 396.3, 398.55, 394.55, 398.15, 1061411], [1655956500, 398.2, 400.6, 398.15, 400.1, 451983]]}

1655956683966 :: history :: {'symbol': 'NSE:IOC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956684072 :: {'s': 'ok', 'candles': [[1655955900, 106.0, 106.4, 105.15, 106.2, 884395], [1655956500, 106.2, 106.3, 105.9, 106.25, 86774]]}

1655956684386 :: history :: {'symbol': 'NSE:JINDALSTEL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956684494 :: {'s': 'ok', 'candles': [[1655955900, 309.5, 310.55, 305.3, 309.0, 630794], [1655956500, 309.0, 309.8, 308.3, 309.25, 91997]]}

1655956684807 :: history :: {'symbol': 'NSE:BIOCON-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956684900 :: {'s': 'ok', 'candles': [[1655955900, 315.5, 316.55, 312.55, 315.95, 94679], [1655956500, 316.0, 316.7, 315.7, 316.4, 13635]]}

1655956685213 :: history :: {'symbol': 'NSE:BPCL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956685296 :: {'s': 'ok', 'candles': [[1655955900, 308.45, 309.0, 305.5, 307.4, 539807], [1655956500, 307.5, 307.65, 306.55, 307.2, 72242]]}

1655956685607 :: history :: {'symbol': 'NSE:CIPLA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956685685 :: {'s': 'ok', 'candles': [[1655955900, 917.0, 921.55, 914.4, 917.5, 50338], [1655956500, 917.15, 921.1, 917.15, 920.5, 13952]]}

1655956685997 :: history :: {'symbol': 'NSE:TATASTEEL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956686083 :: {'s': 'ok', 'candles': [[1655955900, 840.0, 846.6, 835.45, 846.6, 931036], [1655956500, 846.1, 849.45, 844.1, 845.4, 168676]]}

1655956686394 :: history :: {'symbol': 'NSE:HDFC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956686486 :: {'s': 'ok', 'candles': [[1655955900, 2156.35, 2169.0, 2142.25, 2168.75, 196316], [1655956500, 2168.9, 2177.45, 2167.5, 2168.15, 65524]]}

1655956686796 :: history :: {'symbol': 'NSE:BANKBARODA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956686867 :: {'s': 'ok', 'candles': [[1655955900, 95.2, 95.7, 94.6, 94.95, 1545552], [1655956500, 94.95, 95.1, 94.85, 95.05, 305283]]}

1655956687178 :: history :: {'symbol': 'NSE:COALINDIA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956687267 :: {'s': 'ok', 'candles': [[1655955900, 180.3, 180.9, 178.2, 180.4, 626168], [1655956500, 180.4, 180.75, 180.0, 180.35, 81282]]}

1655956687583 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956687669 :: {'s': 'ok', 'candles': [[1655955900, 449.0, 449.5, 447.2, 449.35, 491778], [1655956500, 449.35, 450.3, 449.3, 449.85, 157525]]}

1655956687979 :: history :: {'symbol': 'NSE:ADANIPORTS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956688059 :: {'s': 'ok', 'candles': [[1655955900, 672.7, 675.5, 670.05, 675.45, 169380], [1655956500, 675.45, 678.5, 675.4, 677.95, 65301]]}

1655956688375 :: history :: {'symbol': 'NSE:MARICO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956688451 :: {'s': 'ok', 'candles': [[1655955900, 481.15, 481.95, 475.3, 476.35, 83330], [1655956500, 476.35, 478.3, 476.35, 478.3, 10342]]}

1655956688765 :: history :: {'symbol': 'NSE:M&M-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956688847 :: {'s': 'ok', 'candles': [[1655955900, 986.0, 998.5, 985.2, 995.45, 303242], [1655956500, 995.65, 996.5, 993.2, 994.2, 83831]]}

1655956689161 :: history :: {'symbol': 'NSE:WIPRO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956689229 :: {'s': 'ok', 'candles': [[1655955900, 412.5, 419.85, 412.5, 417.8, 648883], [1655956500, 418.0, 418.75, 418.0, 418.3, 80819]]}

1655956813428 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956813520 :: {'s': 'ok', 'candles': [[1655955900, 809.5, 816.2, 808.5, 810.15, 102868], [1655956500, 810.15, 813.95, 809.65, 813.6, 25805]]}

1655956813837 :: history :: {'symbol': 'NSE:POWERGRID-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956813909 :: {'s': 'ok', 'candles': [[1655955900, 210.1, 210.8, 208.6, 210.2, 419694], [1655956500, 210.2, 210.45, 209.3, 210.45, 113470]]}

1655956814219 :: history :: {'symbol': 'NSE:ITC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956814300 :: {'s': 'ok', 'candles': [[1655955900, 265.5, 267.0, 265.1, 266.45, 557305], [1655956500, 266.45, 266.95, 266.0, 266.1, 153070]]}

1655956814612 :: history :: {'symbol': 'NSE:KOTAKBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956814684 :: {'s': 'ok', 'candles': [[1655955900, 1675.0, 1675.5, 1663.25, 1675.3, 67202], [1655956500, 1675.85, 1681.9, 1675.5, 1679.0, 14029]]}

1655956814993 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956815077 :: {'s': 'ok', 'candles': [[1655955900, 648.15, 657.5, 647.75, 655.85, 414926], [1655956500, 655.5, 656.25, 653.1, 654.2, 95783]]}

1655956815389 :: history :: {'symbol': 'NSE:HCLTECH-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956815473 :: {'s': 'ok', 'candles': [[1655955900, 962.1, 973.45, 958.6, 973.0, 143324], [1655956500, 973.25, 974.4, 969.55, 970.9, 28937]]}

1655956815784 :: history :: {'symbol': 'NSE:TITAN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956815866 :: {'s': 'ok', 'candles': [[1655955900, 2040.0, 2040.0, 1997.15, 2016.3, 136838], [1655956500, 2016.05, 2022.35, 2015.0, 2017.3, 29843]]}

1655956816176 :: history :: {'symbol': 'NSE:ICICIBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956816255 :: {'s': 'ok', 'candles': [[1655955900, 690.2, 693.9, 690.2, 693.45, 424055], [1655956500, 693.55, 695.25, 693.55, 694.55, 112927]]}

1655956816566 :: history :: {'symbol': 'NSE:ONGC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956816652 :: {'s': 'ok', 'candles': [[1655955900, 134.0, 134.65, 132.2, 134.25, 2261538], [1655956500, 134.25, 134.4, 133.6, 133.9, 607763]]}

1655956816963 :: history :: {'symbol': 'NSE:CHOLAFIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956817052 :: {'s': 'ok', 'candles': [[1655955900, 620.0, 634.0, 613.7, 634.0, 303082], [1655956500, 634.0, 642.0, 633.05, 640.95, 271735]]}

