,SYMBOL,21-MAR-2022,22-MAR-2022,23-MAR-2022,24-MAR-2022,25-MAR-2022,28-MAR-2022,29-MAR-2022,30-MAR-2022,31-MAR-2022,01-APR-2022,04-APR-2022,05-APR-2022,06-APR-2022,07-APR-2022,V AVERAGE
15,ICICIBANK,0.4203,0.4203,0.4203,0.4222,0.4203,0.4222,0.4203,0.4222,0.4203,0.4203,0.4222,0.4203,0.4203,0.4031,0.42
12,SBIN,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4203,0.4184,0.4184,0.4184,0.4088,0.418
18,COALINDIA,0.3936,0.3917,0.3917,0.3936,0.3917,0.3936,0.3936,0.3936,0.3917,0.3936,0.3917,0.3917,0.3936,0.428,0.395
2,M&M,0.3955,0.3936,0.3955,0.3936,0.3936,0.3936,0.3936,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3955,0.394
10,BPCL,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.3917,0.3917,0.3917,0.3955,0.3917,0.3917,0.3917,0.3917,0.392
44,EICHERMOT,0.384,0.384,0.384,0.384,0.384,0.384,0.3878,0.384,0.384,0.384,0.384,0.384,0.384,0.3745,0.384
20,KOTAKBANK,0.384,0.3821,0.384,0.384,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.384,0.3821,0.3821,0.3821,0.383
49,TECHM,0.3783,0.3821,0.3783,0.3783,0.3802,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3859,0.379
26,TITAN,0.3764,0.3764,0.3764,0.3783,0.3802,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.3783,0.377
14,GRASIM,0.3764,0.3725,0.3725,0.3725,0.3725,0.3745,0.3725,0.3745,0.3725,0.3725,0.3725,0.3745,0.3725,0.3897,0.374
33,BHARTIARTL,0.3745,0.3745,0.3745,0.3745,0.3745,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3745,0.3745,0.363,0.374
1,MARUTI,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3936,0.369
28,HDFC,0.3611,0.3611,0.363,0.363,0.3611,0.363,0.363,0.363,0.3611,0.363,0.3802,0.363,0.3649,0.3936,0.366
31,TATACONSUM,0.363,0.3592,0.3592,0.3592,0.3592,0.3592,0.3592,0.3611,0.3592,0.3611,0.3592,0.3611,0.3592,0.3764,0.361
8,RELIANCE,0.3611,0.363,0.3611,0.3611,0.3611,0.3611,0.3611,0.363,0.3611,0.3611,0.3611,0.3611,0.3611,0.3573,0.361
6,NTPC,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3611,0.3534,0.3554,0.3534,0.3458,0.354
