,SYMBOL,13-MAY-2022,16-MAY-2022,17-MAY-2022,18-MAY-2022,19-MAY-2022,20-MAY-2022,23-MAY-2022,24-MAY-2022,25-MAY-2022,26-MAY-2022,30-MAY-2022,31-MAY-2022,01-JUN-2022,V AVERAGE
53,BAJAJHLDNG,0.4184,0.4165,0.4165,0.4146,0.4146,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.4088,0.4088,0.413
54,MUTHOOTFIN,0.4069,0.4069,0.4108,0.4088,0.4088,0.4088,0.4069,0.4069,0.4069,0.405,0.4088,0.4069,0.4088,0.408
11,GODREJCP,0.4031,0.4031,0.4031,0.4031,0.405,0.4108,0.4088,0.4088,0.4069,0.4088,0.4069,0.4088,0.4088,0.407
14,GLAND,0.4031,0.405,0.405,0.4031,0.4031,0.4012,0.4031,0.405,0.4088,0.4108,0.4088,0.4088,0.4088,0.406
2,AMBUJACEM,0.4088,0.4088,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4012,0.4012,0.3993,0.405
79,SBIN,0.4012,0.4012,0.4031,0.4012,0.4031,0.4031,0.4031,0.4012,0.4012,0.4012,0.4012,0.3993,0.3993,0.401
68,SBICARD,0.4031,0.4012,0.4012,0.4012,0.4012,0.4012,0.4012,0.3993,0.3993,0.3993,0.3974,0.3974,0.3955,0.4
48,LUPIN,0.3917,0.3897,0.3897,0.3897,0.4012,0.3993,0.4012,0.4012,0.4012,0.4012,0.3993,0.3993,0.3993,0.397
64,MCDOWELL-N,0.3878,0.3878,0.3878,0.3878,0.3936,0.3917,0.3917,0.3917,0.3936,0.3936,0.3993,0.3993,0.3993,0.393
21,HDFC,0.3936,0.3936,0.3936,0.3917,0.3917,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.3917,0.3897,0.392
62,TECHM,0.3859,0.3859,0.384,0.384,0.3917,0.3917,0.3897,0.3936,0.3955,0.3955,0.3993,0.3993,0.3993,0.392
44,GRASIM,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.3897,0.3917,0.3917,0.3917,0.3917,0.3917,0.3897,0.391
26,BOSCHLTD,0.3802,0.3802,0.3821,0.384,0.3917,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.3936,0.3936,0.391
51,M&M,0.3878,0.3878,0.3878,0.3859,0.3878,0.3878,0.3917,0.3897,0.3897,0.3897,0.3936,0.3955,0.3955,0.39
90,ICICIBANK,0.3897,0.3878,0.3917,0.3897,0.3897,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.389
58,HAVELLS,0.3897,0.3878,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3859,0.3897,0.3897,0.3897,0.3897,0.388
9,MARUTI,0.3859,0.3859,0.3897,0.3878,0.3878,0.3878,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3859,0.388
5,BPCL,0.3897,0.3878,0.3878,0.3897,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.384,0.384,0.3821,0.387
8,EICHERMOT,0.3764,0.3878,0.3897,0.3878,0.3878,0.3878,0.3878,0.3878,0.3859,0.3859,0.384,0.384,0.3821,0.386
67,TORNTPHARM,0.3783,0.3783,0.3783,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.3974,0.3955,0.3955,0.3955,0.383
42,TITAN,0.3802,0.3783,0.3802,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.3764,0.3802,0.3802,0.3802,0.379
19,TATACONSUM,0.3745,0.3745,0.3725,0.3745,0.3783,0.3783,0.3783,0.3783,0.3764,0.3764,0.3764,0.3764,0.3764,0.376
17,HDFCLIFE,0.3725,0.3725,0.3706,0.3706,0.3725,0.3745,0.3745,0.3725,0.3745,0.3745,0.3745,0.3745,0.3745,0.373
49,KOTAKBANK,0.3706,0.3706,0.3687,0.3687,0.3706,0.3706,0.3706,0.3706,0.3706,0.3687,0.3687,0.3706,0.3706,0.37
61,HEROMOTOCO,0.3725,0.3725,0.3706,0.3706,0.3706,0.3706,0.3706,0.3706,0.3687,0.3687,0.3706,0.3687,0.3687,0.37
7,SHREECEM,0.3725,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3687,0.37
80,HDFCAMC,0.3668,0.3668,0.3668,0.3668,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3706,0.3725,0.3725,0.369
50,DIVISLAB,0.3496,0.3496,0.3496,0.3496,0.3534,0.3534,0.3764,0.3859,0.3878,0.3878,0.3878,0.3859,0.3859,0.369
13,RELIANCE,0.3592,0.3592,0.363,0.3611,0.3611,0.3687,0.3687,0.3668,0.3668,0.3649,0.3668,0.3668,0.3649,0.364
34,WIPRO,0.3554,0.3554,0.3592,0.3573,0.3668,0.3668,0.3668,0.3668,0.3687,0.3687,0.3687,0.3687,0.3687,0.364
1,ACC,0.3592,0.363,0.363,0.3611,0.3611,0.3592,0.3592,0.3592,0.3573,0.3573,0.3554,0.3554,0.3534,0.359
37,ZYDUSLIFE,0.3573,0.3573,0.3573,0.3554,0.3573,0.363,0.363,0.363,0.3611,0.3611,0.3592,0.3592,0.3592,0.359
31,ICICIGI,0.3573,0.3573,0.3554,0.3554,0.3573,0.3554,0.3573,0.3554,0.3573,0.3573,0.3573,0.3573,0.3554,0.357
74,SIEMENS,0.3573,0.3573,0.3554,0.3554,0.3573,0.3592,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.357
20,IOC,0.3515,0.3515,0.3515,0.3573,0.3573,0.3554,0.3554,0.3554,0.3573,0.3554,0.3554,0.3534,0.3534,0.355
25,BHARTIARTL,0.3534,0.3515,0.3534,0.3515,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3515,0.3496,0.352
10,ULTRACEMCO,0.3496,0.3515,0.3515,0.3515,0.3515,0.3515,0.3534,0.3534,0.3534,0.3515,0.3534,0.3515,0.3515,0.352
73,NTPC,0.3496,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3515,0.3515,0.3515,0.3534,0.3515,0.35
12,ASIANPAINT,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.3439,0.3611,0.3611,0.3592,0.3573,0.3573,0.349
65,SBILIFE,0.3496,0.3496,0.3496,0.3496,0.3496,0.3477,0.3477,0.3477,0.3477,0.3458,0.3477,0.3477,0.3477,0.348
81,POWERGRID,0.3477,0.3458,0.3458,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3458,0.3458,0.348
