,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
86,BPCL,2022-04-18,EQ,379.0,379.0,379.0,371.05,371.45,371.75,373.64,2792673,104345386985000.0,50478,1070288,38.32,-,0,0.391
87,BPCL,2022-04-19,EQ,371.75,373.9,383.85,373.0,374.0,375.85,379.42,5796327,219925349935000.0,74450,2321623,40.05,-,0,0.391
78,GRASIM,2022-04-18,EQ,1765.95,1761.0,1767.3,1725.1,1750.0,1741.3,1741.66,464736,80941382515000.0,30519,133744,28.78,-,0,0.386
79,GRASIM,2022-04-19,EQ,1741.3,1754.0,1777.0,1700.1,1706.0,1720.4,1744.68,744930,129966384215000.02,40577,271005,36.38,-,0,0.386
18,TECHM,2022-04-18,EQ,1410.45,1390.0,1390.0,1330.2,1347.9,1344.55,1343.01,3968044,532913635210000.06,179087,2014735,50.77,-,0,0.383
19,TECHM,2022-04-19,EQ,1344.55,1361.85,1361.85,1285.65,1294.95,1301.2,1324.55,2677360,354630688705000.0,118987,1562947,58.38,-,0,0.383
74,HDFC,2022-04-18,EQ,2378.5,2318.6,2322.0,2257.05,2264.0,2263.5,2282.57,9158650,2090522286225000.0,305740,6678111,72.92,-,0,0.382
75,HDFC,2022-04-19,EQ,2263.5,2264.1,2270.9,2111.25,2121.75,2140.2,2179.3,20050720,4369658192145000.0,563837,13857159,69.11,-,0,0.382
46,MARUTI,2022-04-18,EQ,7469.5,7374.5,7599.0,7355.0,7579.5,7573.5,7500.98,551783,413891492340000.0,72417,189590,34.36,-,0,0.381
47,MARUTI,2022-04-19,EQ,7573.5,7580.0,7678.0,7350.0,7373.65,7435.1,7565.19,425990,322269687250000.0,61187,170347,39.99,-,0,0.381
52,KOTAKBANK,2022-04-18,EQ,1779.6,1775.6,1775.6,1730.0,1754.0,1750.4,1746.44,1960141,342325909530000.0,93497,927801,47.33,-,0,0.381
53,KOTAKBANK,2022-04-19,EQ,1750.4,1763.0,1766.7,1687.0,1702.5,1707.5,1732.99,2389574,414110853020000.0,102775,1233749,51.63,-,0,0.381
80,EICHERMOT,2022-04-18,EQ,2491.45,2480.0,2531.1,2456.15,2515.0,2511.0,2485.38,322926,80259377300000.0,32305,86555,26.8,-,0,0.377
81,EICHERMOT,2022-04-19,EQ,2511.0,2516.0,2574.9,2421.1,2434.9,2454.85,2525.67,636517,160763330840000.0,46432,156704,24.62,-,0,0.377
16,TITAN,2022-04-18,EQ,2461.35,2435.0,2500.0,2410.0,2493.25,2493.45,2461.41,1109814,273170529910000.0,74589,480656,43.31,-,0,0.376
17,TITAN,2022-04-19,EQ,2493.45,2509.4,2520.6,2441.0,2441.25,2452.6,2493.73,929834,231875193650000.0,58595,432672,46.53,-,0,0.376
