,SYMBOL,01-JUN-2022,02-JUN-2022,03-JUN-2022,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,20-JUN-2022,V AVERAGE
55,INDUSINDBK,0.554,0.5521,0.5521,0.5502,0.5483,0.5483,0.5464,0.5464,0.5483,0.5483,0.5464,0.5483,0.5464,0.5464,0.549
70,DLF,0.5483,0.5464,0.5464,0.5445,0.5445,0.5445,0.5426,0.5426,0.5445,0.5426,0.5426,0.5445,0.5426,0.5407,0.544
35,INDUSTOWER,0.5464,0.5445,0.5426,0.5426,0.5407,0.5407,0.5388,0.5368,0.5368,0.5349,0.5349,0.533,0.533,0.5311,0.538
41,ADANIENT,0.5388,0.5388,0.5368,0.5368,0.5349,0.5349,0.5349,0.533,0.5368,0.5407,0.5388,0.5426,0.5407,0.5388,0.538
86,TATASTEEL,0.5349,0.5349,0.533,0.533,0.5311,0.5311,0.5311,0.5311,0.5311,0.5311,0.5292,0.5349,0.533,0.5368,0.533
77,BANKBARODA,0.533,0.533,0.5311,0.5311,0.5292,0.5292,0.5273,0.5254,0.5292,0.5273,0.5273,0.5273,0.5254,0.5273,0.529
56,HINDALCO,0.5292,0.5273,0.5254,0.5254,0.5235,0.5216,0.5216,0.5216,0.5254,0.5254,0.5235,0.5292,0.5273,0.5292,0.525
63,NAUKRI,0.5177,0.5197,0.5197,0.5197,0.5197,0.5177,0.5177,0.5177,0.5177,0.5158,0.5158,0.5139,0.512,0.512,0.517
40,MINDTREE,0.5177,0.5177,0.5177,0.5158,0.5139,0.5139,0.512,0.512,0.5177,0.5158,0.5139,0.5158,0.5158,0.5139,0.515
66,PNB,0.5197,0.5197,0.5177,0.5177,0.5158,0.5139,0.5139,0.512,0.512,0.5101,0.5101,0.5101,0.5082,0.5082,0.514
89,JSWSTEEL,0.5158,0.5158,0.5139,0.5158,0.5139,0.512,0.512,0.5101,0.5101,0.5082,0.5063,0.5082,0.5063,0.5044,0.511
57,NMDC,0.5101,0.5101,0.5082,0.5082,0.5063,0.5063,0.5044,0.5044,0.5063,0.5063,0.5044,0.5082,0.5082,0.5082,0.507
32,INDIGO,0.5101,0.5082,0.5082,0.5063,0.5044,0.5044,0.5025,0.5025,0.5025,0.5006,0.5006,0.5025,0.5025,0.5063,0.504
43,JUBLFOOD,0.5025,0.5025,0.5006,0.5006,0.5006,0.4986,0.4986,0.4967,0.4967,0.4948,0.4929,0.4929,0.4948,0.4948,0.498
93,NYKAA,0.491,0.491,0.4891,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853,0.4834,0.4814,0.4814,0.4834,0.4814,0.486
83,APOLLOHOSP,0.4872,0.491,0.491,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853,0.4834,0.4834,0.4814,0.4814,0.4814,0.486
84,ONGC,0.4776,0.4776,0.4757,0.4757,0.4795,0.4776,0.4776,0.4757,0.4776,0.4757,0.4776,0.4814,0.4795,0.4834,0.478
100,LTI,0.4776,0.4776,0.4776,0.4757,0.4757,0.4738,0.4738,0.4719,0.4776,0.4776,0.4757,0.4776,0.4757,0.4757,0.476
39,ADANIPORTS,0.4738,0.4738,0.4719,0.4719,0.47,0.4681,0.4681,0.4662,0.47,0.4681,0.4681,0.4681,0.4681,0.4662,0.469
98,BAJFINANCE,0.4604,0.4604,0.4585,0.4585,0.4585,0.4566,0.4566,0.4585,0.4623,0.4623,0.4623,0.4643,0.4643,0.4623,0.46
59,SRF,0.4604,0.4585,0.4566,0.4566,0.4566,0.4566,0.4566,0.4547,0.4547,0.4528,0.4528,0.4566,0.4547,0.4547,0.456
60,COALINDIA,0.4528,0.4528,0.4509,0.4509,0.449,0.449,0.4471,0.4471,0.449,0.4471,0.4471,0.4509,0.4509,0.4509,0.45
4,BIOCON,0.4528,0.4528,0.4509,0.449,0.449,0.4471,0.4528,0.4509,0.4509,0.4509,0.449,0.449,0.449,0.4471,0.45
91,BAJAJFINSV,0.4432,0.4432,0.4432,0.4413,0.4413,0.4394,0.4394,0.4394,0.449,0.4471,0.449,0.4509,0.4509,0.449,0.445
78,AXISBANK,0.4337,0.4318,0.4318,0.4299,0.4299,0.4299,0.428,0.426,0.426,0.426,0.4241,0.4241,0.4241,0.4222,0.428
15,UPL,0.4203,0.4203,0.4184,0.4184,0.4203,0.4203,0.4203,0.4203,0.4184,0.4184,0.4165,0.4203,0.4203,0.4222,0.42
38,DMART,0.4203,0.4203,0.4184,0.4184,0.4184,0.4165,0.4165,0.4165,0.4184,0.4165,0.4165,0.4146,0.4222,0.4203,0.418
85,PIIND,0.4203,0.4184,0.4184,0.4165,0.4184,0.4165,0.4165,0.4146,0.4127,0.4127,0.4127,0.4127,0.4146,0.4127,0.416
22,ICICIPRULI,0.4165,0.4146,0.4146,0.4146,0.4146,0.4146,0.4165,0.4165,0.4165,0.4165,0.4165,0.4146,0.4146,0.4146,0.415
97,GAIL,0.4165,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.4108,0.4108,0.4088,0.4088,0.4127,0.4108,0.4184,0.412
53,BAJAJHLDNG,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4012,0.4012,0.4012,0.4031,0.4108,0.4108,0.405
54,MUTHOOTFIN,0.4088,0.4069,0.4069,0.4069,0.4069,0.405,0.405,0.405,0.405,0.4031,0.4031,0.4012,0.4031,0.4031,0.405
11,GODREJCP,0.4088,0.4069,0.4069,0.405,0.405,0.405,0.405,0.4031,0.4031,0.4031,0.4012,0.4012,0.4012,0.405,0.404
14,GLAND,0.4088,0.4088,0.4069,0.4069,0.4069,0.405,0.4031,0.4031,0.4031,0.4031,0.4012,0.4012,0.4012,0.4012,0.404
62,TECHM,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.4012,0.4012,0.3993,0.4031,0.4031,0.4031,0.399
64,MCDOWELL-N,0.3993,0.3993,0.3993,0.3993,0.3974,0.3974,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.3955,0.3955,0.397
44,GRASIM,0.3897,0.3897,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.3955,0.3936,0.3955,0.3955,0.3955,0.395
79,SBIN,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3936,0.3936,0.3955,0.3936,0.3936,0.3936,0.3936,0.3917,0.395
68,SBICARD,0.3955,0.3955,0.3936,0.3936,0.3936,0.3936,0.3936,0.3917,0.3955,0.3936,0.3936,0.3936,0.3955,0.3936,0.394
2,AMBUJACEM,0.3993,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3878,0.394
48,LUPIN,0.3993,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.393
26,BOSCHLTD,0.3936,0.3936,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.3878,0.392
51,M&M,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.3897,0.3897,0.3878,0.3878,0.391
67,TORNTPHARM,0.3955,0.3936,0.3936,0.3917,0.3917,0.3897,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.39
21,HDFC,0.3897,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3878,0.388
58,HAVELLS,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3859,0.3859,0.3878,0.3878,0.3878,0.3878,0.3859,0.387
90,ICICIBANK,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.384,0.384,0.3821,0.3821,0.3821,0.3802,0.383
5,BPCL,0.3821,0.3821,0.3821,0.3821,0.3821,0.3802,0.3821,0.3802,0.384,0.3821,0.3821,0.3802,0.3821,0.3821,0.382
9,MARUTI,0.3859,0.3859,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.382
