,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
96,AXISBANK,2022-03-29,EQ,736.0,741.65,741.65,731.0,738.8,737.8,736.28,6174137,454588812860000.06,113825,2344030,37.97,-,0,0.45
97,AXISBANK,2022-03-30,EQ,737.8,747.0,765.85,741.3,754.5,750.45,753.77,16618114,1252619790465000.0,199667,7430795,44.72,-,0,0.45
16,UPL,2022-03-29,EQ,780.75,781.5,790.4,779.05,781.1,782.0,783.71,1636109,128223901465000.02,50572,700601,42.82,-,0,0.44
17,UPL,2022-03-30,EQ,782.0,782.0,785.5,774.0,775.8,776.15,779.2,1113587,86770528295000.0,34066,375277,33.7,-,0,0.44
64,ICICIBANK,2022-03-29,EQ,710.35,714.3,716.95,705.85,715.65,715.3,712.64,11489374,818777916440000.0,262014,5716259,49.75,-,0,0.421
65,ICICIBANK,2022-03-30,EQ,715.3,721.05,731.75,719.1,729.45,730.9,727.15,20154520,1465531453320000.0,441930,13967546,69.3,-,0,0.421
32,SBIN,2022-03-29,EQ,497.5,500.0,501.4,491.7,495.5,495.0,496.03,14301429,709397688855000.0,149505,4400398,30.770000000000003,-,0,0.419
33,SBIN,2022-03-30,EQ,495.0,499.3,500.4,492.3,493.0,494.3,496.58,16461225,817433115980000.0,196570,7485867,45.48,-,0,0.419
48,M&M,2022-03-29,EQ,769.25,771.0,783.0,770.7,774.0,773.35,774.53,3519610,272605416195000.0,61153,1831753,52.04,-,0,0.395
49,M&M,2022-03-30,EQ,773.35,779.3,795.0,775.9,794.0,793.35,789.62,4407033,347987111915000.0,86102,2895221,65.7,-,0,0.395
88,BPCL,2022-03-29,EQ,359.7,362.0,362.4,357.95,358.2,358.45,359.97,5708664,205493183190000.0,39902,3819630,66.91,-,0,0.392
89,BPCL,2022-03-30,EQ,358.45,360.5,362.4,359.2,360.1,360.05,360.58,4123566,148687602240000.0,57504,2578781,62.53999999999999,-,0,0.392
80,EICHERMOT,2022-03-29,EQ,2380.0,2378.5,2492.95,2360.05,2487.0,2480.5,2428.07,1317033,319784500990000.0,62131,576945,43.81,-,0,0.384
81,EICHERMOT,2022-03-30,EQ,2480.5,2488.1,2518.2,2444.45,2485.0,2486.55,2483.11,1198770,297667912645000.0,59693,372683,31.09,-,0,0.384
