,SYMBOL,12-APR-2022,13-APR-2022,18-APR-2022,19-APR-2022,20-APR-2022,21-APR-2022,22-APR-2022,25-APR-2022,26-APR-2022,27-APR-2022,28-APR-2022,29-APR-2022,V AVERAGE
77,BANKBARODA,0.5407,0.5407,0.5426,0.5407,0.5407,0.5388,0.5388,0.5368,0.5388,0.5368,0.5349,0.5349,0.539
75,PEL,0.5349,0.533,0.533,0.5311,0.5311,0.5292,0.5292,0.5292,0.5311,0.5311,0.5292,0.5273,0.531
56,HINDALCO,0.5177,0.5177,0.5158,0.5139,0.5139,0.512,0.5158,0.5158,0.5158,0.5139,0.512,0.512,0.515
32,INDIGO,0.512,0.512,0.5101,0.5082,0.5082,0.5082,0.5063,0.5063,0.5044,0.5082,0.5082,0.5082,0.508
66,PNB,0.512,0.512,0.5101,0.5101,0.5082,0.5063,0.5063,0.5044,0.5044,0.5025,0.5025,0.5006,0.507
40,MINDTREE,0.4948,0.4929,0.4948,0.5063,0.5063,0.5044,0.5063,0.5082,0.5063,0.5082,0.5082,0.5063,0.504
86,TATASTEEL,0.4986,0.4986,0.4967,0.4967,0.4948,0.4929,0.4929,0.4948,0.4948,0.4929,0.4929,0.491,0.495
63,NAUKRI,0.491,0.491,0.491,0.4891,0.4872,0.4872,0.4853,0.4872,0.4853,0.4853,0.4872,0.4853,0.488
43,JUBLFOOD,0.4738,0.4719,0.4719,0.4738,0.4738,0.4834,0.4834,0.4891,0.4891,0.4891,0.4891,0.4872,0.481
57,NMDC,0.4834,0.4834,0.4814,0.4795,0.4795,0.4776,0.4776,0.4814,0.4795,0.4776,0.4776,0.4776,0.48
83,APOLLOHOSP,0.4738,0.4738,0.4757,0.4795,0.4795,0.4795,0.4776,0.4795,0.4776,0.4776,0.4757,0.4757,0.477
89,JSWSTEEL,0.4757,0.4757,0.4738,0.4738,0.4738,0.4719,0.4719,0.47,0.47,0.4681,0.4681,0.4662,0.472
84,ONGC,0.47,0.4719,0.47,0.47,0.4681,0.4681,0.4662,0.4662,0.4662,0.4643,0.4643,0.4643,0.467
100,LTI,0.4566,0.4566,0.4566,0.4662,0.4719,0.47,0.47,0.4719,0.4719,0.47,0.47,0.4681,0.467
98,BAJFINANCE,0.4623,0.4604,0.4604,0.4585,0.4604,0.4585,0.4585,0.4566,0.4585,0.4681,0.4681,0.4662,0.461
39,ADANIPORTS,0.4566,0.4547,0.4547,0.4547,0.4547,0.4547,0.4547,0.4547,0.4585,0.4585,0.4585,0.4585,0.456
4,BIOCON,0.4509,0.449,0.449,0.449,0.4509,0.4566,0.4566,0.4547,0.4547,0.4528,0.4528,0.4528,0.452
91,BAJAJFINSV,0.4528,0.4528,0.4509,0.4509,0.449,0.449,0.449,0.449,0.4471,0.449,0.449,0.4471,0.45
