SYMBOL,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency
SIEMENS,EQ,2136.25,2123.15,2176.9,2116.05,2173.8,2169.55,2146.32,172748,37077231245000.0,15465,32833,0.19010000000000002,0
SHREECEM,EQ,30559.45,30450.0,30700.0,29838.25,29898.0,30101.9,30276.08,52781,159800175570000.0,16546,20616,0.39060000000000006,0
SHREECEM,EQ,30101.9,30250.0,30354.65,29486.25,30055.0,30059.9,29885.09,66855,199796784145000.0,20699,24438,0.3655,0
SBIN,EQ,437.45,440.15,441.35,432.65,439.55,438.8,436.88,17279588,754907750620000.0,187042,5134035,0.29710000000000003,0
SBIN,EQ,454.1,449.4,453.5,435.65,436.9,437.45,444.85,18376916,817490914345000.0,224634,5361436,0.2917,0
SBILIFE,EQ,1177.5,1189.0,1195.95,1170.9,1184.35,1184.6,1183.0,2117913,250548149690000.0,88147,1366583,0.6452,0
SBILIFE,EQ,1198.8,1189.85,1198.7,1174.0,1176.0,1177.5,1186.96,2117784,251372695744999.97,63162,1228326,0.58,0
SBICARD,EQ,1072.3,1030.9,1079.9,1012.0,1064.0,1069.9,1023.22,39774519,4069825280190000.0,160386,32714241,0.8225,0
SBICARD,EQ,1078.05,1075.0,1077.0,1053.95,1075.5,1072.3,1066.44,1113168,118712214630000.0,45345,706530,0.6347,0
RELIANCE,EQ,2390.55,2372.1,2418.35,2370.0,2391.85,2394.35,2398.57,5436385,1303955348725000.0,171011,3042705,0.5597,0
RELIANCE,EQ,2394.35,2405.0,2416.6,2384.0,2400.0,2404.7,2401.93,4576111,1099151085165000.0,149803,2365643,0.517,0
POWERGRID,EQ,177.0,176.05,178.4,175.45,175.8,175.9,176.52,7110756,125522070345000.0,64819,4118170,0.5791,0
POWERGRID,EQ,178.8,177.2,179.2,175.1,175.35,177.0,177.19,5874802,104095022705000.0,68431,2671127,0.4547,0
PNB,EQ,39.75,39.5,39.5,38.0,38.1,38.1,38.78,49454941,191797177280000.0,85088,18696427,0.378,0
PNB,EQ,38.1,38.2,38.45,37.35,38.05,38.1,37.87,45279748,171467067020000.0,52616,11539864,0.2549,0
PIDILITIND,EQ,2368.45,2366.8,2402.85,2351.05,2364.95,2361.45,2379.75,281382,66961995725000.0,25101,83927,0.2983,0
PIDILITIND,EQ,2361.45,2370.0,2440.0,2351.05,2440.0,2430.75,2406.84,596902,143664935820000.0,40952,154293,0.2585,0
PGHH,EQ,13923.2,13921.0,13927.15,13745.05,13900.0,13862.75,13814.91,3823,5281438610000.0,1815,1623,0.42450000000000004,0
PGHH,EQ,13862.75,13862.75,14150.0,13751.0,14080.0,14066.8,13974.99,4136,5780056940000.0,1960,1669,0.4035,0
PFC,EQ,138.3,136.5,138.2,132.5,132.75,133.45,135.78,4894867,66463584610000.0,21799,1665634,0.3403,0
PFC,EQ,133.45,133.45,134.5,130.85,133.4,133.4,132.47,3808229,50447746920000.0,24976,857105,0.22510000000000002,0
PETRONET,EQ,232.2,229.5,231.2,226.95,230.0,228.3,229.34,2503033,57404782800000.0,34226,1106587,0.4421,0
PETRONET,EQ,228.3,227.0,232.65,226.8,231.05,231.75,229.44,1414526,32455218035000.004,23400,619083,0.43770000000000003,0
PEL,EQ,2503.55,2506.5,2624.95,2461.05,2607.0,2612.5,2533.45,1228687,311281348140000.0,62173,409339,0.3332,0
PEL,EQ,2634.7,2615.0,2632.0,2492.55,2500.0,2503.55,2558.86,767884,196490764995000.0,47900,213431,0.2779,0
OFSS,EQ,4694.65,4694.65,4713.0,4606.6,4680.0,4668.9,4664.91,99480,46406482415000.0,14737,47300,0.4755,0
OFSS,EQ,4790.8,4786.55,4815.0,4690.0,4709.0,4694.65,4740.3,90924,43100746725000.0,12906,33889,0.37270000000000003,0
NMDC,EQ,147.4,143.2,143.2,135.0,135.1,136.0,139.42,22877537,318955122095000.0,129203,9772702,0.4272,0
NMDC,EQ,136.0,136.0,138.75,133.55,138.25,138.1,136.56,15301311,208949306810000.0,70335,5309473,0.34700000000000003,0
NESTLEIND,EQ,20175.7,20125.0,20386.0,20101.0,20320.0,20322.6,20313.93,91513,185898868130000.0,15906,66607,0.7278,0
NESTLEIND,EQ,20322.6,20200.0,20330.0,20002.15,20138.85,20189.55,20228.64,108411,219300682960000.0,18866,70346,0.6489,0
NAUKRI,EQ,6614.7,6614.7,6775.0,6560.0,6599.0,6595.45,6629.93,497418,329784589540000.0,55187,142478,0.2864,0
NAUKRI,EQ,6595.45,6601.0,6770.0,6595.6,6725.0,6727.0,6704.4,452843,303603981835000.0,50093,93752,0.207,0
MUTHOOTFIN,EQ,1513.5,1500.0,1516.0,1452.0,1462.0,1475.45,1490.63,636161,94827875275000.0,31712,314151,0.4938,0
MUTHOOTFIN,EQ,1475.45,1478.0,1483.0,1432.0,1480.0,1479.1,1456.92,1093338,159290666050000.0,58345,530853,0.4855,0
MOTHERSUMI,EQ,223.0,220.0,222.2,214.25,215.3,216.4,219.89,8521734,187384334010000.0,81772,4591153,0.5388000000000001,0
MOTHERSUMI,EQ,216.4,216.4,220.65,211.05,220.0,220.1,216.69,6203747,134426802650000.0,67065,2080087,0.33530000000000004,0
MCDOWELL-N,EQ,741.75,739.0,751.85,732.5,735.5,738.0,742.22,1632456,121164403670000.0,30845,453177,0.2776,0
MCDOWELL-N,EQ,738.0,739.95,750.65,728.5,748.2,746.85,740.32,1035741,76678327280000.0,27533,228953,0.2211,0
MARUTI,EQ,6950.4,6912.5,6939.7,6741.0,6780.0,6777.0,6788.91,1085249,736765583275000.0,135019,694586,0.64,0
MARUTI,EQ,7014.45,6979.9,7015.45,6906.2,6942.5,6950.4,6961.98,550405,383190951880000.0,59177,286725,0.5209,0
MARICO,EQ,567.45,568.95,570.0,556.95,561.2,560.7,561.58,2368098,132986782984999.98,55883,1322553,0.5585,0
MARICO,EQ,560.1,559.0,572.0,556.0,565.6,567.45,567.92,3866691,219595358330000.03,55039,1724603,0.446,0
M&M,EQ,738.05,740.1,740.9,729.55,738.9,738.45,734.95,2380834,174980154625000.0,84934,1340612,0.5631,0
M&M,EQ,754.15,749.4,756.5,732.2,740.3,738.05,744.42,2933375,218366950719999.97,102497,1585983,0.5407000000000001,0
LUPIN,EQ,933.75,930.0,936.95,914.3,930.0,930.1,925.07,1707370,157943350500000.0,39546,902384,0.5285,0
LUPIN,EQ,950.95,921.0,941.9,912.0,931.0,933.75,933.88,3490753,325994489900000.0,87875,1234672,0.35369999999999996,0
LTI,EQ,5715.25,5715.0,5799.0,5476.35,5558.0,5547.45,5673.85,240211,136292104209999.98,26559,79874,0.3325,0
LTI,EQ,5547.45,5600.0,5767.0,5514.7,5767.0,5739.75,5641.91,313977,177143106720000.0,34320,87559,0.27890000000000004,0
