SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
WIPRO,2021-10-18,EQ,708.25,719.0,720.8,702.4,711.05,709.75,711.39,10599446,754037090575000.0,169511,4832594,45.59,"Vol Up, Delivery Down",1
WIPRO,2021-10-19,EQ,709.75,717.1,729.95,708.0,714.0,711.55,721.38,10932574,788648610585000.0,235015,3018306,27.61,"Vol Up, Delivery Down",1
TATAMOTORS,2021-10-18,EQ,497.6,507.0,525.0,503.6,509.8,509.6,515.47,72322623,3728010421400000.0,803895,13212916,18.27,"Vol Down, Delivery Up",1
TATAMOTORS,2021-10-19,EQ,509.6,512.45,517.4,476.05,484.75,481.9,498.07,57428637,2860351791875000.0,649066,13555763,23.6,"Vol Down, Delivery Up",1
TATACONSUM,2021-10-18,EQ,849.6,863.0,863.0,842.05,846.0,843.95,849.48,1914236,162611286730000.0,62358,923871,48.26,"Vol Up, Delivery Down",1
TATACONSUM,2021-10-19,EQ,843.95,849.0,862.0,840.1,844.0,843.3,851.81,1915361,163152725125000.0,47813,569399,29.73,"Vol Up, Delivery Down",1
SBIN,2021-10-18,EQ,490.6,494.0,501.0,491.7,496.95,497.95,496.52,20084248,997224813100000.0,242361,6957051,34.64,"Vol Up, Delivery Down",1
SBIN,2021-10-19,EQ,497.95,500.35,504.2,483.25,488.7,488.2,496.47,20645100,1024960394075000.0,222035,6902634,33.43,"Vol Up, Delivery Down",1
NESTLEIND,2021-10-18,EQ,19325.4,19600.0,19600.0,19220.0,19400.0,19438.45,19385.39,56303,109145546915000.02,16892,28413,50.46000000000001,"Vol Up, Delivery Down",1
NESTLEIND,2021-10-19,EQ,19438.45,19475.0,19732.05,19284.05,19406.55,19368.45,19513.23,59302,115717338500000.0,17193,19867,33.5,"Vol Up, Delivery Down",1
HEROMOTOCO,2021-10-18,EQ,2927.8,2939.0,2950.0,2896.2,2900.0,2904.1,2924.83,440831,128935576005000.0,34738,220415,50.0,"Vol Up, Delivery Down",1
HEROMOTOCO,2021-10-19,EQ,2904.1,2904.1,2930.0,2865.5,2870.0,2876.05,2900.66,447221,129723626700000.0,25776,209927,46.94,"Vol Up, Delivery Down",1
COALINDIA,2021-10-18,EQ,183.8,184.8,187.75,183.4,185.25,185.3,185.67,15468914,287205754280000.0,124676,5047322,32.63,"Vol Up, Delivery Down",1
COALINDIA,2021-10-19,EQ,185.3,187.3,188.95,183.6,184.95,184.5,186.33,17403803,324285262965000.0,110685,5019465,28.84,"Vol Up, Delivery Down",1
BAJAJFINSV,2021-10-18,EQ,18488.9,18850.0,19100.0,18552.8,18685.0,18677.95,18786.86,293948,552236041455000.0,52531,81780,27.82,"Vol Up, Delivery Down",1
BAJAJFINSV,2021-10-19,EQ,18677.95,19000.0,19325.0,18600.5,18935.8,19076.55,19043.09,387846,738578641000000.0,63984,65286,16.83,"Vol Up, Delivery Down",1
UPL,2021-10-18,EQ,747.85,749.2,762.0,745.2,751.35,751.1,753.11,2620289,197337405215000.0,56584,1255886,47.93,-,0
UPL,2021-10-19,EQ,751.1,755.0,759.9,728.6,731.6,733.7,744.97,1498436,111628588215000.02,30110,464244,30.98,-,0
ULTRACEMCO,2021-10-18,EQ,7395.5,7530.0,7644.0,7301.4,7395.0,7399.3,7472.28,1413642,1056313179150000.0,123051,434076,30.710000000000004,-,0
ULTRACEMCO,2021-10-19,EQ,7399.3,7489.0,7489.0,7153.0,7187.0,7170.1,7244.46,868388,629100313340000.0,121943,363584,41.87,-,0
TITAN,2021-10-18,EQ,2564.05,2620.0,2677.9,2575.5,2594.55,2588.8,2626.78,2572741,675802085725000.0,139318,940259,36.55,-,0
TITAN,2021-10-19,EQ,2588.8,2638.0,2638.0,2468.75,2496.0,2484.9,2527.63,3546129,896330166010000.0,135501,2335354,65.86,-,0
TECHM,2021-10-18,EQ,1430.8,1420.0,1486.95,1420.0,1483.0,1479.65,1460.69,3579606,522868253275000.0,107820,1620577,45.27,-,0
TECHM,2021-10-19,EQ,1479.65,1498.0,1569.8,1477.05,1542.7,1539.1,1534.37,8645334,1326516314900000.0,203315,2562014,29.630000000000003,-,0
TCS,2021-10-18,EQ,3611.45,3603.45,3652.7,3601.45,3649.0,3647.15,3631.23,3590107,1303651779915000.0,213590,2407286,67.05,-,0
TCS,2021-10-19,EQ,3647.15,3669.0,3690.1,3625.2,3634.45,3634.15,3661.85,3135441,1148150058185000.0,191609,1815161,57.89,-,0
TATASTEEL,2021-10-18,EQ,1375.05,1418.0,1424.75,1391.1,1408.0,1411.05,1412.0,10923230,1542363871065000.0,254274,3504738,32.09,-,0
TATASTEEL,2021-10-19,EQ,1411.05,1421.0,1426.55,1357.55,1369.0,1366.9,1395.29,8756924,1221842109085000.0,181679,2702284,30.86,-,0
SUNPHARMA,2021-10-18,EQ,841.3,850.0,851.0,832.15,836.95,835.9,839.93,2632795,221137166360000.0,75791,1377619,52.33,-,0
SUNPHARMA,2021-10-19,EQ,835.9,837.0,842.2,825.65,826.0,827.35,831.84,2029762,168844386495000.0,69557,1244155,61.3,-,0
SHREECEM,2021-10-18,EQ,27956.45,28177.7,28300.0,27950.0,28182.0,28191.3,28118.19,35497,99811122810000.0,10452,17977,50.63999999999999,-,0
SHREECEM,2021-10-19,EQ,28191.3,28200.05,28393.35,27556.2,27647.95,27696.8,27905.59,20380,56871599750000.0,8764,9048,44.4,-,0
SBILIFE,2021-10-18,EQ,1185.55,1220.0,1220.0,1185.55,1195.0,1192.5,1196.16,934860,111823973325000.0,39485,484294,51.800000000000004,-,0
SBILIFE,2021-10-19,EQ,1192.5,1193.5,1215.9,1186.55,1197.6,1193.45,1201.13,1313098,157719946295000.0,51507,676936,51.55,-,0
RELIANCE,2021-10-18,EQ,2700.4,2668.6,2745.0,2662.3,2707.8,2707.6,2713.78,6273850,1702585550665000.0,274696,3527305,56.220000000000006,-,0
RELIANCE,2021-10-19,EQ,2707.6,2723.8,2751.35,2708.0,2730.8,2731.85,2733.67,4076617,1114411942510000.0,203192,1855378,45.51,-,0
POWERGRID,2021-10-18,EQ,204.65,209.8,209.95,202.15,202.8,203.8,206.14,28909774,595934205020000.0,97054,18371344,63.55,-,0
POWERGRID,2021-10-19,EQ,203.8,204.0,204.8,197.0,197.6,198.65,201.39,12130633,244298209455000.03,65716,7815881,64.43,-,0
ONGC,2021-10-18,EQ,159.05,163.75,165.5,161.2,162.3,162.1,163.13,22899876,373556902410000.0,126622,9728952,42.48,-,0
ONGC,2021-10-19,EQ,162.1,163.5,163.5,158.0,159.0,158.6,160.16,10331930,165475601630000.0,65601,3898013,37.73,-,0
NTPC,2021-10-18,EQ,149.4,151.25,151.7,148.7,149.55,149.55,150.23,25346029,380762196295000.0,112055,17270137,68.14,-,0
NTPC,2021-10-19,EQ,149.55,150.95,152.1,148.1,149.5,149.65,150.73,20234486,304984929985000.0,100324,8820317,43.59,-,0
MARUTI,2021-10-18,EQ,7496.9,7405.0,7705.3,7405.0,7650.05,7657.0,7633.77,913963,697698026755000.0,72232,523569,57.29,-,0
MARUTI,2021-10-19,EQ,7657.0,7670.2,7768.6,7585.0,7613.1,7655.65,7677.23,658869,505828723180000.0,66791,339649,51.55,-,0
M&M,2021-10-18,EQ,931.4,958.0,958.0,908.3,910.8,910.95,925.21,2885649,266984123210000.0,113024,1311798,45.46,-,0
M&M,2021-10-19,EQ,910.95,911.0,927.6,901.2,917.1,917.5,915.4,3476818,318266643840000.0,86479,1706477,49.08,-,0
LT,2021-10-18,EQ,1789.3,1807.15,1810.5,1782.0,1785.0,1788.45,1795.05,1918546,344389138765000.0,87947,1076006,56.08,-,0
LT,2021-10-19,EQ,1788.45,1809.8,1885.0,1802.05,1848.0,1846.05,1848.38,6639827,1227292380070000.0,219361,2703715,40.72,-,0
KOTAKBANK,2021-10-18,EQ,2017.8,2017.8,2046.95,2007.95,2011.0,2011.6,2023.76,2166779,438504409564999.94,76560,1241941,57.32000000000001,-,0
