,SYMBOL,01-SEP-2021,02-SEP-2021,03-SEP-2021,06-SEP-2021,07-SEP-2021,08-SEP-2021,09-SEP-2021,13-SEP-2021,14-SEP-2021,15-SEP-2021,16-SEP-2021,17-SEP-2021,20-SEP-2021,V AVERAGE
21,BIOCON,0.4776,0.4757,0.4757,0.4738,0.4738,0.4719,0.47,0.47,0.4681,0.4681,0.4719,0.47,0.4738,0.472
66,MUTHOOTFIN,0.4757,0.4738,0.4738,0.4719,0.47,0.47,0.4681,0.4681,0.4662,0.4643,0.4643,0.4643,0.4643,0.469
78,CONCOR,0.4662,0.4738,0.4719,0.4719,0.47,0.47,0.4681,0.4681,0.4662,0.4662,0.4662,0.4643,0.4643,0.468
35,ONGC,0.4662,0.4662,0.4662,0.4662,0.4643,0.4643,0.4643,0.4623,0.4623,0.4643,0.4623,0.4604,0.4604,0.464
42,ICICIBANK,0.4623,0.4604,0.4604,0.4585,0.4585,0.4566,0.4566,0.4547,0.4547,0.4528,0.4528,0.4509,0.4509,0.456
7,SBIN,0.4585,0.4566,0.4547,0.4547,0.4528,0.4528,0.4509,0.449,0.449,0.449,0.4509,0.4509,0.4528,0.453
89,INDIGO,0.449,0.4471,0.4471,0.4451,0.4451,0.4432,0.4432,0.4432,0.4432,0.4413,0.4413,0.4623,0.4604,0.447
48,HINDPETRO,0.4451,0.4432,0.4451,0.4451,0.4432,0.4432,0.4413,0.4413,0.4394,0.4394,0.4394,0.4375,0.4394,0.442
39,PFC,0.4432,0.4432,0.4413,0.4413,0.4394,0.4413,0.4413,0.4413,0.4394,0.4394,0.4375,0.4375,0.4394,0.44
71,HINDZINC,0.4451,0.4451,0.4432,0.4432,0.4413,0.4394,0.4394,0.4394,0.4375,0.4375,0.4356,0.4337,0.4356,0.44
33,LTI,0.4432,0.4413,0.4413,0.4394,0.4394,0.4375,0.4375,0.4356,0.4356,0.4356,0.4337,0.4337,0.4337,0.438
38,GAIL,0.4375,0.4375,0.4356,0.4356,0.4356,0.4337,0.4337,0.4318,0.4394,0.4394,0.4375,0.4375,0.4375,0.436
