SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
TATAMOTORS,2021-11-02,EQ,485.7,506.5,510.0,486.5,488.05,487.85,494.31,51580720,2549705829035000.0,475466,8434721,16.35,-,0
TATACONSUM,2021-11-01,EQ,809.5,821.5,830.0,806.0,826.0,824.9,820.72,1552830,127443745534999.98,60715,579044,37.29,-,0
TATACONSUM,2021-11-02,EQ,824.9,827.9,836.0,822.8,833.0,833.8,831.61,1251565,104081996195000.0,29033,495123,39.56,-,0
SUNPHARMA,2021-11-01,EQ,795.0,798.95,813.85,787.0,813.1,811.8,802.41,1935341,155294491910000.0,67538,670826,34.66,-,0
SUNPHARMA,2021-11-02,EQ,811.8,814.65,836.0,782.75,813.95,815.4,810.41,17608860,1427031935680000.0,315276,3436918,19.52,-,0
SHREECEM,2021-11-01,EQ,28635.25,28800.0,29600.0,28600.0,29175.0,29145.75,29137.93,55692,162274947155000.0,21156,17762,31.89,-,0
SHREECEM,2021-11-02,EQ,29145.75,29299.1,29424.95,28705.25,28921.0,28868.15,29099.08,21184,61643481110000.0,9067,4401,20.78,-,0
SBIN,2021-11-01,EQ,502.15,508.5,516.95,501.0,515.3,515.7,509.46,20679604,1053544017985000.0,232409,7903086,38.22,-,0
SBIN,2021-11-02,EQ,515.7,514.8,525.0,512.05,522.0,521.7,519.23,26797820,1391428575445000.0,292700,8002712,29.86,-,0
SBILIFE,2021-11-01,EQ,1145.55,1148.0,1173.05,1138.55,1161.2,1163.35,1159.23,972538,112739751525000.0,36315,505336,51.96000000000001,-,0
SBILIFE,2021-11-02,EQ,1163.35,1163.35,1172.25,1155.3,1169.9,1166.05,1164.38,1159884,135054956955000.0,53508,768678,66.27,-,0
RELIANCE,2021-11-01,EQ,2536.25,2536.25,2556.0,2494.1,2538.1,2537.8,2523.59,7144532,1802988509790000.2,273829,4144630,58.01,-,0
RELIANCE,2021-11-02,EQ,2537.8,2545.0,2548.0,2495.25,2503.05,2500.8,2510.1,4877652,1224338439560000.0,225933,2997092,61.45,-,0
POWERGRID,2021-11-01,EQ,185.05,184.6,188.5,184.55,188.25,187.75,186.8,4106365,76705360785000.0,82929,2488957,60.61,-,0
POWERGRID,2021-11-02,EQ,187.75,188.65,191.25,185.15,185.55,185.5,187.68,8210168,154086781010000.0,43655,4414075,53.76,-,0
ONGC,2021-11-01,EQ,149.05,150.0,153.6,148.4,153.05,153.15,151.2,11444653,173045817810000.0,67972,4884867,42.68,-,0
ONGC,2021-11-02,EQ,153.15,153.95,154.8,151.35,152.6,152.95,153.32,20609479,315985984075000.0,72705,8648453,41.96,-,0
NTPC,2021-11-01,EQ,132.65,133.2,135.3,130.9,134.1,134.3,133.48,10043407,134063237559999.98,67112,4222136,42.04,-,0
NTPC,2021-11-02,EQ,134.3,135.0,140.8,135.0,136.85,136.65,137.69,21525811,296388151695000.0,126588,4247800,19.73,-,0
LT,2021-11-01,EQ,1766.65,1776.0,1805.0,1751.2,1799.95,1795.35,1779.09,2316925,412201197285000.0,131885,1228502,53.02,-,0
LT,2021-11-02,EQ,1795.35,1800.0,1824.45,1795.4,1817.0,1815.65,1810.6,1687119,305469965255000.0,93436,925907,54.88000000000001,-,0
KOTAKBANK,2021-11-01,EQ,2031.15,2055.0,2086.8,2034.8,2084.5,2076.5,2060.82,1966588,405278874880000.0,138223,876426,44.57,-,0
KOTAKBANK,2021-11-02,EQ,2076.5,2066.15,2093.5,2060.0,2072.0,2076.65,2078.03,1536206,319228100630000.0,55760,795562,51.790000000000006,-,0
JSWSTEEL,2021-11-01,EQ,669.15,680.0,690.75,672.5,687.7,688.95,684.55,3234840,221439892269999.97,65591,975063,30.14,-,0
JSWSTEEL,2021-11-02,EQ,688.95,693.4,693.4,671.5,674.5,672.85,679.15,3204544,217637326590000.0,49137,930504,29.04,-,0
ITC,2021-11-01,EQ,223.2,224.15,227.55,222.5,226.8,226.85,224.82,23197539,521517112870000.0,136114,14254678,61.45,-,0
ITC,2021-11-02,EQ,226.85,228.0,229.25,224.5,226.0,225.6,226.05,14343859,324235965715000.0,120551,6928470,48.3,-,0
IOC,2021-11-01,EQ,127.95,132.1,132.85,126.6,131.5,131.65,129.46,17879133,231464968730000.03,92592,4858891,27.18,-,0
IOC,2021-11-02,EQ,131.65,132.55,133.0,130.55,130.7,130.8,131.58,9688784,127483632534999.98,57422,4109411,42.41,-,0
INDUSINDBK,2021-11-01,EQ,1140.2,1158.0,1235.0,1146.05,1226.0,1229.1,1207.96,10563295,1276008747775000.0,223872,2734502,25.89,-,0
INDUSINDBK,2021-11-02,EQ,1229.1,1220.0,1240.1,1207.0,1212.0,1212.55,1219.17,3730392,454799513270000.0,108632,944024,25.31,-,0
ICICIBANK,2021-11-01,EQ,802.05,807.7,809.7,793.0,805.95,803.9,801.26,11406421,913950303860000.0,256061,6351045,55.67999999999999,-,0
ICICIBANK,2021-11-02,EQ,803.9,809.0,810.0,798.0,799.7,800.95,803.5,9452457,759503862440000.0,183122,5566645,58.89,-,0
HINDUNILVR,2021-11-01,EQ,2393.15,2393.0,2410.9,2368.25,2410.9,2407.1,2383.62,1941114,462688522610000.06,141705,1414254,72.86,-,0
HINDUNILVR,2021-11-02,EQ,2407.1,2415.0,2428.0,2402.0,2417.45,2418.9,2414.09,1350154,325939503970000.0,64084,961911,71.24,-,0
HEROMOTOCO,2021-11-01,EQ,2657.1,2675.0,2692.8,2642.0,2685.0,2680.7,2672.96,502481,134310929620000.0,32742,320890,63.86000000000001,-,0
HEROMOTOCO,2021-11-02,EQ,2680.7,2695.0,2701.55,2676.55,2690.0,2684.3,2687.02,813089,218478837800000.0,45418,466125,57.330000000000005,-,0
HDFCLIFE,2021-11-01,EQ,680.45,680.45,693.45,680.35,689.5,689.8,688.5,1575508,108472977984999.98,58182,894791,56.79,-,0
HDFCLIFE,2021-11-02,EQ,689.8,694.0,697.65,691.25,692.4,692.65,694.99,1898373,131934531305000.0,58297,1132575,59.660000000000004,-,0
HDFCBANK,2021-11-01,EQ,1582.85,1585.0,1611.0,1583.55,1609.0,1605.3,1594.91,4061160,647716835150000.0,154509,2186450,53.84000000000001,-,0
HDFCBANK,2021-11-02,EQ,1605.3,1606.0,1622.0,1600.05,1605.0,1606.75,1610.07,6618861,1065681376540000.0,190992,4327632,65.38,-,0
HCLTECH,2021-11-01,EQ,1143.75,1143.5,1191.45,1143.5,1189.0,1189.2,1177.09,4511112,530997785520000.0,132281,2620633,58.09000000000001,-,0
HCLTECH,2021-11-02,EQ,1189.2,1191.0,1195.1,1168.85,1172.2,1170.65,1180.96,3016082,356186243060000.0,96802,1841826,61.07,-,0
GRASIM,2021-11-01,EQ,1721.1,1722.0,1795.85,1719.2,1785.0,1789.0,1771.63,1410919,249961953310000.0,60779,421329,29.86,-,0
GRASIM,2021-11-02,EQ,1789.0,1792.0,1805.0,1737.5,1748.15,1744.05,1765.82,1117548,197338909320000.0,43134,300335,26.87,-,0
EICHERMOT,2021-11-01,EQ,2484.8,2490.0,2567.05,2478.1,2557.05,2560.0,2524.46,1071806,270573180125000.0,71628,543250,50.690000000000005,-,0
EICHERMOT,2021-11-02,EQ,2560.0,2559.0,2573.0,2526.0,2540.3,2542.45,2546.57,657518,167441482475000.0,38370,283504,43.12,-,0
DRREDDY,2021-11-01,EQ,4659.2,4685.0,4834.95,4629.05,4805.0,4801.45,4772.65,676701,322965924635000.0,77657,221148,32.68,-,0
DRREDDY,2021-11-02,EQ,4801.45,4799.85,4804.0,4722.0,4742.95,4746.1,4751.06,409332,194475915095000.0,45044,203217,49.65,-,0
CIPLA,2021-11-01,EQ,905.05,917.0,918.55,902.2,908.9,909.25,909.47,986133,89686317240000.0,55715,350163,35.51,-,0
CIPLA,2021-11-02,EQ,909.25,910.0,912.85,900.5,902.5,903.4,904.73,1038025,93913191050000.0,40840,433706,41.78,-,0
BRITANNIA,2021-11-01,EQ,3675.75,3694.0,3700.0,3651.1,3680.0,3678.15,3673.33,139766,51340641335000.0,18906,66759,47.76,-,0
BRITANNIA,2021-11-02,EQ,3678.15,3680.2,3707.6,3667.05,3682.0,3682.9,3686.01,151547,55860347860000.0,16007,83083,54.82,-,0
BPCL,2021-11-01,EQ,417.7,428.0,428.0,419.9,422.7,421.65,422.32,5826200,246050139810000.0,99655,2829856,48.57,-,0
BPCL,2021-11-02,EQ,421.65,423.0,423.9,415.6,416.3,416.15,418.6,4049673,169517466695000.0,97920,2554297,63.07000000000001,-,0
BHARTIARTL,2021-11-01,EQ,685.35,689.95,722.8,689.6,714.2,712.5,711.57,17121001,1218283490940000.0,222155,7162759,41.84,-,0
BHARTIARTL,2021-11-02,EQ,712.5,712.5,723.1,709.55,715.55,713.95,715.44,7725455,552710935114999.94,120235,2850643,36.9,-,0
BAJFINANCE,2021-11-01,EQ,7400.2,7430.0,7500.2,7220.0,7416.0,7413.95,7372.17,1037314,764725338515000.0,107676,238958,23.04,-,0
BAJFINANCE,2021-11-02,EQ,7413.95,7466.7,7555.0,7400.25,7460.0,7455.35,7467.97,687116,513136012225000.0,66760,166112,24.18,-,0
BAJAJFINSV,2021-11-01,EQ,17821.15,17900.0,17980.0,17171.0,17535.0,17565.7,17486.68,384929,673113049335000.0,75129,74601,19.38,-,0
BAJAJFINSV,2021-11-02,EQ,17565.7,17650.0,17894.9,17392.55,17549.0,17542.6,17628.28,271929,479364062789999.94,52262,55053,20.25,-,0
BAJAJ-AUTO,2021-11-01,EQ,3707.25,3721.8,3750.0,3681.6,3726.1,3726.15,3713.33,228051,84682910910000.0,23309,77475,33.97,-,0
BAJAJ-AUTO,2021-11-02,EQ,3726.15,3735.0,3790.0,3727.05,3749.0,3741.85,3755.11,250053,93897645420000.0,28978,108572,43.42,-,0
AXISBANK,2021-11-01,EQ,742.0,755.0,760.0,740.0,755.0,752.35,750.03,11694854,877150083679999.9,430242,6774991,57.93000000000001,-,0
AXISBANK,2021-11-02,EQ,752.35,752.5,761.35,748.05,754.6,755.85,754.66,11812106,891408795285000.0,447669,6794496,57.52,-,0
ASIANPAINT,2021-11-01,EQ,3100.1,3128.0,3142.25,3091.65,3117.9,3121.8,3120.08,750393,234128976165000.0,79031,296727,39.54,-,0
ASIANPAINT,2021-11-02,EQ,3121.8,3120.0,3139.8,3080.0,3090.0,3103.35,3106.76,881916,273990374860000.0,90351,468721,53.15,-,0
ADANIPORTS,2021-11-01,EQ,693.0,705.0,707.0,690.0,706.95,704.4,699.45,3233662,226178531240000.0,65929,1041693,32.21,-,0
ADANIPORTS,2021-11-02,EQ,704.4,707.0,715.0,700.65,703.0,702.35,708.03,3028354,214415184780000.0,54729,605060,19.98,-,0
