,SYMBOL,04-APR-2022,05-APR-2022,06-APR-2022,07-APR-2022,08-APR-2022,11-APR-2022,12-APR-2022,13-APR-2022,18-APR-2022,19-APR-2022,20-APR-2022,21-APR-2022,22-APR-2022,V AVERAGE
79,SBIN,0.4184,0.4184,0.4184,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4031,0.4031,0.408
93,NYKAA,0.277,0.2675,0.2675,0.4432,0.4451,0.4451,0.449,0.449,0.4471,0.4451,0.4451,0.4451,0.4432,0.405
90,ICICIBANK,0.4222,0.4203,0.4203,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3974,0.3955,0.3955,0.404
68,SBICARD,0.3917,0.3955,0.3917,0.4031,0.4031,0.4012,0.4012,0.4012,0.4012,0.4012,0.4012,0.3993,0.3993,0.399
2,AMBUJACEM,0.3687,0.3687,0.3687,0.3974,0.3993,0.4069,0.4069,0.4069,0.4069,0.4069,0.4108,0.4108,0.4108,0.398
58,HAVELLS,0.3936,0.4031,0.3936,0.4012,0.4012,0.3993,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.398
53,BAJAJHLDNG,0.3955,0.3897,0.3821,0.3897,0.3878,0.3878,0.4012,0.4012,0.4088,0.4069,0.4069,0.4069,0.405,0.398
14,GLAND,0.405,0.4031,0.405,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3955,0.3974,0.396
11,GODREJCP,0.3764,0.3745,0.3764,0.4012,0.4031,0.4031,0.4012,0.4012,0.4012,0.4012,0.4031,0.4031,0.4012,0.396
51,M&M,0.3936,0.3936,0.3936,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.393
26,BOSCHLTD,0.4031,0.4031,0.4031,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3878,0.3878,0.3878,0.3878,0.391
5,BPCL,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3878,0.3897,0.3897,0.3897,0.39
44,GRASIM,0.3725,0.3745,0.3725,0.3897,0.3955,0.3955,0.3974,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.39
21,HDFC,0.3802,0.363,0.3649,0.3936,0.3917,0.3917,0.3897,0.3897,0.3955,0.4012,0.4012,0.4012,0.4012,0.39
48,LUPIN,0.3859,0.384,0.3821,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3897,0.389
38,DMART,0.3859,0.3859,0.3859,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.3859,0.384,0.387
64,MCDOWELL-N,0.3725,0.3725,0.3706,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3917,0.3897,0.3897,0.3878,0.387
62,TECHM,0.3783,0.3783,0.3783,0.3859,0.3859,0.3859,0.3859,0.384,0.3897,0.3897,0.3897,0.3878,0.3878,0.385
9,MARUTI,0.3668,0.3668,0.3668,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.3917,0.3917,0.3917,0.385
49,KOTAKBANK,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.38
42,TITAN,0.3764,0.3764,0.3764,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.376
