SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
TITAN,2021-09-22,EQ,2085.85,2096.8,2110.95,2073.4,2077.65,2081.05,2090.22,1057480,221037105750000.0,55217,564526,53.38,-,0
TITAN,2021-09-23,EQ,2081.05,2090.0,2113.75,2076.6,2106.0,2105.05,2096.94,711634,149225584200000.0,46700,331592,46.6,-,0
TECHM,2021-09-22,EQ,1461.7,1464.0,1527.9,1456.5,1514.0,1513.6,1507.59,5145820,775778928050000.0,161502,1262454,24.53,-,0
TECHM,2021-09-23,EQ,1513.6,1525.1,1531.0,1504.0,1523.0,1521.5,1515.99,2015302,305517119980000.0,76658,833545,41.36,-,0
TCS,2021-09-22,EQ,3862.95,3862.5,3896.85,3852.45,3856.75,3862.15,3873.71,1744067,675600329395000.0,93000,1015045,58.20000000000001,-,0
TCS,2021-09-23,EQ,3862.15,3870.0,3879.0,3835.0,3872.0,3869.25,3859.54,2003869,773401988640000.0,131024,1396484,69.69,-,0
TATAMOTORS,2021-09-22,EQ,301.95,303.15,313.8,303.0,310.0,310.1,309.74,29545253,915134212904999.9,242987,7652282,25.900000000000002,-,0
TATAMOTORS,2021-09-23,EQ,310.1,313.2,324.0,313.2,321.0,321.5,320.11,52701665,1687029352055000.0,406763,19717115,37.41,-,0
TATACONSUM,2021-09-22,EQ,858.9,862.0,863.35,851.9,854.7,854.15,856.15,982114,84083766515000.0,27948,562018,57.230000000000004,-,0
TATACONSUM,2021-09-23,EQ,854.15,857.15,859.75,849.05,850.0,850.65,852.88,1464265,124884580834999.98,37521,1015900,69.38,-,0
SUNPHARMA,2021-09-22,EQ,764.5,765.0,774.0,764.5,770.5,770.1,769.22,1817865,139834137815000.02,68004,900786,49.55,-,0
SUNPHARMA,2021-09-23,EQ,770.1,771.1,777.2,766.1,769.0,769.85,770.84,2109768,162628845865000.0,82658,964390,45.71,-,0
SIEMENS,2021-09-22,EQ,2169.55,2178.0,2197.6,2144.15,2156.1,2161.95,2178.19,286758,62461260445000.01,20129,144719,50.470000000000006,-,0
