,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
0,TATASTEEL,2021-09-30,EQ,1295.55,1303.0,1316.4,1283.85,1285.5,1288.9,1296.97,7514568,974616669375000.0,158511,1936342,25.77,"Vol Up, Delivery Down",1,0.526
1,TATASTEEL,2021-10-01,EQ,1288.9,1275.0,1311.0,1265.0,1294.05,1297.85,1294.19,9037470,1169621908600000.0,182801,1478665,16.36,"Vol Up, Delivery Down",1,0.526
4,JSWSTEEL,2021-09-30,EQ,679.8,683.2,683.2,666.35,668.0,668.3,674.36,4934499,332762575115000.0,70397,1615129,32.73,"Vol Up, Delivery Down",1,0.491
5,JSWSTEEL,2021-10-01,EQ,668.3,660.0,686.7,658.9,673.95,674.25,675.67,5193048,350880540335000.0,80193,760347,14.64,"Vol Up, Delivery Down",1,0.491
2,MARUTI,2021-09-30,EQ,7384.05,7384.75,7408.05,7301.05,7320.05,7338.05,7347.22,625717,459728169970000.0,82903,386633,61.79,"Vol Up, Delivery Down",1,0.369
3,MARUTI,2021-10-01,EQ,7338.05,7220.0,7220.0,7090.0,7152.0,7162.3,7156.29,901588,645202516830000.0,99315,334664,37.12,"Vol Up, Delivery Down",1,0.369
6,IOC,2021-09-30,EQ,127.45,127.45,128.5,124.35,125.2,125.3,126.06,11997043,151235773475000.0,66677,4181786,34.86,"Vol Up, Delivery Down",1,0.35
7,IOC,2021-10-01,EQ,125.3,125.65,128.85,125.0,127.05,127.4,126.83,13390167,169831789975000.0,76913,3831432,28.610000000000003,"Vol Up, Delivery Down",1,0.35
8,INFY,2021-09-30,EQ,1692.25,1703.0,1703.0,1670.1,1679.5,1675.2,1682.12,6914031,1163022553925000.0,155817,4013029,58.040000000000006,"Vol Down, Delivery Up",1,0.324
9,INFY,2021-10-01,EQ,1675.2,1665.1,1678.95,1661.25,1665.6,1665.15,1670.32,5733906,957743106145000.0,166006,4139955,72.2,"Vol Down, Delivery Up",1,0.324
52,INDUSINDBK,2021-09-30,EQ,1123.2,1125.0,1134.9,1107.0,1111.5,1111.9,1119.71,3180267,356096345305000.0,63419,938533,29.51,-,0,0.641
53,INDUSINDBK,2021-10-01,EQ,1111.9,1104.0,1112.0,1091.3,1103.05,1104.05,1102.34,1940798,213941776185000.0,42251,523160,26.96,-,0,0.641
22,TATAMOTORS,2021-09-30,EQ,330.25,331.25,337.9,329.1,333.7,333.35,333.73,30268517,1010165587785000.0,228396,6839602,22.6,-,0,0.579
23,TATAMOTORS,2021-10-01,EQ,333.35,332.65,337.3,325.7,332.9,333.3,331.4,29877695,990135890380000.0,232828,4898283,16.39,-,0,0.579
58,HINDALCO,2021-09-30,EQ,494.15,495.25,504.0,485.6,488.0,487.95,493.6,14333358,707488362245000.0,133246,4711294,32.87,-,0,0.543
59,HINDALCO,2021-10-01,EQ,487.95,483.1,486.0,473.45,484.4,484.35,481.11,8072310,388367076975000.0,73716,1858161,23.02,-,0,0.543
88,BAJFINANCE,2021-09-30,EQ,7515.4,7545.0,7700.0,7490.9,7674.0,7668.1,7622.74,1490707,1136327589655000.0,140935,602246,40.4,-,0,0.512
89,BAJFINANCE,2021-10-01,EQ,7668.1,7620.0,7639.2,7475.0,7525.0,7522.75,7531.72,937740,706279291745000.0,91377,336076,35.84,-,0,0.512
94,AXISBANK,2021-09-30,EQ,782.15,779.9,787.35,764.85,766.9,766.55,774.3,9178187,710671460900000.0,180870,4506157,49.1,-,0,0.495
95,AXISBANK,2021-10-01,EQ,766.55,763.4,771.7,754.0,767.8,768.15,764.87,6089895,465799283850000.0,128295,2811904,46.17,-,0,0.495
90,BAJAJFINSV,2021-09-30,EQ,17433.75,17500.0,17859.95,17412.2,17801.0,17786.75,17670.24,343000,606089329815000.0,59760,85462,24.92,-,0,0.493
91,BAJAJFINSV,2021-10-01,EQ,17786.75,17736.05,17736.05,17050.0,17215.0,17177.8,17275.01,432677,747449990350000.0,77152,108012,24.96,-,0,0.493
98,ADANIPORTS,2021-09-30,EQ,742.0,745.8,756.5,736.0,737.4,737.9,744.76,4356469,324453897755000.0,64273,975165,22.38,-,0,0.486
99,ADANIPORTS,2021-10-01,EQ,737.9,735.85,738.25,722.0,734.35,734.95,730.52,4008108,292800436110000.0,57693,533570,13.31,-,0,0.486
12,UPL,2021-09-30,EQ,717.15,717.15,719.9,706.15,708.2,707.7,711.1,2487764,176903669505000.0,55623,1295400,52.07000000000001,-,0,0.484
13,UPL,2021-10-01,EQ,707.7,707.0,714.05,698.25,711.9,712.65,707.69,1947637,137832302365000.02,45859,762167,39.13,-,0,0.484
38,ONGC,2021-09-30,EQ,144.75,144.75,146.05,141.35,144.15,144.5,143.81,26714630,384175845615000.0,115252,9870428,36.95,-,0,0.462
39,ONGC,2021-10-01,EQ,144.5,145.2,149.65,144.1,146.15,146.25,146.53,42893182,628531831760000.0,187169,10380264,24.2,-,0,0.462
30,SBIN,2021-09-30,EQ,460.0,459.95,464.9,451.4,453.0,453.0,456.78,26530369,1211842723450000.0,263399,9267354,34.93,-,0,0.45
31,SBIN,2021-10-01,EQ,453.0,448.5,455.55,443.8,452.0,451.65,451.04,14777309,666510655620000.0,155872,4497093,30.43,-,0,0.45
54,ICICIBANK,2021-09-30,EQ,709.5,709.6,713.9,698.8,701.9,700.85,704.11,18487517,1301716926630000.0,179908,7609329,41.16,-,0,0.448
55,ICICIBANK,2021-10-01,EQ,700.85,693.0,694.85,687.9,692.4,692.35,691.72,10935810,756452145080000.0,225142,6651302,60.81999999999999,-,0,0.448
