SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
NESTLEIND,2021-09-29,EQ,19544.75,19544.75,19700.0,19421.65,19474.0,19506.75,19532.81,46295,90427131845000.0,12856,23543,50.85000000000001,"Vol Down, Delivery Up",1
NESTLEIND,2021-09-30,EQ,19506.75,19478.3,19589.95,19316.15,19422.0,19445.55,19452.05,44373,86314591280000.0,15679,25644,57.79,"Vol Down, Delivery Up",1
MARUTI,2021-09-29,EQ,7423.85,7390.5,7465.0,7291.0,7382.0,7384.05,7372.24,643556,474445200525000.0,81531,245736,38.18,"Vol Down, Delivery Up",1
MARUTI,2021-09-30,EQ,7384.05,7384.75,7408.05,7301.05,7320.05,7338.05,7347.22,625717,459728169970000.0,82903,386633,61.79,"Vol Down, Delivery Up",1
HCLTECH,2021-09-29,EQ,1269.0,1270.0,1301.45,1258.8,1282.6,1281.2,1277.58,4639821,592773573895000.0,169421,2295061,49.46,"Vol Down, Delivery Up",1
HCLTECH,2021-09-30,EQ,1281.2,1291.45,1291.45,1268.85,1280.0,1279.55,1278.45,3589722,458928811535000.06,145222,2297485,64.0,"Vol Down, Delivery Up",1
BAJAJFINSV,2021-09-29,EQ,17550.35,17498.8,17647.9,17307.8,17428.0,17433.75,17462.38,309712,540830931175000.0,71576,98449,31.790000000000003,"Vol Up, Delivery Down",1
BAJAJFINSV,2021-09-30,EQ,17433.75,17500.0,17859.95,17412.2,17801.0,17786.75,17670.24,343000,606089329815000.0,59760,85462,24.92,"Vol Up, Delivery Down",1
WIPRO,2021-09-29,EQ,639.6,629.95,646.5,627.35,641.0,640.75,636.66,8839566,562777281680000.0,178469,4067336,46.01,-,0
WIPRO,2021-09-30,EQ,640.75,638.75,646.75,632.55,635.6,634.1,638.65,6013959,384083789360000.0,124346,3013234,50.1,-,0
UPL,2021-09-29,EQ,716.8,711.9,722.9,709.0,715.3,717.15,716.67,2160616,154845414135000.0,53418,1165535,53.94,-,0
UPL,2021-09-30,EQ,717.15,717.15,719.9,706.15,708.2,707.7,711.1,2487764,176903669505000.0,55623,1295400,52.07000000000001,-,0
ULTRACEMCO,2021-09-29,EQ,7588.3,7550.0,7661.35,7440.0,7460.0,7464.55,7474.02,490626,366695029420000.0,68822,300217,61.19,-,0
ULTRACEMCO,2021-09-30,EQ,7464.55,7490.0,7498.9,7371.0,7393.0,7396.1,7408.95,422904,313327337580000.0,60541,219793,51.970000000000006,-,0
TITAN,2021-09-29,EQ,2129.3,2129.0,2167.9,2110.05,2150.0,2147.5,2141.13,912912,195466717365000.0,57601,289901,31.760000000000005,-,0
TITAN,2021-09-30,EQ,2147.5,2149.9,2185.0,2136.3,2162.95,2161.85,2165.03,1374265,297532883960000.0,70745,627789,45.68,-,0
TECHM,2021-09-29,EQ,1414.05,1400.0,1408.95,1372.75,1396.25,1395.35,1394.01,7948104,1107970361420000.1,174181,5548492,69.81,-,0
TECHM,2021-09-30,EQ,1395.35,1388.0,1402.65,1377.0,1382.0,1380.6,1386.03,3856630,534541592225000.0,121651,2318031,60.11,-,0
