SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
ULTRACEMCO,2021-10-01,EQ,7396.1,7396.1,7502.0,7356.2,7495.0,7483.55,7452.36,366658,273246806175000.0,45389,148800,40.58,"Vol Down, Delivery Up",1
ULTRACEMCO,2021-10-04,EQ,7483.55,7496.0,7609.9,7495.0,7509.0,7515.6,7540.62,339796,256227306669999.97,36879,198866,58.53,"Vol Down, Delivery Up",1
TATAMOTORS,2021-10-01,EQ,333.35,332.65,337.3,325.7,332.9,333.3,331.4,29877695,990135890379999.9,232828,4898283,16.39,"Vol Down, Delivery Up",1
TATAMOTORS,2021-10-04,EQ,333.3,336.8,343.25,335.15,342.0,342.0,340.89,29553072,1007444235975000.0,297645,8249669,27.91,"Vol Down, Delivery Up",1
M&M,2021-10-01,EQ,803.05,800.0,831.0,787.0,827.0,827.85,818.27,7704216,630412900055000.0,165825,3199728,41.53,"Vol Down, Delivery Up",1
M&M,2021-10-04,EQ,827.85,832.5,852.0,828.1,840.4,841.15,842.84,6544700,551615226870000.0,133679,3242396,49.54,"Vol Down, Delivery Up",1
INDUSINDBK,2021-10-01,EQ,1111.9,1104.0,1112.0,1091.3,1103.05,1104.05,1102.34,1940798,213941776185000.0,42251,523160,26.96,"Vol Down, Delivery Up",1
INDUSINDBK,2021-10-04,EQ,1104.05,1107.5,1125.0,1106.0,1119.0,1119.8,1117.32,1817348,203055981950000.0,67246,565589,31.120000000000005,"Vol Down, Delivery Up",1
HDFCLIFE,2021-10-01,EQ,722.4,720.0,730.5,714.3,728.5,729.45,721.18,1852758,133616722640000.02,65798,852535,46.01,"Vol Down, Delivery Up",1
HDFCLIFE,2021-10-04,EQ,729.45,725.4,733.35,725.0,725.95,726.65,728.25,1615207,117627925380000.0,56138,944120,58.45,"Vol Down, Delivery Up",1
COALINDIA,2021-10-01,EQ,185.1,185.4,189.9,182.4,188.8,188.7,186.81,25492957,476223006464999.94,129320,6074541,23.83,"Vol Down, Delivery Up",1
COALINDIA,2021-10-04,EQ,188.7,192.5,193.35,188.3,190.0,189.95,190.23,23341448,444021864155000.0,141048,6285006,26.93,"Vol Down, Delivery Up",1
