,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
6,PEL,2022-06-17,EQ,1649.45,1645.0,1673.9,1617.0,1656.4,1647.35,1649.39,610399,100678891780000.0,33380,117007,19.17,"Vol Up, Delivery Down",1,0.563
7,PEL,2022-06-20,EQ,1647.35,1663.05,1689.8,1560.1,1596.0,1588.05,1614.33,617011,99605828230000.0,35100,86026,13.94,"Vol Up, Delivery Down",1,0.563
12,DLF,2022-06-17,EQ,304.05,302.0,310.0,298.0,302.5,302.0,304.12,7782354,236679220820000.0,58282,1988052,25.55,"Vol Down, Delivery Up",1,0.544
13,DLF,2022-06-20,EQ,302.0,305.0,306.3,294.7,298.9,298.5,299.39,7708600,230791243085000.0,56903,2141710,27.78,"Vol Down, Delivery Up",1,0.544
16,BANKBARODA,2022-06-17,EQ,97.5,95.9,96.9,94.1,95.6,95.05,95.52,21919900,209375024900000.0,66947,4349677,19.84,"Vol Down, Delivery Up",1,0.529
17,BANKBARODA,2022-06-20,EQ,95.05,95.6,96.0,89.85,91.45,91.15,92.42,21703028,200572015650000.0,67537,4582696,21.12,"Vol Down, Delivery Up",1,0.529
10,HINDALCO,2022-06-17,EQ,336.1,333.0,342.55,325.85,334.55,333.7,334.24,18606308,621895724255000.0,198992,6629497,35.63,"Vol Up, Delivery Down",1,0.525
11,HINDALCO,2022-06-20,EQ,333.7,331.0,334.6,308.95,323.5,321.5,317.37,20646347,655259841465000.0,248601,6515499,31.56,"Vol Up, Delivery Down",1,0.525
8,ONGC,2022-06-17,EQ,143.55,142.45,145.15,140.65,142.25,141.45,142.75,22922034,327218086975000.0,107378,10613155,46.3,"Vol Up, Delivery Down",1,0.478
9,ONGC,2022-06-20,EQ,141.45,138.6,138.9,130.0,134.6,134.4,133.67,28656582,383039270625000.0,155968,8781846,30.65,"Vol Up, Delivery Down",1,0.478
2,SRF,2022-06-17,EQ,2188.15,2165.0,2206.45,2128.55,2193.3,2181.85,2180.87,805720,175717247930000.0,79566,344861,42.8,"Vol Up, Delivery Down",1,0.456
3,SRF,2022-06-20,EQ,2181.85,2181.1,2206.95,2080.7,2143.0,2135.6,2130.13,855567,182246571765000.0,84856,295273,34.51,"Vol Up, Delivery Down",1,0.456
