SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
ONGC,2022-06-16,EQ,151.4,149.15,151.55,142.6,143.2,25130676,10694114,42.55,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
ONGC,2022-06-17,EQ,143.55,142.45,145.15,140.65,142.25,22922034,10613155,46.3,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
ONGC,2022-06-20,EQ,141.45,138.6,138.9,130.0,134.6,28656582,8781846,30.65,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
LTI,2022-06-16,EQ,4201.85,4380.0,4380.0,4035.2,4054.0,519669,118353,22.770000000000003,-,0,Price decreasing with decreasing volume
LTI,2022-06-17,EQ,4061.3,4025.0,4094.9,3962.3,4015.9,355025,101819,28.68,-,0,Price decreasing with decreasing volume
LTI,2022-06-20,EQ,4003.3,4037.0,4057.5,3900.0,3974.95,260560,69677,26.74,-,0,Price decreasing with decreasing volume
GRASIM,2022-06-16,EQ,1331.7,1345.0,1347.9,1278.05,1283.35,950822,362514,38.13,-,0,Price increasing with decreasing volume
GRASIM,2022-06-17,EQ,1285.05,1286.9,1306.75,1276.6,1292.65,1023071,306676,29.98,-,0,Price increasing with decreasing volume
GRASIM,2022-06-20,EQ,1290.05,1290.1,1321.5,1285.0,1316.55,668116,194039,29.04,-,0,Price increasing with decreasing volume
BAJFINANCE,2022-06-16,EQ,5484.95,5565.0,5614.95,5254.85,5286.0,2179686,671304,30.8,-,0,Price increasing with decreasing volume
BAJFINANCE,2022-06-17,EQ,5283.9,5220.0,5475.0,5220.0,5428.0,1937939,571628,29.5,-,0,Price increasing with decreasing volume
BAJFINANCE,2022-06-20,EQ,5419.55,5428.0,5510.0,5352.0,5473.0,1119456,196128,17.52,-,0,Price increasing with decreasing volume
APOLLOHOSP,2022-06-16,EQ,3722.7,3745.0,3775.0,3647.0,3647.0,678602,298620,44.01,-,0,Price increasing with decreasing volume
APOLLOHOSP,2022-06-17,EQ,3663.65,3600.0,3724.0,3556.1,3702.0,768620,204711,26.63,-,0,Price increasing with decreasing volume
APOLLOHOSP,2022-06-20,EQ,3701.25,3700.0,3825.0,3682.9,3811.0,673219,194266,28.860000000000003,-,0,Price increasing with decreasing volume
