SYMBOL,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency
ULTRACEMCO,EQ,6182.8,6180.0,6399.0,6120.0,6346.15,6352.1,6282.74,1174059,737630659095000.0,89391,347684,0.2961,False
ULTRACEMCO,EQ,6352.1,6379.85,6485.0,6318.0,6380.0,6368.15,6412.65,769441,493415409150000.0,79238,172237,0.2238,False
TITAN,EQ,1513.6,1518.55,1538.95,1504.5,1512.65,1509.45,1519.44,1344007,204213616575000.0,52568,362620,0.2698,False
TITAN,EQ,1509.45,1514.0,1564.85,1510.05,1544.95,1541.7,1544.44,2683198,414404481450000.0,87166,712388,0.2655,False
TCS,EQ,3157.95,3189.5,3226.0,3155.15,3219.0,3214.1,3191.08,2526592,806254769785000.0,155790,1160977,0.4595,False
TCS,EQ,3188.45,3198.95,3205.85,3129.0,3160.5,3157.95,3154.91,2366135,746493289755000.0,143150,992928,0.41960000000000003,False
TATASTEEL,EQ,655.95,656.9,690.6,651.4,688.65,685.05,671.25,29100888,1953382816575000.0,331556,3589299,0.1233,False
TATASTEEL,EQ,685.05,694.0,704.9,682.7,703.5,702.95,694.87,21462169,1491338559290000.0,245226,2397130,0.11170000000000001,False
TATACONSUM,EQ,592.5,595.0,604.8,594.9,598.0,597.1,600.29,3970852,238367861690000.0,99098,1400400,0.3527,False
TATACONSUM,EQ,588.05,593.9,600.0,589.2,592.95,592.5,595.49,5918498,352438897360000.0,98195,2080509,0.3515,False
SUNPHARMA,EQ,631.5,633.5,644.25,623.15,637.0,634.75,634.95,10981738,697287419020000.0,162460,3191684,0.29059999999999997,False
SUNPHARMA,EQ,634.75,640.9,644.85,632.55,633.95,634.65,638.49,6479801,413730249370000.0,113802,1199154,0.18510000000000001,False
SIEMENS,EQ,1839.9,1837.55,1887.0,1832.05,1878.0,1879.25,1870.72,420034,78576529300000.0,18356,123805,0.2947,False
SIEMENS,EQ,1849.3,1850.0,1868.9,1813.0,1835.0,1839.9,1840.66,312898,57593748015000.0,16546,57236,0.1829,False
SHREECEM,EQ,26722.85,26907.15,28287.5,26750.05,27950.05,28022.2,27831.8,183938,511932632635000.06,32393,52494,0.2854,False
SHREECEM,EQ,27091.0,27112.5,27286.95,26614.05,26722.0,26722.85,26938.49,63260,170412914330000.0,19678,5476,0.0866,False
SBIN,EQ,393.1,398.0,407.8,394.75,395.85,397.05,400.46,79389205,3179194001235000.0,577218,17607498,0.2218,False
SBIN,EQ,355.1,387.0,408.35,385.15,395.0,393.1,397.71,214955688,8549082574114999.0,1155236,40372151,0.18780000000000002,False
SBILIFE,EQ,864.2,865.0,871.7,857.0,858.8,859.1,862.93,1899676,163929425800000.0,74475,1238056,0.6517000000000001,False
SBILIFE,EQ,863.9,866.75,870.0,853.65,864.85,864.2,861.19,1766235,152106727130000.0,65549,895257,0.5069,False
SBICARD,EQ,981.45,990.75,995.0,978.1,985.05,983.65,986.51,813768,80278701870000.0,35791,478869,0.5885,False
SBICARD,EQ,989.15,993.95,1015.2,976.0,984.9,981.45,998.98,1746296,174451724060000.0,70841,667080,0.38200000000000006,False
POWERGRID,EQ,205.35,205.65,208.3,201.25,206.25,207.1,204.84,16174758,331330000460000.0,70549,9962066,0.6159,False
POWERGRID,EQ,207.1,206.5,213.4,205.7,211.5,212.55,209.89,15995755,335729605345000.0,83512,6721421,0.4202,False
PNB,EQ,40.5,41.3,42.75,39.7,40.1,40.15,41.4,329090924,1362314548695000.0,328278,96755893,0.294,False
PNB,EQ,40.15,40.95,41.2,37.75,38.1,38.0,38.81,208191094,807891122980000.0,245997,59355314,0.2851,False
