SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
SBIN,2022-06-14,EQ,445.85,445.0,449.25,443.35,448.0,11351101,4257354,37.51,"Vol Up, Delivery Down",1,0
SBIN,2022-06-15,EQ,448.1,448.95,455.45,448.6,450.25,9920926,3821460,38.52,"Vol Up, Delivery Down",1,0
SBIN,2022-06-16,EQ,451.35,455.15,457.75,440.15,441.15,10780703,3802794,35.27,"Vol Up, Delivery Down",1,0
PEL,2022-06-14,EQ,1616.35,1608.0,1639.5,1577.1,1598.95,681122,218686,32.11,"Vol Up, Delivery Down",1,0
PEL,2022-06-15,EQ,1598.6,1605.2,1671.45,1601.1,1657.0,1075970,207043,19.24,"Vol Up, Delivery Down",1,0
PEL,2022-06-16,EQ,1661.8,1690.0,1708.9,1636.35,1644.0,1164702,127179,10.92,"Vol Up, Delivery Down",1,0
NYKAA,2022-06-14,EQ,1455.95,1460.0,1475.0,1415.0,1468.0,613932,235931,38.43,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
NYKAA,2022-06-15,EQ,1455.85,1456.0,1475.0,1450.0,1455.0,284664,91468,32.13,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
NYKAA,2022-06-16,EQ,1462.3,1479.5,1488.0,1407.5,1429.0,290927,64103,22.03,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
MARICO,2022-06-14,EQ,500.15,497.95,502.75,495.0,500.0,1012537,321071,31.71,"Vol Up, Delivery Down",1,0
MARICO,2022-06-15,EQ,499.8,500.8,500.8,491.0,491.6,1234778,788476,63.86000000000001,"Vol Up, Delivery Down",1,0
MARICO,2022-06-16,EQ,493.8,494.5,494.55,478.5,485.35,1289736,690994,53.57999999999999,"Vol Up, Delivery Down",1,0
M&M,2022-06-14,EQ,1004.3,1000.0,1025.0,999.05,1018.95,3614327,1782619,49.32,"Vol Down, Delivery Up",1,0
M&M,2022-06-15,EQ,1019.25,1024.65,1039.3,1020.0,1022.05,3333753,1266776,38.0,"Vol Down, Delivery Up",1,0
M&M,2022-06-16,EQ,1025.5,1037.7,1037.7,997.0,1005.95,3255301,1983894,60.94,"Vol Down, Delivery Up",1,0
HDFCBANK,2022-06-14,EQ,1326.6,1311.25,1326.0,1305.0,1314.0,5935178,3617141,60.94,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
HDFCBANK,2022-06-15,EQ,1312.0,1301.65,1315.8,1298.4,1308.45,5905235,3262631,55.25,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
HDFCBANK,2022-06-16,EQ,1307.45,1310.0,1320.55,1278.0,1279.45,6084596,3065105,50.370000000000005,"Vol Up, Delivery Down",1,Price decreasing with decreasing volume
GRASIM,2022-06-14,EQ,1292.55,1299.0,1321.55,1286.1,1309.0,1065582,375706,35.26,"Vol Down, Delivery Up",1,0
GRASIM,2022-06-15,EQ,1309.35,1319.35,1341.0,1307.95,1332.0,1057944,317070,29.970000000000002,"Vol Down, Delivery Up",1,0
GRASIM,2022-06-16,EQ,1331.7,1345.0,1347.9,1278.05,1283.35,950822,362514,38.13,"Vol Down, Delivery Up",1,0
DRREDDY,2022-06-14,EQ,4267.2,4250.0,4324.95,4239.05,4312.7,407181,173621,42.64,"Vol Up, Delivery Down",1,0
DRREDDY,2022-06-15,EQ,4311.05,4306.7,4349.1,4287.05,4326.0,317063,199054,62.78,"Vol Up, Delivery Down",1,0
DRREDDY,2022-06-16,EQ,4335.5,4350.0,4359.3,4275.65,4293.8,350007,162597,46.46,"Vol Up, Delivery Down",1,0
BIOCON,2022-06-14,EQ,331.05,329.0,333.45,325.1,326.3,1117224,361515,32.36,"Vol Down, Delivery Up",1,0
BIOCON,2022-06-15,EQ,326.45,331.8,331.8,323.3,325.0,1762878,281498,15.97,"Vol Down, Delivery Up",1,0
BIOCON,2022-06-16,EQ,325.5,327.85,329.4,318.35,320.5,1456444,466891,32.06,"Vol Down, Delivery Up",1,0
ACC,2022-06-14,EQ,2121.25,2112.15,2130.0,2101.95,2107.0,302507,150488,49.75,"Vol Up, Delivery Down",1,0
ACC,2022-06-15,EQ,2116.1,2120.0,2131.0,2112.1,2120.0,205602,103435,50.31,"Vol Up, Delivery Down",1,0
ACC,2022-06-16,EQ,2122.65,2135.4,2139.9,2079.65,2082.8,253721,92066,36.29,"Vol Up, Delivery Down",1,0
ZYDUSLIFE,2022-06-14,EQ,351.75,350.5,356.4,349.8,352.1,696169,155840,22.39,-,0,0
ZYDUSLIFE,2022-06-15,EQ,351.8,355.0,355.0,349.85,352.2,378978,97993,25.86,-,0,0
ZYDUSLIFE,2022-06-16,EQ,352.65,354.1,355.3,341.0,342.65,616497,191098,31.0,-,0,0
ZOMATO,2022-06-14,EQ,67.5,64.2,70.75,64.0,69.65,66677006,6645740,9.97,-,0,0
ZOMATO,2022-06-15,EQ,70.0,70.65,71.9,68.95,69.3,33246369,3474538,10.45,-,0,0
ZOMATO,2022-06-16,EQ,70.2,72.0,72.0,66.1,66.3,41879881,4358384,10.41,-,0,0
