
1655266018933 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266019009 :: {'s': 'ok', 'candles': [[1655264700, 1037.0, 1037.0, 1026.05, 1029.9, 333798], [1655265300, 1029.9, 1034.85, 1028.15, 1033.75, 162166], [1655265900, 1033.8, 1034.5, 1032.75, 1032.75, 14680]]}

1655266019320 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266019400 :: {'s': 'ok', 'candles': [[1655264700, 360.0, 362.9, 357.35, 357.6, 1553943], [1655265300, 357.6, 359.0, 356.05, 357.85, 600855], [1655265900, 358.0, 358.05, 357.25, 357.65, 9478]]}

1655266019711 :: history :: {'symbol': 'NSE:UPL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266019806 :: {'s': 'ok', 'candles': [[1655264700, 721.5, 723.6, 715.55, 718.9, 64366], [1655265300, 718.75, 718.9, 716.55, 717.35, 19846], [1655265900, 717.35, 717.5, 716.0, 716.25, 4203]]}

1655266020116 :: history :: {'symbol': 'NSE:INDUSINDBK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266020217 :: {'s': 'ok', 'candles': [[1655264700, 852.0, 857.0, 841.0, 844.3, 545553], [1655265300, 844.75, 845.2, 841.6, 842.5, 117287], [1655265900, 842.2, 842.8, 840.4, 840.5, 23477]]}

1655266020529 :: history :: {'symbol': 'NSE:GAIL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266020634 :: {'s': 'ok', 'candles': [[1655264700, 149.6, 151.9, 148.2, 149.95, 1334099], [1655265300, 149.85, 150.1, 149.15, 149.5, 651174], [1655265900, 149.6, 150.1, 149.4, 149.65, 180851]]}

1655266020946 :: history :: {'symbol': 'NSE:LUPIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266021031 :: {'s': 'ok', 'candles': [[1655264700, 614.35, 614.7, 608.8, 609.25, 66995], [1655265300, 609.25, 611.0, 609.0, 610.4, 30803], [1655265900, 610.35, 610.55, 609.7, 609.7, 5806]]}

1655266021342 :: history :: {'symbol': 'NSE:TATAMOTORS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266021437 :: {'s': 'ok', 'candles': [[1655264700, 410.0, 414.2, 407.45, 410.95, 1686559], [1655265300, 411.2, 411.5, 409.9, 411.35, 684642], [1655265900, 411.35, 411.45, 410.6, 410.7, 92752]]}

