,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
84,BPCL,2021-11-10,EQ,430.5,432.0,434.0,430.15,430.75,431.25,431.69,3282554,141705366570000.0,46542,1508022,45.94,-,0,0.4
85,BPCL,2021-11-11,EQ,431.25,425.95,427.25,422.05,426.2,425.3,424.5,3316769,140797793595000.0,85928,1867155,56.28999999999999,-,0,0.4
78,COALINDIA,2021-11-10,EQ,170.5,169.9,170.85,166.45,166.7,166.7,167.45,9212143,154259114000000.0,69954,3592473,39.0,-,0,0.398
79,COALINDIA,2021-11-11,EQ,166.7,165.9,167.65,165.2,167.3,167.0,166.52,6453205,107459528875000.0,65062,1962135,30.41,-,0,0.398
72,EICHERMOT,2021-11-10,EQ,2724.25,2720.0,2765.55,2710.0,2745.0,2746.75,2745.73,861635,236581358950000.0,56282,416596,48.35,-,0,0.392
73,EICHERMOT,2021-11-11,EQ,2746.75,2730.0,2742.9,2686.45,2704.75,2704.35,2706.03,533140,144269169865000.0,29004,264954,49.7,-,0,0.392
86,BHARTIARTL,2021-11-10,EQ,713.2,717.5,738.0,707.35,736.6,735.45,727.13,15180490,1103823022960000.0,206104,7347822,48.4,-,0,0.392
87,BHARTIARTL,2021-11-11,EQ,735.45,735.0,738.6,724.25,728.5,728.6,731.37,7421118,542756974370000.0,139820,2942159,39.65,-,0,0.392
10,TITAN,2021-11-10,EQ,2512.1,2505.0,2526.85,2472.2,2484.0,2484.6,2490.74,911235,226965064790000.0,64085,407049,44.67,-,0,0.389
11,TITAN,2021-11-11,EQ,2484.6,2484.0,2542.8,2476.3,2526.6,2528.1,2523.03,1726010,435477607030000.0,96076,476883,27.63,-,0,0.389
12,TECHM,2021-11-10,EQ,1559.2,1555.95,1573.35,1546.55,1561.85,1566.6,1564.06,1299996,203327330150000.0,66566,578924,44.53,-,0,0.383
13,TECHM,2021-11-11,EQ,1566.6,1560.0,1560.0,1515.0,1529.0,1521.95,1526.96,3027565,462296047485000.06,88698,1683038,55.59,-,0,0.383
70,GRASIM,2021-11-10,EQ,1863.85,1846.9,1879.4,1842.0,1878.55,1874.45,1860.35,505300,94003363405000.0,28213,181973,36.01,-,0,0.382
71,GRASIM,2021-11-11,EQ,1874.45,1877.8,1893.0,1831.8,1848.5,1844.35,1860.86,945543,175951990900000.0,35309,339531,35.91,-,0,0.382
66,HDFC,2021-11-10,EQ,2941.6,2920.0,2951.0,2886.05,2944.7,2945.6,2920.26,3294239,962003081785000.0,111705,2180120,66.18,-,0,0.378
67,HDFC,2021-11-11,EQ,2945.6,2932.0,2932.0,2885.15,2905.0,2908.85,2904.34,2480671,720472299740000.0,111766,1732282,69.83,-,0,0.378
20,TATACONSUM,2021-11-10,EQ,835.65,837.05,846.0,830.75,840.25,842.4,840.19,1371873,115262978450000.0,36399,688362,50.18,-,0,0.375
21,TATACONSUM,2021-11-11,EQ,842.4,842.15,842.15,823.4,838.7,837.65,832.15,1411243,117437196075000.0,34793,729652,51.7,-,0,0.375
4,WIPRO,2021-11-10,EQ,658.45,655.9,659.0,651.55,652.95,652.6,655.01,4045695,264996225510000.0,91517,2396837,59.24,-,0,0.37
5,WIPRO,2021-11-11,EQ,652.6,649.75,649.75,636.8,642.95,641.8,642.26,6033898,387533167985000.0,162350,2600931,43.11,-,0,0.37
40,MARUTI,2021-11-10,EQ,7577.55,7570.0,7580.0,7460.0,7514.9,7511.65,7508.27,562432,422289135730000.0,53959,348183,61.91,-,0,0.365
41,MARUTI,2021-11-11,EQ,7511.65,7512.0,7567.5,7442.0,7468.0,7453.45,7491.24,486991,364816853745000.0,63248,270578,55.56,-,0,0.365
24,SHREECEM,2021-11-10,EQ,29229.65,29099.0,29428.9,28965.0,29225.0,29355.8,29159.8,23034,67166689104999.99,8359,12261,53.23,-,0,0.364
25,SHREECEM,2021-11-11,EQ,29355.8,29198.5,29298.4,28850.0,29066.95,29010.55,29016.28,18576,53900636754999.99,8695,8403,45.24,-,0,0.364
30,RELIANCE,2021-11-10,EQ,2521.7,2516.7,2558.0,2503.65,2546.45,2549.9,2538.63,4731975,1201274220300000.0,168600,2429050,51.33,-,0,0.363
31,RELIANCE,2021-11-11,EQ,2549.9,2540.05,2570.5,2535.55,2556.0,2554.55,2551.89,4948422,1262782873625000.0,216865,2846346,57.52,-,0,0.363
62,HDFCLIFE,2021-11-10,EQ,706.45,705.5,708.0,700.6,708.0,706.5,705.03,2077910,146498225945000.0,51696,1560200,75.09,-,0,0.359
63,HDFCLIFE,2021-11-11,EQ,706.5,706.0,706.9,700.15,701.8,702.6,702.22,1102633,77429350690000.0,37040,762684,69.17,-,0,0.359
22,SUNPHARMA,2021-11-10,EQ,801.35,799.75,815.0,797.0,807.5,811.1,809.18,2900645,234713017310000.0,62073,1226771,42.29,-,0,0.356
23,SUNPHARMA,2021-11-11,EQ,811.1,808.95,810.45,792.1,796.0,794.85,799.73,2107377,168533156135000.0,53921,1065522,50.56,-,0,0.356
28,SBILIFE,2021-11-10,EQ,1207.25,1197.1,1204.8,1181.05,1182.9,1183.75,1191.79,842679,100429814420000.0,44553,527204,62.56,-,0,0.356
29,SBILIFE,2021-11-11,EQ,1183.75,1178.0,1192.1,1150.1,1154.1,1153.2,1162.98,1271079,147823849465000.0,90472,801936,63.09,-,0,0.356
68,HCLTECH,2021-11-10,EQ,1172.8,1164.0,1175.0,1162.1,1171.2,1169.15,1168.82,2401325,280672085060000.0,83449,1639074,68.26,-,0,0.356
69,HCLTECH,2021-11-11,EQ,1169.15,1166.0,1167.8,1152.25,1161.25,1160.7,1160.33,2861259,332000145060000.0,69185,1862248,65.08,-,0,0.356
36,NTPC,2021-11-10,EQ,138.5,138.2,138.25,136.75,137.45,137.4,137.37,5479056,75263185690000.0,49548,2255260,41.16,-,0,0.353
37,NTPC,2021-11-11,EQ,137.4,137.5,137.75,134.35,136.6,136.65,135.68,11418813,154928003145000.0,78681,7184593,62.92,-,0,0.353
32,POWERGRID,2021-11-10,EQ,186.55,185.95,186.5,183.55,184.55,184.4,184.91,10393389,192189064270000.0,65093,6031632,58.03,-,0,0.349
33,POWERGRID,2021-11-11,EQ,184.4,185.0,185.25,180.7,182.3,182.15,182.3,6638516,121019706820000.0,74792,3936957,59.3,-,0,0.349
60,HEROMOTOCO,2021-11-10,EQ,2714.35,2714.0,2731.95,2701.85,2723.1,2718.8,2721.29,390217,106189195795000.0,29526,202130,51.8,-,0,0.349
61,HEROMOTOCO,2021-11-11,EQ,2718.8,2725.0,2725.0,2685.6,2701.0,2700.9,2700.38,264937,71543009115000.0,29873,104487,39.44,-,0,0.349
96,ASIANPAINT,2021-11-10,EQ,3145.15,3132.0,3136.65,3080.5,3107.0,3108.3,3104.39,872975,271005384980000.03,75000,498299,57.08,-,0,0.348
97,ASIANPAINT,2021-11-11,EQ,3108.3,3090.0,3106.65,3052.0,3066.85,3063.5,3070.29,958143,294177247520000.0,86302,587174,61.28,-,0,0.348
8,ULTRACEMCO,2021-11-10,EQ,8166.0,8145.0,8187.85,8050.0,8100.05,8106.8,8103.14,209152,169478766405000.0,28291,85368,40.82,-,0,0.346
9,ULTRACEMCO,2021-11-11,EQ,8106.8,8100.0,8141.85,8005.0,8059.0,8050.65,8054.35,125814,101335018635000.0,22245,43157,34.3,-,0,0.346
76,DIVISLAB,2021-11-10,EQ,4951.3,4928.0,4946.85,4866.0,4890.0,4905.75,4902.45,454790,222958607740000.0,55518,227316,49.98,-,0,0.346
77,DIVISLAB,2021-11-11,EQ,4905.75,4900.0,4900.0,4815.0,4837.0,4833.25,4844.16,341815,165580725700000.0,39535,163804,47.92,-,0,0.346
