,SYMBOL,09-SEP-2021,13-SEP-2021,14-SEP-2021,15-SEP-2021,16-SEP-2021,17-SEP-2021,20-SEP-2021,21-SEP-2021,22-SEP-2021,23-SEP-2021,24-SEP-2021,27-SEP-2021,28-SEP-2021,V AVERAGE
31,TATACONSUM,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.384,0.384,0.384,0.387
18,COALINDIA,0.3821,0.384,0.3821,0.3859,0.3859,0.3878,0.3859,0.3859,0.3878,0.3897,0.3878,0.3878,0.3917,0.386
49,TECHM,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3821,0.3821,0.384,0.3821,0.3821,0.384,0.3859,0.383
22,SHREECEM,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.382
32,HDFCLIFE,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.3802,0.3802,0.3783,0.3783,0.3764,0.3764,0.3745,0.38
48,WIPRO,0.3821,0.3821,0.3802,0.3802,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.3764,0.3764,0.378
8,RELIANCE,0.3764,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.3725,0.3725,0.3725,0.3706,0.374
26,TITAN,0.3764,0.3764,0.3745,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.374
1,MARUTI,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.3745,0.3725,0.368
38,SUNPHARMA,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.3649,0.363,0.363,0.363,0.3611,0.3611,0.365
5,HEROMOTOCO,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.3649,0.363,0.363,0.3611,0.363,0.3611,0.364
25,SBILIFE,0.3668,0.3649,0.3649,0.3649,0.363,0.363,0.363,0.3611,0.3611,0.3611,0.3611,0.3592,0.3592,0.363
50,HCLTECH,0.3611,0.3592,0.3611,0.3611,0.3611,0.3592,0.3592,0.3592,0.3592,0.3573,0.3573,0.363,0.363,0.36
11,ULTRACEMCO,0.3649,0.363,0.363,0.3611,0.3611,0.3611,0.3611,0.3592,0.3592,0.3573,0.3573,0.3573,0.3554,0.36
43,LT,0.3554,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.3515,0.3496,0.3496,0.3496,0.352
16,IOC,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3496,0.35
30,POWERGRID,0.3496,0.3496,0.3477,0.3496,0.3477,0.3477,0.3458,0.3458,0.3458,0.3439,0.3439,0.3439,0.3477,0.347
34,CIPLA,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3458,0.3458,0.3458,0.3439,0.3439,0.342,0.347
