,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
34,ONGC,2021-09-28,EQ,140.0,141.8,143.6,141.0,142.0,142.2,142.25,46109879,655922429810000.0,154758,24951502,54.11,-,0,0.463
35,ONGC,2021-09-29,EQ,142.2,140.85,148.8,139.35,145.7,144.75,144.58,68003697,983214114770000.0,201937,29686746,43.65,-,0,0.463
28,SBIN,2021-09-28,EQ,446.6,449.2,455.8,439.6,444.65,444.9,448.31,19241170,862603831815000.0,199169,5139742,26.71,-,0,0.45
29,SBIN,2021-09-29,EQ,444.9,441.85,462.3,439.1,459.7,460.0,455.43,38635938,1759578181120000.0,276232,17529709,45.37,-,0,0.45
56,ICICIBANK,2021-09-28,EQ,730.0,734.1,735.4,706.6,715.9,717.15,718.17,13491839,968937716780000.0,173925,8806092,65.27,-,0,0.45
57,ICICIBANK,2021-09-29,EQ,717.15,707.35,711.95,701.3,709.4,709.5,706.04,11453404,808654002205000.0,219084,6662029,58.17,-,0,0.45
42,M&M,2021-09-28,EQ,811.35,820.0,822.0,796.25,805.0,806.05,809.22,3853344,311819038480000.0,99528,1556801,40.4,-,0,0.417
43,M&M,2021-09-29,EQ,806.05,800.0,815.7,799.0,809.2,812.1,808.65,2291977,185341015635000.0,75191,1005771,43.88,-,0,0.417
86,BPCL,2021-09-28,EQ,420.6,424.3,430.25,423.0,429.9,429.6,427.83,9133471,390759117325000.0,124560,4199537,45.98,-,0,0.415
87,BPCL,2021-09-29,EQ,429.6,429.5,438.0,426.0,437.9,436.9,433.86,7625857,330855903625000.0,115069,4096152,53.71,-,0,0.415
88,BHARTIARTL,2021-09-28,EQ,722.55,724.4,726.8,686.0,695.85,696.15,698.8,21944239,1533457273345000.0,312911,11007945,50.16,-,0,0.405
89,BHARTIARTL,2021-09-29,EQ,696.15,697.0,702.0,689.15,693.0,694.1,694.98,16729859,1162687137780000.0,163654,9013506,53.88,-,0,0.405
74,EICHERMOT,2021-09-28,EQ,2879.35,2882.0,2944.65,2864.5,2880.8,2883.05,2904.54,838118,243434555750000.0,56419,206107,24.59,-,0,0.398
75,EICHERMOT,2021-09-29,EQ,2883.05,2870.0,2890.0,2835.0,2840.05,2843.25,2858.67,386614,110520074134999.98,26291,110442,28.57,-,0,0.398
68,HDFC,2021-09-28,EQ,2839.8,2842.0,2850.0,2760.95,2802.0,2804.95,2811.05,2645677,743713109565000.0,145453,1614411,61.02000000000001,-,0,0.396
69,HDFC,2021-09-29,EQ,2804.95,2786.5,2792.95,2739.1,2747.35,2746.45,2761.29,3333322,920426816905000.0,146771,2493615,74.81,-,0,0.396
72,GRASIM,2021-09-28,EQ,1648.8,1653.0,1684.6,1641.1,1644.8,1648.75,1661.23,1562917,259636660570000.0,65050,381446,24.41,-,0,0.388
73,GRASIM,2021-09-29,EQ,1648.75,1642.0,1678.5,1635.05,1670.0,1669.9,1662.17,818653,136074224595000.0,45508,362539,44.28,-,0,0.388
80,COALINDIA,2021-09-28,EQ,167.05,168.5,176.3,168.15,174.1,174.55,174.12,41551332,723480048330000.0,238095,9404350,22.63,-,0,0.388
81,COALINDIA,2021-09-29,EQ,174.55,174.5,197.0,172.8,185.4,185.7,187.33,100988643,1891869392310000.0,475984,19129908,18.94,-,0,0.388
18,TECHM,2021-09-28,EQ,1464.4,1464.4,1465.0,1408.4,1412.9,1414.05,1430.44,3995669,571554992275000.0,124827,2645817,66.22,-,0,0.383
19,TECHM,2021-09-29,EQ,1414.05,1400.0,1408.95,1372.75,1396.25,1395.35,1394.01,7948104,1107970361420000.0,174181,5548492,69.81,-,0,0.383
26,SHREECEM,2021-09-28,EQ,29476.0,29499.0,29800.0,29090.6,29190.0,29242.95,29387.06,31253,91843364835000.0,10046,11303,36.17,-,0,0.381
27,SHREECEM,2021-09-29,EQ,29242.95,29220.0,29525.1,29168.0,29310.0,29382.4,29358.05,20612,60512808960000.0,7692,5942,28.83,-,0,0.381
64,HDFCLIFE,2021-09-28,EQ,721.0,722.0,733.35,721.5,725.75,725.8,727.6,2407512,175170113845000.0,53421,1310248,54.42,-,0,0.379
65,HDFCLIFE,2021-09-29,EQ,725.8,724.7,738.0,721.0,737.9,734.75,731.44,5200234,380366839470000.0,84253,3878728,74.59,-,0,0.379
14,WIPRO,2021-09-28,EQ,653.9,653.9,653.9,635.25,639.0,639.6,642.5,8112462,521222978085000.06,229439,3725545,45.92,-,0,0.377
15,WIPRO,2021-09-29,EQ,639.6,629.95,646.5,627.35,641.0,640.75,636.66,8839566,562777281680000.0,178469,4067336,46.01,-,0,0.377
30,RELIANCE,2021-09-28,EQ,2524.45,2534.0,2564.9,2512.8,2545.0,2548.05,2539.99,8323269,2114101946235000.0,229286,4321030,51.92,-,0,0.373
31,RELIANCE,2021-09-29,EQ,2548.05,2570.0,2570.0,2520.05,2530.0,2527.85,2536.91,4485721,1137986628120000.0,166259,2223603,49.57,-,0,0.373
40,MARUTI,2021-09-28,EQ,7403.45,7448.0,7521.55,7333.5,7400.0,7423.85,7433.52,1346961,1001265603185000.0,157632,479556,35.6,-,0,0.369
41,MARUTI,2021-09-29,EQ,7423.85,7390.5,7465.0,7291.0,7382.0,7384.05,7372.24,643556,474445200525000.0,81531,245736,38.18,-,0,0.369
24,SUNPHARMA,2021-09-28,EQ,763.05,766.7,791.0,754.95,790.5,775.1,765.42,4938824,378029874925000.0,82531,3110016,62.970000000000006,-,0,0.364
25,SUNPHARMA,2021-09-29,EQ,775.1,784.0,819.75,771.35,810.15,811.3,800.7,18565413,1486536814350000.0,252659,7483512,40.31,-,0,0.364
62,HEROMOTOCO,2021-09-28,EQ,2912.95,2927.95,2939.0,2891.0,2918.1,2920.55,2912.18,788979,229765102195000.0,41698,424108,53.75,-,0,0.364
