,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
16,INDUSINDBK,2021-09-21,EQ,1089.95,1091.0,1143.15,1085.0,1140.0,1137.55,1115.11,6332732,706167808525000.0,144065,1774924,28.03,"Vol Down, Delivery Up",1,0.644
17,INDUSINDBK,2021-09-22,EQ,1137.55,1145.0,1157.85,1128.2,1142.5,1141.4,1144.42,5587136,639404525750000.0,112854,2077292,37.18,"Vol Down, Delivery Up",1,0.644
176,BANDHANBNK,2021-09-21,EQ,281.2,281.6,283.35,274.45,280.15,280.4,278.23,4293229,119449835359999.98,48346,1278695,29.78,-,0,0.612
177,BANDHANBNK,2021-09-22,EQ,280.4,281.5,286.0,280.1,284.0,284.0,283.08,3479110,98486806865000.0,30672,1146109,32.94,-,0,0.612
96,MOTHERSUMI,2021-09-21,EQ,216.4,216.4,220.65,211.05,220.0,220.1,216.69,6203747,134426802650000.0,67065,2080087,33.53,-,0,0.588
97,MOTHERSUMI,2021-09-22,EQ,220.1,220.0,226.0,219.15,224.3,224.8,224.01,5062162,113396390220000.0,52897,2001966,39.55,-,0,0.588
56,TATAMOTORS,2021-09-21,EQ,298.95,298.6,302.7,293.1,301.6,301.95,297.82,19439330,578934971165000.0,170991,3576840,18.4,-,0,0.584
57,TATAMOTORS,2021-09-22,EQ,301.95,303.15,313.8,303.0,310.0,310.1,309.74,29545253,915134212905000.0,242987,7652282,25.9,-,0,0.584
192,ADANIGREEN,2021-09-21,EQ,1131.15,1115.0,1127.0,1097.25,1117.0,1120.7,1117.22,1798120,200889799710000.0,21168,1228772,68.34,-,0,0.583
193,ADANIGREEN,2021-09-22,EQ,1120.7,1147.4,1163.5,1127.05,1139.95,1141.55,1140.31,2248068,256350021855000.03,36809,1616164,71.89,-,0,0.583
82,PEL,2021-09-21,EQ,2503.55,2506.5,2624.95,2461.05,2607.0,2612.5,2533.45,1228687,311281348140000.0,62173,409339,33.32,-,0,0.572
83,PEL,2021-09-22,EQ,2612.5,2612.0,2670.0,2586.1,2641.0,2638.1,2634.94,1323228,348662451180000.0,62560,602914,45.56,-,0,0.572
14,INDUSTOWER,2021-09-21,EQ,263.05,268.0,274.55,263.75,270.4,270.85,269.35,9607647,258783117130000.03,84666,1033266,10.75,"Vol Down, Delivery Up",1,0.565
15,INDUSTOWER,2021-09-22,EQ,270.85,271.45,275.65,269.55,273.1,273.35,272.34,5998444,163363628345000.0,41450,1148502,19.15,"Vol Down, Delivery Up",1,0.565
34,BANKBARODA,2021-09-21,EQ,78.25,78.5,79.1,76.9,78.6,78.65,78.07,24543270,191602093925000.0,67381,4986798,20.32,"Vol Down, Delivery Up",1,0.562
35,BANKBARODA,2021-09-22,EQ,78.65,79.1,80.15,78.55,79.65,79.7,79.38,20402969,161968207080000.0,43441,5303225,25.989999999999995,"Vol Down, Delivery Up",1,0.562
26,GICRE,2021-09-21,EQ,145.9,144.5,146.2,143.55,144.45,144.75,144.74,514251,7443194665000.001,8998,251863,48.98,"Vol Down, Delivery Up",1,0.561
27,GICRE,2021-09-22,EQ,144.75,145.45,145.65,143.5,143.55,143.9,144.21,503125,7255628650000.0,9030,293571,58.35,"Vol Down, Delivery Up",1,0.561
154,DLF,2021-09-21,EQ,323.0,324.35,333.6,319.55,330.65,330.7,327.41,12090071,395838943155000.0,101821,3093265,25.590000000000003,-,0,0.552
155,DLF,2021-09-22,EQ,330.7,332.85,373.75,331.05,368.8,369.05,358.71,42525950,1525466952195000.0,311908,4451429,10.470000000000002,-,0,0.552
128,HINDALCO,2021-09-21,EQ,444.4,445.0,452.45,438.8,451.0,451.0,445.58,18750888,835511142685000.0,160155,9149788,48.8,-,0,0.545
129,HINDALCO,2021-09-22,EQ,451.0,452.9,464.4,452.2,463.3,463.0,459.54,13613171,625577389260000.0,150989,6263306,46.01,-,0,0.545
90,NMDC,2021-09-21,EQ,136.0,136.0,138.75,133.55,138.25,138.1,136.56,15301311,208949306810000.0,70335,5309473,34.7,-,0,0.531
91,NMDC,2021-09-22,EQ,138.1,139.0,145.7,137.35,144.65,144.6,142.0,20171139,286421276675000.0,94024,7121756,35.31,-,0,0.531
54,TATASTEEL,2021-09-21,EQ,1253.1,1258.0,1296.9,1232.9,1296.5,1292.2,1263.43,25593540,3233568876500000.0,467449,6186655,24.17,-,0,0.522
55,TATASTEEL,2021-09-22,EQ,1292.2,1299.4,1318.0,1283.1,1303.0,1305.8,1301.92,11124247,1448284266595000.0,263880,2114995,19.01,-,0,0.522
36,BAJFINANCE,2021-09-21,EQ,7442.45,7481.15,7847.1,7401.0,7820.0,7813.85,7633.73,1993133,1521503041140000.0,155330,545472,27.37,"Vol Down, Delivery Up",1,0.517
37,BAJFINANCE,2021-09-22,EQ,7813.85,7850.0,7895.0,7771.0,7780.15,7793.65,7830.06,1500541,1174932880500000.0,114708,573337,38.21,"Vol Down, Delivery Up",1,0.517
72,PNB,2021-09-21,EQ,38.1,38.2,38.45,37.35,38.05,38.1,37.87,45279748,171467067020000.0,52616,11539864,25.49,-,0,0.516
73,PNB,2021-09-22,EQ,38.1,38.15,38.55,38.0,38.1,38.15,38.25,27417221,104863000195000.0,39323,5923303,21.6,-,0,0.516
94,NAUKRI,2021-09-21,EQ,6595.45,6601.0,6770.0,6595.6,6725.0,6727.0,6704.4,452843,303603981835000.0,50093,93752,20.7,-,0,0.505
