,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
0,SAIL,2022-05-31,EQ,74.75,74.4,76.7,74.1,76.0,75.95,75.67,33084493,250343190145000.0,70889,5728301,17.31,"Vol Down, Delivery Up",1,0.585
1,SAIL,2022-06-01,EQ,75.95,75.95,77.0,74.95,76.6,76.45,76.19,32105532,244614844630000.03,87427,5886711,18.34,"Vol Down, Delivery Up",1,0.585
4,NMDC,2022-05-31,EQ,123.9,123.9,127.65,123.1,126.3,126.1,125.68,7115522,89426026645000.0,35805,2336072,32.83,"Vol Down, Delivery Up",1,0.497
5,NMDC,2022-06-01,EQ,126.1,127.4,127.6,125.1,126.55,126.45,126.25,7019912,88626427925000.0,33970,2874100,40.94,"Vol Down, Delivery Up",1,0.497
2,PGHH,2022-05-31,EQ,13373.95,13449.9,13991.0,13356.5,13856.05,13818.95,13629.06,3717,5065920445000.0,1331,1738,46.760000000000005,"Vol Up, Delivery Down",1,0.298
3,PGHH,2022-06-01,EQ,13818.95,13712.1,14229.0,13670.55,14020.0,14106.05,13959.34,4566,6373833270000.0,1945,1691,37.03,"Vol Up, Delivery Down",1,0.298
192,ADANIGREEN,2022-05-31,EQ,2151.65,2140.0,2140.0,1833.1,1849.95,1888.95,1911.88,14897503,2848222361765000.0,290507,7573532,50.84000000000001,-,0,0.641
193,ADANIGREEN,2022-06-01,EQ,1888.95,1828.95,1889.85,1776.0,1846.0,1848.4,1839.62,4813035,885417271850000.0,252764,1337347,27.79,-,0,0.641
188,ADANITRANS,2022-05-31,EQ,2162.0,2150.0,2150.0,2053.9,2053.9,2055.0,2061.24,1190728,245437422135000.0,34193,818180,68.71,-,0,0.617
189,ADANITRANS,2022-06-01,EQ,2055.0,2002.0,2002.0,1952.25,1956.0,1957.9,1968.49,678831,133627064684999.98,41407,339890,50.07,-,0,0.617
8,ZOMATO,2022-05-31,EQ,71.05,68.5,77.7,67.4,76.05,74.65,73.22,184333915,1349712404005000.0,345359,34694517,18.82,-,0,0.616
9,ZOMATO,2022-06-01,EQ,74.65,75.4,79.8,73.1,73.9,74.7,76.0,127949782,972390403210000.0,278547,16369321,12.79,-,0,0.616
28,TATAMOTORS,2022-05-31,EQ,442.4,443.95,449.5,440.4,442.7,443.55,446.05,22308219,995056744420000.0,203363,8034708,36.02,-,0,0.578
29,TATAMOTORS,2022-06-01,EQ,443.55,445.1,446.0,439.6,445.0,444.6,442.87,11930669,528378419185000.06,129941,2264584,18.98,-,0,0.578
12,VEDL,2022-05-31,EQ,313.2,310.0,327.4,309.2,323.05,320.9,320.52,52366423,1678449929155000.0,133530,32089535,61.28,-,0,0.577
13,VEDL,2022-06-01,EQ,320.9,320.5,325.0,313.25,316.05,316.05,319.23,9150761,292121942680000.0,76757,2829392,30.92,-,0,0.577
154,CHOLAFIN,2022-05-31,EQ,676.6,680.0,683.75,665.15,678.0,679.6,677.99,1628241,110393081795000.0,34731,692217,42.51,-,0,0.575
155,CHOLAFIN,2022-06-01,EQ,679.6,679.6,682.1,665.55,672.0,671.55,672.91,610383,41073185975000.0,17659,184353,30.2,-,0,0.575
58,PAYTM,2022-05-31,EQ,643.5,642.0,664.0,633.5,653.0,652.95,653.05,5336623,348506144055000.0,95822,978820,18.34,-,0,0.562
59,PAYTM,2022-06-01,EQ,652.95,656.0,676.9,648.3,654.9,654.4,660.05,3701972,244347109160000.0,72494,530861,14.34,-,0,0.562
102,INDUSINDBK,2022-05-31,EQ,936.2,926.0,939.95,926.0,929.0,930.85,934.06,1249259,116687736250000.0,33273,356848,28.56,-,0,0.56
103,INDUSINDBK,2022-06-01,EQ,930.85,930.85,938.35,918.7,931.5,928.35,927.92,1144864,106233805015000.0,33753,297678,26.0,-,0,0.56
170,BANDHANBNK,2022-05-31,EQ,327.75,326.0,331.7,324.05,326.0,325.95,327.15,6814800,222943620295000.0,41236,3870718,56.8,-,0,0.556
171,BANDHANBNK,2022-06-01,EQ,325.95,326.0,334.65,326.0,333.55,332.55,330.92,4258627,140926839510000.0,44676,921687,21.64,-,0,0.556
100,INDUSTOWER,2022-05-31,EQ,200.45,202.0,203.15,199.85,201.9,201.8,201.56,3687446,74324247535000.0,32277,2127385,57.69,-,0,0.552
101,INDUSTOWER,2022-06-01,EQ,201.8,203.0,205.8,200.0,201.3,201.2,202.34,1804341,36508840810000.0,26547,677570,37.55,-,0,0.552
142,DLF,2022-05-31,EQ,346.85,345.5,350.3,342.35,345.85,345.55,346.07,10568070,365723956460000.0,65372,5039643,47.69,-,0,0.546
143,DLF,2022-06-01,EQ,345.55,346.4,348.85,333.6,337.25,337.0,339.38,5551017,188388547440000.0,57945,1488658,26.82,-,0,0.546
194,ADANIENT,2022-05-31,EQ,2165.65,2160.0,2225.8,2150.4,2160.0,2167.55,2190.84,2861556,626922532625000.0,65981,1102088,38.51,-,0,0.541
195,ADANIENT,2022-06-01,EQ,2167.55,2169.95,2189.3,2126.0,2155.0,2150.9,2161.89,1448212,313086974870000.0,41408,449344,31.03,-,0,0.541
56,PEL,2022-05-31,EQ,1777.35,1767.0,1908.55,1734.75,1890.5,1894.95,1859.49,2812912,523058445250000.0,108830,934937,33.24,-,0,0.538
57,PEL,2022-06-01,EQ,1894.95,1854.0,1894.8,1822.0,1839.5,1837.65,1853.98,793603,147132567550000.0,42669,115160,14.510000000000002,-,0,0.538
168,BANKBARODA,2022-05-31,EQ,101.55,101.35,102.45,99.7,100.15,100.25,101.34,17234246,174658716665000.0,46409,4516965,26.21,-,0,0.535
