,SYMBOL,31-MAY-2022,01-JUN-2022,02-JUN-2022,03-JUN-2022,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,V AVERAGE
43,JUBLFOOD,0.5044,0.5025,0.5025,0.5006,0.5006,0.5006,0.4986,0.4986,0.4967,0.4967,0.4948,0.4929,0.4929,0.4948,0.498
93,NYKAA,0.491,0.491,0.491,0.4891,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853,0.4834,0.4814,0.4814,0.4834,0.487
83,APOLLOHOSP,0.4872,0.4872,0.491,0.491,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853,0.4834,0.4834,0.4814,0.4814,0.486
84,ONGC,0.4795,0.4776,0.4776,0.4757,0.4757,0.4795,0.4776,0.4776,0.4757,0.4776,0.4757,0.4776,0.4814,0.4795,0.478
100,LTI,0.4776,0.4776,0.4776,0.4776,0.4757,0.4757,0.4738,0.4738,0.4719,0.4776,0.4776,0.4757,0.4776,0.4757,0.476
39,ADANIPORTS,0.4757,0.4738,0.4738,0.4719,0.4719,0.47,0.4681,0.4681,0.4662,0.47,0.4681,0.4681,0.4681,0.4681,0.47
98,BAJFINANCE,0.4623,0.4604,0.4604,0.4585,0.4585,0.4585,0.4566,0.4566,0.4585,0.4623,0.4623,0.4623,0.4643,0.4643,0.46
59,SRF,0.4585,0.4604,0.4585,0.4566,0.4566,0.4566,0.4566,0.4566,0.4547,0.4547,0.4528,0.4528,0.4566,0.4547,0.456
4,BIOCON,0.4528,0.4528,0.4528,0.4509,0.449,0.449,0.4471,0.4528,0.4509,0.4509,0.4509,0.449,0.449,0.449,0.45
60,COALINDIA,0.4528,0.4528,0.4528,0.4509,0.4509,0.449,0.449,0.4471,0.4471,0.449,0.4471,0.4471,0.4509,0.4509,0.45
91,BAJAJFINSV,0.4413,0.4432,0.4432,0.4432,0.4413,0.4413,0.4394,0.4394,0.4394,0.449,0.4471,0.449,0.4509,0.4509,0.444
78,AXISBANK,0.4337,0.4337,0.4318,0.4318,0.4299,0.4299,0.4299,0.428,0.426,0.426,0.426,0.4241,0.4241,0.4241,0.429
15,UPL,0.4222,0.4203,0.4203,0.4184,0.4184,0.4203,0.4203,0.4203,0.4203,0.4184,0.4184,0.4165,0.4203,0.4203,0.42
38,DMART,0.4203,0.4203,0.4203,0.4184,0.4184,0.4184,0.4165,0.4165,0.4165,0.4184,0.4165,0.4165,0.4146,0.4222,0.418
85,PIIND,0.4203,0.4203,0.4184,0.4184,0.4165,0.4184,0.4165,0.4165,0.4146,0.4127,0.4127,0.4127,0.4127,0.4146,0.416
22,ICICIPRULI,0.4127,0.4165,0.4146,0.4146,0.4146,0.4146,0.4146,0.4165,0.4165,0.4165,0.4165,0.4165,0.4146,0.4146,0.415
97,GAIL,0.4165,0.4165,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.4108,0.4108,0.4088,0.4088,0.4127,0.4108,0.412
11,GODREJCP,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.405,0.405,0.4031,0.4031,0.4031,0.4012,0.4012,0.4012,0.405
54,MUTHOOTFIN,0.4069,0.4088,0.4069,0.4069,0.4069,0.4069,0.405,0.405,0.405,0.405,0.4031,0.4031,0.4012,0.4031,0.405
53,BAJAJHLDNG,0.4088,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4012,0.4012,0.4012,0.4031,0.4108,0.405
14,GLAND,0.4088,0.4088,0.4088,0.4069,0.4069,0.4069,0.405,0.4031,0.4031,0.4031,0.4031,0.4012,0.4012,0.4012,0.405
62,TECHM,0.3993,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.4012,0.4012,0.3993,0.4031,0.4031,0.399
64,MCDOWELL-N,0.3993,0.3993,0.3993,0.3993,0.3993,0.3974,0.3974,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.3955,0.397
79,SBIN,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3936,0.3936,0.3955,0.3936,0.3936,0.3936,0.3936,0.396
44,GRASIM,0.3917,0.3897,0.3897,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.3955,0.3936,0.3955,0.3955,0.395
2,AMBUJACEM,0.4012,0.3993,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.395
