,SYMBOL,04-OCT-2021,05-OCT-2021,06-OCT-2021,07-OCT-2021,08-OCT-2021,11-OCT-2021,12-OCT-2021,13-OCT-2021,14-OCT-2021,18-OCT-2021,19-OCT-2021,20-OCT-2021,21-OCT-2021,V AVERAGE
35,ASIANPAINT,0.3458,0.3458,0.3439,0.3458,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.342,0.342,0.3477,0.344
34,CIPLA,0.342,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.3401,0.3401,0.3382,0.3382,0.3382,0.3362,0.341
21,DRREDDY,0.3362,0.3362,0.3362,0.3343,0.3343,0.3343,0.3343,0.3324,0.3324,0.3324,0.3324,0.3305,0.3324,0.334
7,BAJAJ-AUTO,0.3305,0.3305,0.3305,0.3305,0.3305,0.3286,0.3286,0.3286,0.3267,0.3267,0.3267,0.3267,0.3267,0.329
9,HDFCBANK,0.3305,0.3305,0.3305,0.3286,0.3286,0.3286,0.3267,0.3267,0.3286,0.3286,0.3267,0.3267,0.3267,0.328
23,ITC,0.3191,0.3191,0.3191,0.3171,0.3171,0.3191,0.3171,0.3191,0.321,0.321,0.3324,0.3305,0.3305,0.322
45,INFY,0.321,0.321,0.321,0.321,0.321,0.321,0.3191,0.3191,0.3191,0.3229,0.3229,0.3229,0.3248,0.321
36,BRITANNIA,0.3076,0.3076,0.3057,0.3057,0.3057,0.3057,0.3038,0.3038,0.3038,0.3038,0.3019,0.3019,0.3019,0.305
37,TCS,0.3019,0.3019,0.3019,0.3019,0.3019,0.3133,0.3019,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.301
41,NESTLEIND,0.2923,0.2923,0.2923,0.2904,0.2904,0.2904,0.2904,0.2885,0.2885,0.2885,0.2866,0.2866,0.2847,0.289
40,HINDUNILVR,0.2885,0.2866,0.2866,0.2866,0.2866,0.2847,0.2847,0.2847,0.2847,0.2828,0.2885,0.2904,0.2904,0.287
