,SYMBOL,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,20-JUN-2022,21-JUN-2022,22-JUN-2022,23-JUN-2022,V AVERAGE
80,HDFCAMC,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3687,0.3668,0.3668,0.3687,0.3687,0.3687,0.369
34,WIPRO,0.3649,0.3649,0.3649,0.363,0.3649,0.3668,0.3649,0.3649,0.3687,0.3725,0.3725,0.3725,0.3745,0.3745,0.368
49,KOTAKBANK,0.3668,0.3668,0.3668,0.3649,0.3687,0.3706,0.3687,0.3687,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.368
13,RELIANCE,0.3668,0.3649,0.3649,0.3668,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.3668,0.3668,0.366
31,ICICIGI,0.3554,0.3592,0.3611,0.3611,0.3611,0.3592,0.3611,0.3611,0.3592,0.3592,0.3592,0.3592,0.3573,0.3573,0.359
10,ULTRACEMCO,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3554,0.3554,0.3573,0.3573,0.3573,0.3573,0.3554,0.356
12,ASIANPAINT,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3554,0.3554,0.3554,0.3554,0.3573,0.356
37,ZYDUSLIFE,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3534,0.3554,0.3534,0.3554,0.3554,0.3554,0.355
73,NTPC,0.3515,0.3515,0.3496,0.3496,0.3496,0.3534,0.3515,0.3534,0.3554,0.3554,0.3554,0.3554,0.3554,0.3554,0.353
20,IOC,0.3515,0.3496,0.3496,0.3496,0.3477,0.3496,0.3515,0.3515,0.3496,0.3534,0.3515,0.3534,0.3515,0.3515,0.351
74,SIEMENS,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3477,0.3477,0.3477,0.3496,0.3515,0.35
25,BHARTIARTL,0.3477,0.3477,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3496,0.3496,0.3496,0.3496,0.3496,0.3496,0.349
1,ACC,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3477,0.3458,0.3458,0.3458,0.3458,0.349
28,HCLTECH,0.3496,0.3496,0.3477,0.3477,0.3458,0.3477,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3477,0.3458,0.347
65,SBILIFE,0.3458,0.3439,0.3439,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.343
36,BERGEPAINT,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.342,0.3401,0.3401,0.3401,0.341
81,POWERGRID,0.3439,0.3439,0.3439,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.3401,0.3401,0.3401,0.3401,0.3382,0.341
87,LT,0.3382,0.3401,0.3382,0.3382,0.3382,0.3401,0.3401,0.3382,0.3382,0.3401,0.3401,0.3401,0.3401,0.3382,0.339
27,INFY,0.3382,0.3382,0.3382,0.3362,0.3382,0.3401,0.3401,0.3401,0.3401,0.3382,0.3401,0.3401,0.3401,0.3382,0.339
46,HDFCBANK,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.3401,0.3382,0.3382,0.3382,0.3382,0.3382,0.3382,0.3362,0.339
71,SUNPHARMA,0.3324,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3286,0.3286,0.3305,0.3305,0.3286,0.3286,0.3286,0.33
23,PIDILITIND,0.3286,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3229,0.3286,0.3362,0.3343,0.3343,0.3362,0.329
24,DRREDDY,0.3248,0.3267,0.3267,0.3286,0.3286,0.3286,0.3286,0.3267,0.3267,0.3286,0.3286,0.3286,0.3286,0.3286,0.328
