,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
53,TATAMOTORS,2022-04-19,EQ,433.8,436.75,440.25,417.0,420.95,424.95,433.28,12669041,548927042105000.0,167111,2900501,22.89,-,0,0.587
118,INDUSINDBK,2022-04-18,EQ,983.4,972.0,983.0,966.1,975.2,977.45,974.17,1575552,153485052250000.0,44475,437089,27.74,-,0,0.58
119,INDUSINDBK,2022-04-19,EQ,977.45,979.9,988.95,951.0,957.95,963.8,979.62,1747142,171152915810000.0,47892,596084,34.12,-,0,0.58
178,BANDHANBNK,2022-04-18,EQ,326.15,321.5,325.65,315.0,321.65,322.5,321.4,8544758,274625567405000.03,65032,2861710,33.49,-,0,0.573
179,BANDHANBNK,2022-04-19,EQ,322.5,324.8,335.0,316.85,316.85,323.6,328.58,13263248,435802679970000.0,108938,4273929,32.22,-,0,0.573
162,CHOLAFIN,2022-04-18,EQ,730.3,727.4,729.9,711.3,725.8,724.85,719.03,1585086,113972181815000.02,42651,557856,35.19,-,0,0.571
163,CHOLAFIN,2022-04-19,EQ,724.85,728.0,761.35,727.75,731.0,736.85,748.52,4021576,301024504285000.0,74956,1481925,36.85,-,0,0.571
36,VEDL,2022-04-18,EQ,425.8,425.95,431.8,418.75,425.0,424.15,424.98,5410588,229937819760000.0,52659,1580803,29.22,-,0,0.569
37,VEDL,2022-04-19,EQ,424.15,426.95,437.5,422.05,425.45,427.55,431.97,6170452,266545852040000.0,61231,2009401,32.56,-,0,0.569
194,ADANIGREEN,2022-04-18,EQ,2864.3,2850.0,3011.9,2652.0,2973.0,2970.5,2893.44,2419364,700028340055000.0,129242,892500,36.89,-,0,0.564
195,ADANIGREEN,2022-04-19,EQ,2970.5,3035.0,3050.0,2750.0,2890.0,2911.95,2979.34,2529522,753631431080000.0,125637,916746,36.24,-,0,0.564
116,INDUSTOWER,2022-04-18,EQ,216.7,216.3,218.0,212.6,216.1,216.85,215.41,2288590,49297755255000.0,27711,1239744,54.17000000000001,-,0,0.562
117,INDUSTOWER,2022-04-19,EQ,216.85,218.0,220.25,210.6,212.4,213.65,217.08,1888734,40999879365000.0,35894,914713,48.43,-,0,0.562
154,DLF,2022-04-18,EQ,391.3,385.85,390.6,379.25,388.05,388.85,385.24,4551203,175332762655000.0,52507,1613188,35.45,-,0,0.55
155,DLF,2022-04-19,EQ,388.85,390.1,391.75,372.0,373.8,377.8,385.81,3938936,151968695025000.0,48280,1333383,33.85,-,0,0.55
