,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
74,PAYTM,2022-06-20,EQ,630.15,642.0,654.0,619.55,639.0,644.35,638.19,4794450,305978016655000.0,110933,638543,13.320000000000002,-,0,0.568
75,PAYTM,2022-06-21,EQ,644.35,655.0,659.0,631.75,635.5,638.5,643.93,2866888,184608233710000.0,63352,434532,15.160000000000002,-,0,0.568
160,CHOLAFIN,2022-06-20,EQ,641.3,640.3,645.4,611.3,618.1,619.2,625.08,1555745,97246309345000.0,30953,481657,30.960000000000004,-,0,0.566
161,CHOLAFIN,2022-06-21,EQ,619.2,629.2,632.0,615.0,624.75,625.8,623.33,2114220,131786507105000.0,33127,816205,38.61,-,0,0.566
72,PEL,2022-06-20,EQ,1647.35,1663.05,1689.8,1560.1,1596.0,1588.05,1614.33,617011,99605828230000.0,35100,86026,13.94,-,0,0.563
73,PEL,2022-06-21,EQ,1588.05,1618.8,1652.45,1603.0,1648.0,1645.3,1636.1,857358,140272327640000.02,32829,203504,23.74,-,0,0.563
174,BANDHANBNK,2022-06-20,EQ,310.4,313.2,313.9,263.9,273.7,274.05,287.1,9976568,286424954220000.0,79311,2227383,22.33,-,0,0.552
175,BANDHANBNK,2022-06-21,EQ,274.05,278.05,287.0,275.5,282.4,282.05,282.15,11745070,331392405300000.0,103470,3165464,26.950000000000003,-,0,0.552
114,INDUSINDBK,2022-06-20,EQ,806.9,814.6,814.6,769.5,785.4,784.05,787.19,3103978,244341518060000.0,73323,748523,24.11,-,0,0.548
115,INDUSINDBK,2022-06-21,EQ,784.05,796.05,809.4,783.45,797.95,798.85,797.54,3425596,273206651800000.0,118928,1175759,34.32,-,0,0.548
148,DLF,2022-06-20,EQ,302.0,305.0,306.3,294.7,298.9,298.5,299.39,7708600,230791243085000.0,56903,2141710,27.78,-,0,0.544
149,DLF,2022-06-21,EQ,298.5,302.55,317.2,301.0,315.2,315.1,310.67,5336496,165791393825000.0,53089,1102640,20.66,-,0,0.544
194,ADANIENT,2022-06-20,EQ,2095.8,2107.3,2123.3,2025.0,2083.9,2079.85,2059.09,2603594,536103243260000.06,69448,835095,32.07,-,0,0.538
195,ADANIENT,2022-06-21,EQ,2079.85,2100.0,2177.0,2091.65,2159.85,2161.8,2135.93,1331500,284399222775000.0,44749,130221,9.78,-,0,0.538
44,TATASTEEL,2022-06-20,EQ,906.7,905.0,905.0,842.65,865.0,861.4,861.47,13986689,1204910900845000.0,296336,3276359,23.42,-,0,0.533
45,TATASTEEL,2022-06-21,EQ,861.4,875.0,895.5,864.0,882.55,884.8,876.6,12452697,1091601946445000.0,223878,3111526,24.99,-,0,0.533
172,BANKBARODA,2022-06-20,EQ,95.05,95.6,96.0,89.85,91.45,91.15,92.42,21703028,200572015650000.0,67537,4582696,21.12,-,0,0.529
173,BANKBARODA,2022-06-21,EQ,91.15,92.1,97.35,91.75,96.4,96.05,95.21,28648481,272765889090000.0,79508,4913279,17.15,-,0,0.529
126,HINDALCO,2022-06-20,EQ,333.7,331.0,334.6,308.95,323.5,321.5,317.37,20646347,655259841465000.0,248601,6515499,31.56,-,0,0.526
127,HINDALCO,2022-06-21,EQ,321.5,327.6,343.5,325.6,340.75,339.25,334.14,15208306,508169518215000.0,153990,3435109,22.59,-,0,0.526
84,NAUKRI,2022-06-20,EQ,3598.25,3630.0,3630.0,3547.0,3604.0,3595.7,3582.54,234442,83989708290000.0,22440,74360,31.72,-,0,0.516
