SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
BAJAJ-AUTO,2022-06-22,EQ,3645.25,3645.0,3721.5,3614.15,3637.0,3635.65,3660.0,585483,214286823125000.0,49694,104834,17.91,"Vol Up, Delivery Down",1
ADANIGREEN,2022-06-21,EQ,1743.65,1760.0,1834.0,1722.0,1803.95,1809.1,1783.52,1280817,228435755469999.97,59558,295759,23.09,"Vol Down, Delivery Up",1
ADANIGREEN,2022-06-22,EQ,1809.1,1779.1,1793.6,1720.05,1731.0,1736.1,1763.84,1277913,225403156760000.0,55467,489918,38.34,"Vol Down, Delivery Up",1
ZYDUSLIFE,2022-06-21,EQ,334.5,334.05,347.0,334.05,346.55,346.1,342.51,604029,20688744870000.0,9436,160798,26.619999999999997,-,0
ZYDUSLIFE,2022-06-22,EQ,346.1,345.0,348.45,340.15,342.55,342.8,343.5,578554,19873362030000.0,11208,119313,20.62,-,0
WIPRO,2022-06-21,EQ,414.65,420.0,426.75,416.65,425.4,425.15,423.27,6093902,257939090580000.03,138487,1991589,32.68,-,0
WIPRO,2022-06-22,EQ,425.15,422.7,422.7,410.3,411.8,411.25,414.25,8101431,335599713960000.0,118936,3497551,43.17,-,0
VEDL,2022-06-21,EQ,230.45,236.45,243.65,227.0,237.5,236.05,234.16,51220904,1199411100950000.0,255649,15956329,31.15,-,0
VEDL,2022-06-22,EQ,236.05,234.85,234.85,221.0,221.5,222.1,226.18,22944315,518959287285000.06,168454,5761363,25.11,-,0
UPL,2022-06-21,EQ,640.45,642.25,656.95,642.25,655.75,654.2,652.25,1316846,85891121780000.0,46887,384876,29.23,-,0
UPL,2022-06-22,EQ,654.2,650.2,651.95,611.0,613.0,613.65,620.17,4180495,259263214915000.0,104487,1053553,25.2,-,0
ULTRACEMCO,2022-06-21,EQ,5333.3,5355.0,5433.0,5262.05,5419.5,5418.9,5388.67,292408,157568891015000.0,32696,96269,32.92,-,0
