,SYMBOL,02-JUN-2022,03-JUN-2022,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,20-JUN-2022,21-JUN-2022,V AVERAGE
96,ADANIGREEN,0.6572,0.6572,0.6553,0.6553,0.6534,0.6515,0.6515,0.6515,0.6496,0.6477,0.6477,0.6457,0.6438,0.6457,0.651
72,ZOMATO,0.6496,0.6477,0.6477,0.6534,0.6515,0.6515,0.6496,0.6496,0.6496,0.6477,0.6477,0.6477,0.6457,0.6457,0.649
3,ADANITRANS,0.619,0.619,0.619,0.619,0.6171,0.6171,0.6152,0.6152,0.6133,0.6114,0.6114,0.6133,0.6114,0.6171,0.616
94,SAIL,0.5903,0.5884,0.5865,0.5865,0.5846,0.5827,0.5827,0.5827,0.5808,0.5789,0.5827,0.5808,0.5846,0.5884,0.584
88,VEDL,0.5751,0.5731,0.5712,0.5712,0.5693,0.5693,0.5693,0.5693,0.5693,0.5674,0.577,0.577,0.6037,0.6018,0.576
6,TATAMOTORS,0.5731,0.5712,0.5693,0.5693,0.5674,0.5674,0.5655,0.5674,0.5674,0.5655,0.5693,0.5674,0.5674,0.5674,0.568
95,PAYTM,0.5731,0.5712,0.5693,0.5693,0.5674,0.5655,0.5674,0.5674,0.5693,0.5674,0.5655,0.5655,0.5655,0.5636,0.568
99,CHOLAFIN,0.5674,0.5674,0.5674,0.5655,0.5636,0.5636,0.5636,0.5693,0.5693,0.5674,0.5674,0.5655,0.5674,0.5655,0.566
75,PEL,0.5674,0.5655,0.5636,0.5636,0.5617,0.5617,0.5598,0.5636,0.5617,0.5636,0.5617,0.5598,0.5617,0.5617,0.563
76,BANDHANBNK,0.5502,0.5502,0.5502,0.5502,0.5483,0.5464,0.5464,0.5502,0.5502,0.5483,0.5464,0.5464,0.5693,0.5693,0.552
55,INDUSINDBK,0.5521,0.5521,0.5502,0.5483,0.5483,0.5464,0.5464,0.5483,0.5483,0.5464,0.5483,0.5464,0.5464,0.5464,0.548
70,DLF,0.5464,0.5464,0.5445,0.5445,0.5445,0.5426,0.5426,0.5445,0.5426,0.5426,0.5445,0.5426,0.5407,0.5445,0.544
41,ADANIENT,0.5388,0.5368,0.5368,0.5349,0.5349,0.5349,0.533,0.5368,0.5407,0.5388,0.5426,0.5407,0.5388,0.5407,0.538
35,INDUSTOWER,0.5445,0.5426,0.5426,0.5407,0.5407,0.5388,0.5368,0.5368,0.5349,0.5349,0.533,0.533,0.5311,0.5311,0.537
86,TATASTEEL,0.5349,0.533,0.533,0.5311,0.5311,0.5311,0.5311,0.5311,0.5311,0.5292,0.5349,0.533,0.5368,0.5368,0.533
77,BANKBARODA,0.533,0.5311,0.5311,0.5292,0.5292,0.5273,0.5254,0.5292,0.5273,0.5273,0.5273,0.5254,0.5273,0.5311,0.529
56,HINDALCO,0.5273,0.5254,0.5254,0.5235,0.5216,0.5216,0.5216,0.5254,0.5254,0.5235,0.5292,0.5273,0.5292,0.533,0.526
63,NAUKRI,0.5197,0.5197,0.5197,0.5197,0.5177,0.5177,0.5177,0.5177,0.5158,0.5158,0.5139,0.512,0.512,0.5101,0.516
40,MINDTREE,0.5177,0.5177,0.5158,0.5139,0.5139,0.512,0.512,0.5177,0.5158,0.5139,0.5158,0.5158,0.5139,0.5158,0.515
66,PNB,0.5197,0.5177,0.5177,0.5158,0.5139,0.5139,0.512,0.512,0.5101,0.5101,0.5101,0.5082,0.5082,0.5101,0.513
89,JSWSTEEL,0.5158,0.5139,0.5158,0.5139,0.512,0.512,0.5101,0.5101,0.5082,0.5063,0.5082,0.5063,0.5044,0.5082,0.51
57,NMDC,0.5101,0.5082,0.5082,0.5063,0.5063,0.5044,0.5044,0.5063,0.5063,0.5044,0.5082,0.5082,0.5082,0.5101,0.507
32,INDIGO,0.5082,0.5082,0.5063,0.5044,0.5044,0.5025,0.5025,0.5025,0.5006,0.5006,0.5025,0.5025,0.5063,0.5082,0.504
43,JUBLFOOD,0.5025,0.5006,0.5006,0.5006,0.4986,0.4986,0.4967,0.4967,0.4948,0.4929,0.4929,0.4948,0.4948,0.4967,0.497
93,NYKAA,0.491,0.4891,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853,0.4834,0.4814,0.4814,0.4834,0.4814,0.4814,0.485
83,APOLLOHOSP,0.491,0.491,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853,0.4834,0.4834,0.4814,0.4814,0.4814,0.4795,0.485
